phylum	genus	abundance
Proteobacteria	Gemmobacter	0.003271537622682661
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.014176663031624863
Actinobacteria	Ilumatobacter	0.003271537622682661
Proteobacteria	Curvibacter	0.027262813522355506
Bacteroidetes	Parasegetibacter	0.020719738276990186
Firmicutes	Clostridiumsensustricto	0.004362050163576881
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.05234460196292257
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.006543075245365322
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.010905125408942203
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.017448200654307525
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.003271537622682661
Proteobacteria	Limnohabitans	0.009814612868047983
Proteobacteria	Beijerinckia	0.003271537622682661
Proteobacteria	Roseomonas	0.0010905125408942203
Proteobacteria	Herbaspirillum	0.022900763358778626
Proteobacteria	Methylotenera	0.11886586695747
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.004362050163576881
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.05561613958560523
Firmicutes	Romboutsia	0.013086150490730643
Proteobacteria	Hydrogenophaga	0.017448200654307525
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.004362050163576881
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.004362050163576881
Proteobacteria	Hyphomicrobium	0.0010905125408942203
Verrucomicrobia	Pelagicoccus	0.05670665212649945
Proteobacteria	Aquincola	0.0010905125408942203
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.007633587786259542
Firmicutes	ClostridiumXlVa	0.013086150490730643
Proteobacteria	Rhodoferax	0.14612868047982552
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.003271537622682661
Proteobacteria	Methylocystis	0.0010905125408942203
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.003271537622682661
