phylum	genus	abundance
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Polaromonas	0.0008123476848090983
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.007311129163281885
Actinobacteria	Ilumatobacter	0.00487408610885459
Proteobacteria	Curvibacter	0.05848903330625508
Bacteroidetes	Parasegetibacter	0.012185215272136474
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.030869212022745736
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0008123476848090983
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.006498781478472786
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0008123476848090983
Firmicutes	Clostridiumsensustricto	0.011372867587327376
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.0016246953696181965
Proteobacteria	Limnohabitans	0.004061738424045491
Proteobacteria	Beijerinckia	0.0
Proteobacteria	Roseomonas	0.0016246953696181965
Proteobacteria	Herbaspirillum	0.02843216896831844
Proteobacteria	Methylotenera	0.09910641754670999
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.008935824532900082
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.04224207961007311
Firmicutes	Romboutsia	0.006498781478472786
Proteobacteria	Hydrogenophaga	0.01380991064175467
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.0008123476848090983
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	0.0008123476848090983
Verrucomicrobia	Pelagicoccus	0.025182778229082048
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.00487408610885459
Firmicutes	ClostridiumXlVa	0.002437043054427295
Proteobacteria	Rhodoferax	0.13322502030869213
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0008123476848090983
Proteobacteria	Limnohabitans	0.003249390739236393
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0016246953696181965
Proteobacteria	Burkholderia	0.0
Actinobacteria	Ilumatobacter	0.012185215272136474
Proteobacteria	Polynucleobacter	0.0008123476848090983
