phylum	genus	abundance
Proteobacteria	Gemmobacter	0.004294478527607362
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0006134969325153375
Proteobacteria	Burkholderia	0.001226993865030675
Bacteroidetes	Pedobacter	0.013496932515337423
Actinobacteria	Ilumatobacter	0.02392638036809816
Proteobacteria	Curvibacter	0.11779141104294479
Bacteroidetes	Parasegetibacter	0.04785276073619632
Firmicutes	Clostridiumsensustricto	0.0006134969325153375
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.06687116564417178
Proteobacteria	Limnohabitans	0.0006134969325153375
Proteobacteria	Herbaspirillum	0.00245398773006135
Actinobacteria	Streptomyces	0.0018404907975460123
Proteobacteria	Gemmobacter	0.005521472392638037
Proteobacteria	Sphaerotilus	0.0006134969325153375
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.00245398773006135
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.012883435582822086
Proteobacteria	Limnohabitans	0.003067484662576687
Proteobacteria	Beijerinckia	0.0006134969325153375
Proteobacteria	Roseomonas	0.004294478527607362
Proteobacteria	Herbaspirillum	0.018404907975460124
Proteobacteria	Methylotenera	0.02392638036809816
Proteobacteria	Herbaspirillum	0.001226993865030675
Firmicutes	Clostridiumsensustricto	0.0018404907975460123
Cyanobacteria	GpIIa	0.0006134969325153375
Proteobacteria	Sphingorhabdus	0.0006134969325153375
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.19263803680981595
Firmicutes	Romboutsia	0.00245398773006135
Proteobacteria	Hydrogenophaga	0.01717791411042945
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.011042944785276074
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.00245398773006135
Proteobacteria	Hyphomicrobium	0.001226993865030675
Verrucomicrobia	Pelagicoccus	0.0006134969325153375
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.007361963190184049
Firmicutes	ClostridiumXlVa	0.0018404907975460123
Proteobacteria	Rhodoferax	0.0852760736196319
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0006134969325153375
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0006134969325153375
Proteobacteria	Methylocystis	0.001226993865030675
Proteobacteria	Limnohabitans	0.0018404907975460123
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0006134969325153375
Proteobacteria	Burkholderia	0.0006134969325153375
Actinobacteria	Ilumatobacter	0.00245398773006135
Proteobacteria	Polynucleobacter	0.001226993865030675
Proteobacteria	Herbaspirillum	0.0049079754601227
Proteobacteria	Aquincola	0.0006134969325153375
Proteobacteria	Curvibacter	0.0006134969325153375
Proteobacteria	Novosphingobium	0.00245398773006135
Proteobacteria	Methylotenera	0.0006134969325153375
Actinobacteria	Ilumatobacter	0.001226993865030675
Proteobacteria	Ignatzschineria	0.020245398773006136
Cyanobacteria	Cryptomonadaceae	0.015337423312883436
Proteobacteria	Limnohabitans	0.013496932515337423
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.06073619631901841
Proteobacteria	Limnohabitans	0.007361963190184049
Proteobacteria	Polaromonas	0.0196319018404908
Proteobacteria	Methylocystis	0.00245398773006135
Bacteroidetes	Pedobacter	0.006134969325153374
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.001226993865030675
Proteobacteria	Achromobacter	0.10613496932515337
Proteobacteria	Polaromonas	0.0018404907975460123
Actinobacteria	Klugiella	0.0006134969325153375
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.0006134969325153375
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0018404907975460123
Bacteroidetes	Arcicella	0.001226993865030675
Proteobacteria	Methylotenera	0.0006134969325153375
Verrucomicrobia	Pelagicoccus	0.0006134969325153375
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0006134969325153375
Proteobacteria	Achromobacter	0.0006134969325153375
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.001226993865030675
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0006134969325153375
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0049079754601227
Actinobacteria	Streptomyces	0.011656441717791411
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0006134969325153375
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.0006134969325153375
Proteobacteria	Gemmobacter	0.001226993865030675
Proteobacteria	Gemmobacter	0.003067484662576687
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.00245398773006135
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	0.00245398773006135
Proteobacteria	Sphingorhabdus	0.0006134969325153375
Bacteroidetes	Solitalea	0.001226993865030675
Cyanobacteria	GpIIa	0.001226993865030675
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.001226993865030675
Bacteroidetes	Arcicella	0.001226993865030675
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0018404907975460123
Proteobacteria	Polynucleobacter	0.0006134969325153375
Actinobacteria	Arsenicicoccus	0.0006134969325153375
Proteobacteria	Polynucleobacter	0.0006134969325153375
Proteobacteria	Polynucleobacter	0.0006134969325153375
Proteobacteria	Sphingorhabdus	0.0006134969325153375
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
