phylum	genus	abundance
Proteobacteria	Gemmobacter	0.013315579227696404
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0013315579227696406
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.014647137150466045
Actinobacteria	Ilumatobacter	0.002663115845539281
Proteobacteria	Curvibacter	0.17709720372836218
Bacteroidetes	Parasegetibacter	0.02663115845539281
Firmicutes	Clostridiumsensustricto	0.006657789613848202
Proteobacteria	Leptothrix	0.002663115845539281
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.02929427430093209
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Herbaspirillum	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.018641810918774968
Proteobacteria	Sphaerotilus	0.0013315579227696406
Proteobacteria	Limnohabitans	0.0013315579227696406
Firmicutes	Clostridiumsensustricto	0.010652463382157125
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.002663115845539281
Proteobacteria	Limnohabitans	0.023968042609853527
Proteobacteria	Beijerinckia	0.005326231691078562
Proteobacteria	Roseomonas	0.009320905459387484
Proteobacteria	Herbaspirillum	0.02130492676431425
Proteobacteria	Methylotenera	0.03595206391478029
Proteobacteria	Herbaspirillum	0.002663115845539281
Firmicutes	Clostridiumsensustricto	0.002663115845539281
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.002663115845539281
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.07723035952063914
Firmicutes	Romboutsia	0.005326231691078562
Proteobacteria	Hydrogenophaga	0.018641810918774968
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.007989347536617843
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.005326231691078562
Proteobacteria	Hyphomicrobium	0.007989347536617843
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.014647137150466045
Firmicutes	ClostridiumXlVa	0.002663115845539281
Proteobacteria	Rhodoferax	0.11717709720372836
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.005326231691078562
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Burkholderia	0.0013315579227696406
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0039946737683089215
Proteobacteria	Burkholderia	0.0013315579227696406
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Polynucleobacter	0.007989347536617843
Proteobacteria	Herbaspirillum	0.009320905459387484
Proteobacteria	Aquincola	0.0
Proteobacteria	Curvibacter	0.002663115845539281
Proteobacteria	Novosphingobium	0.006657789613848202
Proteobacteria	Methylotenera	0.0013315579227696406
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.0039946737683089215
Cyanobacteria	Cryptomonadaceae	0.005326231691078562
Proteobacteria	Limnohabitans	0.02130492676431425
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.05459387483355526
Proteobacteria	Limnohabitans	0.03062583222370173
Proteobacteria	Polaromonas	0.033288948069241014
Proteobacteria	Methylocystis	0.002663115845539281
Bacteroidetes	Pedobacter	0.009320905459387484
Proteobacteria	CandidatusPelagibacter	0.002663115845539281
Proteobacteria	Polaromonas	0.005326231691078562
Proteobacteria	Achromobacter	0.06258322237017311
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.0039946737683089215
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0013315579227696406
Verrucomicrobia	Pelagicoccus	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	0.0013315579227696406
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0013315579227696406
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.005326231691078562
Proteobacteria	Methylocystis	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.0039946737683089215
Proteobacteria	Gemmobacter	0.002663115845539281
Proteobacteria	Gemmobacter	0.014647137150466045
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	0.0013315579227696406
Proteobacteria	Sphingorhabdus	0.0013315579227696406
Bacteroidetes	Solitalea	0.0013315579227696406
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.002663115845539281
Proteobacteria	Polynucleobacter	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0013315579227696406
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.002663115845539281
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Limnohabitans	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0013315579227696406
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
