phylum	genus	abundance
Proteobacteria	Gemmobacter	0.003076923076923077
Proteobacteria	Polaromonas	0.002307692307692308
Proteobacteria	Curvibacter	0.004615384615384616
Proteobacteria	Burkholderia	0.0038461538461538464
Bacteroidetes	Pedobacter	0.04384615384615385
Actinobacteria	Ilumatobacter	0.004615384615384616
Proteobacteria	Curvibacter	0.14923076923076922
Bacteroidetes	Parasegetibacter	0.07384615384615385
Firmicutes	Clostridiumsensustricto	0.0007692307692307692
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0007692307692307692
Actinobacteria	Rhodoluna	0.05846153846153846
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.015384615384615385
Actinobacteria	Streptomyces	0.0007692307692307692
Proteobacteria	Gemmobacter	0.015384615384615385
Proteobacteria	Sphaerotilus	0.0007692307692307692
Proteobacteria	Limnohabitans	0.0015384615384615385
Firmicutes	Clostridiumsensustricto	0.014615384615384615
Proteobacteria	Curvibacter	0.0015384615384615385
Planctomycetes	Pirellula	0.005384615384615384
Proteobacteria	Limnohabitans	0.2053846153846154
Proteobacteria	Beijerinckia	0.01
Proteobacteria	Roseomonas	0.03076923076923077
Proteobacteria	Herbaspirillum	0.014615384615384615
Proteobacteria	Methylotenera	0.06
Proteobacteria	Herbaspirillum	0.0007692307692307692
Firmicutes	Clostridiumsensustricto	0.0007692307692307692
Cyanobacteria	GpIIa	0.0015384615384615385
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Cyanobacteria	Chlorophyta	0.0015384615384615385
Bacteroidetes	Flavobacterium	0.02
Firmicutes	Romboutsia	0.005384615384615384
Proteobacteria	Hydrogenophaga	0.046153846153846156
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.004615384615384616
Proteobacteria	Limnohabitans	0.0007692307692307692
Proteobacteria	Limnohabitans	0.0007692307692307692
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.002307692307692308
Proteobacteria	Hyphomicrobium	0.007692307692307693
Verrucomicrobia	Pelagicoccus	0.019230769230769232
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0038461538461538464
Proteobacteria	Methylocystis	0.003076923076923077
Firmicutes	ClostridiumXlVa	0.0015384615384615385
Proteobacteria	Rhodoferax	0.02076923076923077
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Proteobacteria	Limnohabitans	0.0015384615384615385
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Burkholderia	0.0007692307692307692
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Polynucleobacter	0.002307692307692308
Proteobacteria	Herbaspirillum	0.006923076923076923
Proteobacteria	Aquincola	0.0
Proteobacteria	Curvibacter	0.0007692307692307692
Proteobacteria	Novosphingobium	0.0
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.0038461538461538464
Cyanobacteria	Cryptomonadaceae	0.021538461538461538
Proteobacteria	Limnohabitans	0.0007692307692307692
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.024615384615384615
Proteobacteria	Limnohabitans	0.007692307692307693
Proteobacteria	Polaromonas	0.007692307692307693
Proteobacteria	Methylocystis	0.0
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.0015384615384615385
Proteobacteria	Polaromonas	0.0007692307692307692
Actinobacteria	Klugiella	0.0
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.0007692307692307692
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0007692307692307692
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0007692307692307692
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0007692307692307692
Actinobacteria	Streptomyces	0.0015384615384615385
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.022307692307692306
Proteobacteria	Gemmobacter	0.005384615384615384
Proteobacteria	Gemmobacter	0.006153846153846154
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0015384615384615385
Bacteroidetes	Parasegetibacter	0.008461538461538461
Proteobacteria	Sphingorhabdus	0.0
Bacteroidetes	Solitalea	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0007692307692307692
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0007692307692307692
Bacteroidetes	Solitalea	0.0015384615384615385
Proteobacteria	Limnohabitans	0.0015384615384615385
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
