phylum	genus	abundance
Proteobacteria	Gemmobacter	0.0035195776506819184
Proteobacteria	Polaromonas	0.0343158820941487
Proteobacteria	Curvibacter	0.008798944126704795
Proteobacteria	Burkholderia	0.007479102507699076
Bacteroidetes	Pedobacter	0.04399472063352398
Actinobacteria	Ilumatobacter	0.01803783545974483
Proteobacteria	Curvibacter	0.18125824901011878
Bacteroidetes	Parasegetibacter	0.1249450065992081
Firmicutes	Clostridiumsensustricto	0.002199736031676199
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.005279366476022877
Actinobacteria	Rhodoluna	0.033875934887813465
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.034755829300483945
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.01935767707875055
Proteobacteria	Sphaerotilus	0.0004399472063352398
Proteobacteria	Limnohabitans	0.0004399472063352398
Firmicutes	Clostridiumsensustricto	0.02331720193576771
Proteobacteria	Curvibacter	0.01847778266608007
Planctomycetes	Pirellula	0.044434667839859214
Proteobacteria	Limnohabitans	0.02287725472943247
Proteobacteria	Beijerinckia	0.010118785745710514
Proteobacteria	Roseomonas	0.026836779586449627
Proteobacteria	Herbaspirillum	0.03739551253849538
Proteobacteria	Methylotenera	0.047954245490541135
Proteobacteria	Herbaspirillum	0.009238891333040036
Firmicutes	Clostridiumsensustricto	0.0035195776506819184
Cyanobacteria	GpIIa	0.0030796304443466782
Proteobacteria	Sphingorhabdus	0.0004399472063352398
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0030796304443466782
Bacteroidetes	Flavobacterium	0.025956885173779146
Firmicutes	Romboutsia	0.01803783545974483
Proteobacteria	Hydrogenophaga	0.0026396832380114386
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.005719313682358117
Proteobacteria	Limnohabitans	0.0013198416190057193
Proteobacteria	Limnohabitans	0.0004399472063352398
Proteobacteria	Polynucleobacter	0.0013198416190057193
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	0.007479102507699076
Verrucomicrobia	Pelagicoccus	0.07699076110866696
Proteobacteria	Aquincola	0.0013198416190057193
Cyanobacteria	Chlorophyta	0.0008798944126704796
Proteobacteria	Methylocystis	0.007919049714034315
Firmicutes	ClostridiumXlVa	0.004839419269687638
