phylum	genus	abundance
Proteobacteria	Gemmobacter	0.0038022813688212928
Proteobacteria	Polaromonas	0.045627376425855515
Proteobacteria	Curvibacter	0.010773130544993664
Proteobacteria	Burkholderia	0.0063371356147021544
Bacteroidetes	Pedobacter	0.026615969581749048
Actinobacteria	Ilumatobacter	0.07858048162230671
Proteobacteria	Curvibacter	0.10836501901140684
Bacteroidetes	Parasegetibacter	0.10899873257287707
Firmicutes	Clostridiumsensustricto	0.0012674271229404308
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.005069708491761723
Actinobacteria	Rhodoluna	0.07604562737642585
Proteobacteria	Limnohabitans	0.0006337135614702154
Proteobacteria	Herbaspirillum	0.053231939163498096
Actinobacteria	Streptomyces	0.0006337135614702154
Proteobacteria	Gemmobacter	0.008238276299112801
Proteobacteria	Sphaerotilus	0.0031685678073510772
Proteobacteria	Limnohabitans	0.0038022813688212928
Firmicutes	Clostridiumsensustricto	0.010139416983523447
Proteobacteria	Curvibacter	0.008871989860583017
Planctomycetes	Pirellula	0.08935361216730038
Proteobacteria	Limnohabitans	0.019011406844106463
Proteobacteria	Beijerinckia	0.02091254752851711
Proteobacteria	Roseomonas	0.024081115335868188
Proteobacteria	Herbaspirillum	0.038656527249683145
Proteobacteria	Methylotenera	0.029150823827629912
Proteobacteria	Herbaspirillum	0.012040557667934094
Firmicutes	Clostridiumsensustricto	0.0012674271229404308
Cyanobacteria	GpIIa	0.023447401774397972
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0031685678073510772
Bacteroidetes	Flavobacterium	0.034220532319391636
Firmicutes	Romboutsia	0.010773130544993664
Proteobacteria	Hydrogenophaga	0.0031685678073510772
Proteobacteria	Polynucleobacter	0.0012674271229404308
Actinobacteria	Agromyces	0.008238276299112801
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0006337135614702154
Proteobacteria	Polynucleobacter	0.0012674271229404308
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	0.014575411913814956
Verrucomicrobia	Pelagicoccus	0.005703422053231939
Proteobacteria	Aquincola	0.0012674271229404308
Cyanobacteria	Chlorophyta	0.0019011406844106464
Proteobacteria	Methylocystis	0.004435994930291508
Firmicutes	ClostridiumXlVa	0.0038022813688212928
Proteobacteria	Rhodoferax	0.0019011406844106464
Actinobacteria	Terrabacter	0.0012674271229404308
Proteobacteria	Methylocella	0.0006337135614702154
Proteobacteria	Limnohabitans	0.0019011406844106464
Proteobacteria	Limnohabitans	0.0031685678073510772
Proteobacteria	Methylocystis	0.0019011406844106464
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0019011406844106464
Proteobacteria	Burkholderia	0.0006337135614702154
Actinobacteria	Ilumatobacter	0.0019011406844106464
Proteobacteria	Polynucleobacter	0.005703422053231939
Proteobacteria	Herbaspirillum	0.0031685678073510772
Proteobacteria	Aquincola	0.0012674271229404308
Proteobacteria	Curvibacter	0.0006337135614702154
Proteobacteria	Novosphingobium	0.0063371356147021544
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.0025348542458808617
Cyanobacteria	Cryptomonadaceae	0.0038022813688212928
