phylum	genus	abundance
Proteobacteria	Gemmobacter	0.00518326545723806
Proteobacteria	Polaromonas	0.03887449092928545
Proteobacteria	Curvibacter	0.025175860792299148
Proteobacteria	Burkholderia	0.015179563124768604
Bacteroidetes	Pedobacter	0.0074046649389115145
Actinobacteria	Ilumatobacter	0.03887449092928545
Proteobacteria	Curvibacter	0.042576823398741206
Bacteroidetes	Parasegetibacter	0.039614957423176604
Firmicutes	Clostridiumsensustricto	0.008145131432802665
Proteobacteria	Leptothrix	0.002961865975564606
Proteobacteria	Polaromonas	0.03554239170677527
Actinobacteria	Rhodoluna	0.09811181044057757
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.022584228063680118
Actinobacteria	Streptomyces	0.00037023324694557573
Proteobacteria	Gemmobacter	0.03554239170677527
Proteobacteria	Sphaerotilus	0.01888189559422436
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.04850055534987042
Proteobacteria	Curvibacter	0.0074046649389115145
Planctomycetes	Pirellula	0.14476119955572012
Proteobacteria	Limnohabitans	0.008885597926693817
Proteobacteria	Beijerinckia	0.034061458718992965
Proteobacteria	Roseomonas	0.07737874861162532
Proteobacteria	Herbaspirillum	0.007034431691965938
Proteobacteria	Methylotenera	0.01554979637171418
Proteobacteria	Herbaspirillum	0.0033320992225101815
Firmicutes	Clostridiumsensustricto	0.005923731951129212
Cyanobacteria	GpIIa	0.008145131432802665
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.009626064420584968
Bacteroidetes	Flavobacterium	0.00518326545723806
Firmicutes	Romboutsia	0.04590892262125139
Proteobacteria	Hydrogenophaga	0.0022213994816734544
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.005923731951129212
Proteobacteria	Limnohabitans	0.0011106997408367272
Proteobacteria	Limnohabitans	0.00037023324694557573
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.0007404664938911515
Proteobacteria	Hyphomicrobium	0.009996297667530544
Verrucomicrobia	Pelagicoccus	0.008885597926693817
Proteobacteria	Aquincola	0.0011106997408367272
Cyanobacteria	Chlorophyta	0.0410958904109589
Proteobacteria	Methylocystis	0.024065161051462423
Firmicutes	ClostridiumXlVa	0.011847463902258423
Proteobacteria	Rhodoferax	0.00259163272861903
Actinobacteria	Terrabacter	0.0007404664938911515
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.00037023324694557573
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0022213994816734544
Proteobacteria	Limnohabitans	0.00037023324694557573
Proteobacteria	Burkholderia	0.0011106997408367272
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.002961865975564606
Proteobacteria	Burkholderia	0.0
Actinobacteria	Ilumatobacter	0.002961865975564606
Proteobacteria	Polynucleobacter	0.00037023324694557573
Proteobacteria	Herbaspirillum	0.0007404664938911515
Proteobacteria	Aquincola	0.00037023324694557573
Proteobacteria	Curvibacter	0.0
Proteobacteria	Novosphingobium	0.0011106997408367272
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.0022213994816734544
Cyanobacteria	Cryptomonadaceae	0.0011106997408367272
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.00037023324694557573
Proteobacteria	Curvibacter	0.0007404664938911515
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Methylocystis	0.00037023324694557573
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	0.00037023324694557573
Proteobacteria	Polynucleobacter	0.00037023324694557573
Firmicutes	Clostridiumsensustricto	0.00037023324694557573
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0011106997408367272
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.0007404664938911515
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Parvibaculum	0.00037023324694557573
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.00259163272861903
Actinobacteria	Streptomyces	0.001480932987782303
Proteobacteria	Methylocystis	0.0007404664938911515
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.00037023324694557573
Proteobacteria	Methylocystis	0.001480932987782303
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.00037023324694557573
Proteobacteria	Gemmobacter	0.00037023324694557573
Proteobacteria	Gemmobacter	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.00037023324694557573
Proteobacteria	Polynucleobacter	0.00037023324694557573
Bacteroidetes	Parasegetibacter	0.001480932987782303
Proteobacteria	Sphingorhabdus	0.0007404664938911515
Bacteroidetes	Solitalea	0.00037023324694557573
Cyanobacteria	GpIIa	0.00037023324694557573
Proteobacteria	Polynucleobacter	0.00037023324694557573
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.00037023324694557573
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
