phylum	genus	abundance
Proteobacteria	Gemmobacter	0.0018999366687777073
Proteobacteria	Polaromonas	0.07346421785940468
Proteobacteria	Curvibacter	0.04306523115896137
Proteobacteria	Burkholderia	0.008866371120962635
Bacteroidetes	Pedobacter	0.006966434452184927
Actinobacteria	Ilumatobacter	0.031665611146295125
Proteobacteria	Curvibacter	0.16972767574414185
Bacteroidetes	Parasegetibacter	0.06269791006966434
Firmicutes	Clostridiumsensustricto	0.00253324889170361
Proteobacteria	Leptothrix	0.007599746675110829
Proteobacteria	Polaromonas	0.09879670677644078
Actinobacteria	Rhodoluna	0.08803039898670044
Proteobacteria	Limnohabitans	0.001266624445851805
Proteobacteria	Herbaspirillum	0.04179860671310956
Actinobacteria	Streptomyces	0.0006333122229259025
Proteobacteria	Gemmobacter	0.010766307789740342
Proteobacteria	Sphaerotilus	0.04496516782773907
Proteobacteria	Limnohabitans	0.006333122229259025
Firmicutes	Clostridiumsensustricto	0.014566181127295756
Proteobacteria	Curvibacter	0.01773274224192527
Planctomycetes	Pirellula	0.026599113362887904
Proteobacteria	Limnohabitans	0.017099430018999367
Proteobacteria	Beijerinckia	0.024699176694110196
Proteobacteria	Roseomonas	0.022799240025332488
Proteobacteria	Herbaspirillum	0.021532615579480684
Proteobacteria	Methylotenera	0.007599746675110829
Proteobacteria	Herbaspirillum	0.011399620012666244
Firmicutes	Clostridiumsensustricto	0.001266624445851805
Cyanobacteria	GpIIa	0.016466117796073463
Proteobacteria	Sphingorhabdus	0.0006333122229259025
Proteobacteria	Limnohabitans	0.004433185560481318
Cyanobacteria	Chlorophyta	0.011399620012666244
Bacteroidetes	Flavobacterium	0.008866371120962635
Firmicutes	Romboutsia	0.016466117796073463
Proteobacteria	Hydrogenophaga	0.005699810006333122
Proteobacteria	Polynucleobacter	0.00253324889170361
Actinobacteria	Agromyces	0.0031665611146295125
Proteobacteria	Limnohabitans	0.001266624445851805
Proteobacteria	Limnohabitans	0.0006333122229259025
Proteobacteria	Polynucleobacter	0.0006333122229259025
Proteobacteria	Achromobacter	0.0037998733375554147
Proteobacteria	Hyphomicrobium	0.004433185560481318
Verrucomicrobia	Pelagicoccus	0.00253324889170361
Proteobacteria	Aquincola	0.0018999366687777073
Cyanobacteria	Chlorophyta	0.01266624445851805
Proteobacteria	Methylocystis	0.00506649778340722
Firmicutes	ClostridiumXlVa	0.006333122229259025
Proteobacteria	Rhodoferax	0.0031665611146295125
Actinobacteria	Terrabacter	0.001266624445851805
Proteobacteria	Methylocella	0.0006333122229259025
Proteobacteria	Limnohabitans	0.001266624445851805
Proteobacteria	Limnohabitans	0.0018999366687777073
Proteobacteria	Methylocystis	0.001266624445851805
Proteobacteria	Limnohabitans	0.001266624445851805
Proteobacteria	Burkholderia	0.0006333122229259025
Proteobacteria	Pandoraea	0.0006333122229259025
Proteobacteria	Gemmobacter	0.0018999366687777073
Proteobacteria	Burkholderia	0.001266624445851805
Actinobacteria	Ilumatobacter	0.0018999366687777073
Proteobacteria	Polynucleobacter	0.00253324889170361
Proteobacteria	Herbaspirillum	0.001266624445851805
Proteobacteria	Aquincola	0.001266624445851805
Proteobacteria	Curvibacter	0.0006333122229259025
Proteobacteria	Novosphingobium	0.0006333122229259025
Proteobacteria	Methylotenera	0.0006333122229259025
Actinobacteria	Ilumatobacter	0.0006333122229259025
Proteobacteria	Ignatzschineria	0.0
Cyanobacteria	Cryptomonadaceae	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Methylocystis	0.0
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	0.0
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Bacteroidetes	Solitalea	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
