phylum	genus	abundance
Proteobacteria	Gemmobacter	0.022873297352865588
Proteobacteria	Polaromonas	0.0005140066820868671
Proteobacteria	Curvibacter	0.00025700334104343357
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.0020560267283474686
Actinobacteria	Ilumatobacter	0.011822153687997944
Proteobacteria	Curvibacter	0.005140066820868671
Bacteroidetes	Parasegetibacter	0.03109740426625546
Firmicutes	Clostridiumsensustricto	0.007710100231303007
Proteobacteria	Leptothrix	0.00025700334104343357
Proteobacteria	Polaromonas	0.0005140066820868671
Actinobacteria	Rhodoluna	0.147005911076844
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.01079414032382421
Actinobacteria	Streptomyces	0.0005140066820868671
Proteobacteria	Gemmobacter	0.005911076843998972
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0005140066820868671
Firmicutes	Clostridiumsensustricto	0.1945515291698792
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.04831662811616551
Proteobacteria	Limnohabitans	0.008995116936520175
Proteobacteria	Beijerinckia	0.05654073502955539
Proteobacteria	Roseomonas	0.015677203803649446
Proteobacteria	Herbaspirillum	0.0005140066820868671
Proteobacteria	Methylotenera	0.0038550501156515036
Proteobacteria	Herbaspirillum	0.0005140066820868671
Firmicutes	Clostridiumsensustricto	0.06887689539964019
Cyanobacteria	GpIIa	0.0025700334104343356
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.02235929067077872
Bacteroidetes	Flavobacterium	0.01593420714469288
Firmicutes	Romboutsia	0.1110254433307633
Proteobacteria	Hydrogenophaga	0.00359804677460807
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.013878180416345412
Proteobacteria	Hyphomicrobium	0.01156515034695451
Verrucomicrobia	Pelagicoccus	0.00025700334104343357
Proteobacteria	Aquincola	0.0005140066820868671
Cyanobacteria	Chlorophyta	0.042148547931123104
Proteobacteria	Methylocystis	0.0382934978154716
Firmicutes	ClostridiumXlVa	0.04163454124903624
Proteobacteria	Rhodoferax	0.0012850167052171678
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.00025700334104343357
Proteobacteria	Limnohabitans	0.00025700334104343357
Proteobacteria	Limnohabitans	0.00025700334104343357
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.004112053456694937
Proteobacteria	Burkholderia	0.0005140066820868671
Actinobacteria	Ilumatobacter	0.0012850167052171678
Proteobacteria	Polynucleobacter	0.0015420200462606013
Proteobacteria	Herbaspirillum	0.0
Proteobacteria	Aquincola	0.00025700334104343357
Proteobacteria	Curvibacter	0.0
Proteobacteria	Novosphingobium	0.0012850167052171678
Proteobacteria	Methylotenera	0.00025700334104343357
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.01079414032382421
Cyanobacteria	Cryptomonadaceae	0.009509123618607042
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0007710100231303007
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Methylocystis	0.0005140066820868671
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.00025700334104343357
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	0.005911076843998972
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0015420200462606013
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.00359804677460807
Bacteroidetes	Arcicella	0.00025700334104343357
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.0005140066820868671
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0010280133641737343
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0007710100231303007
Proteobacteria	Parvibaculum	0.0007710100231303007
Proteobacteria	Polynucleobacter	0.0
