phylum	genus	abundance
Proteobacteria	Gemmobacter	0.022195560887822437
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.001799640071985603
Proteobacteria	Burkholderia	0.0005998800239952009
Bacteroidetes	Pedobacter	0.010197960407918417
Actinobacteria	Ilumatobacter	0.008998200359928014
Proteobacteria	Curvibacter	0.09598080383923216
Bacteroidetes	Parasegetibacter	0.02519496100779844
Firmicutes	Clostridiumsensustricto	0.007198560287942412
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0005998800239952009
Actinobacteria	Rhodoluna	0.15896820635872824
Proteobacteria	Limnohabitans	0.0005998800239952009
Proteobacteria	Herbaspirillum	0.010797840431913617
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.013797240551889621
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.10437912417516497
Proteobacteria	Curvibacter	0.0011997600479904018
Planctomycetes	Pirellula	0.032993401319736056
Proteobacteria	Limnohabitans	0.035992801439712056
Proteobacteria	Beijerinckia	0.07198560287942411
Proteobacteria	Roseomonas	0.02399520095980804
Proteobacteria	Herbaspirillum	0.004799040191961607
Proteobacteria	Methylotenera	0.005398920215956809
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.03479304139172166
Cyanobacteria	GpIIa	0.0005998800239952009
Proteobacteria	Sphingorhabdus	0.0005998800239952009
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.010797840431913617
Bacteroidetes	Flavobacterium	0.013797240551889621
Firmicutes	Romboutsia	0.060587882423515295
Proteobacteria	Hydrogenophaga	0.002999400119976005
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.0011997600479904018
Proteobacteria	Limnohabitans	0.0005998800239952009
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.01979604079184163
Proteobacteria	Hyphomicrobium	0.08938212357528494
Verrucomicrobia	Pelagicoccus	0.0005998800239952009
Proteobacteria	Aquincola	0.0011997600479904018
Cyanobacteria	Chlorophyta	0.010197960407918417
Proteobacteria	Methylocystis	0.03059388122375525
Firmicutes	ClostridiumXlVa	0.017996400719856028
Proteobacteria	Rhodoferax	0.004799040191961607
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0005998800239952009
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0011997600479904018
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0005998800239952009
Proteobacteria	Burkholderia	0.0005998800239952009
Actinobacteria	Ilumatobacter	0.0005998800239952009
Proteobacteria	Polynucleobacter	0.0065986802639472104
Proteobacteria	Herbaspirillum	0.0011997600479904018
Proteobacteria	Aquincola	0.002999400119976005
Proteobacteria	Curvibacter	0.0005998800239952009
Proteobacteria	Novosphingobium	0.0
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.004199160167966407
Cyanobacteria	Cryptomonadaceae	0.004799040191961607
Proteobacteria	Limnohabitans	0.0011997600479904018
Actinobacteria	Rhodoluna	0.0005998800239952009
