phylum	genus	abundance
Proteobacteria	Gemmobacter	0.00030303
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.001313131
Actinobacteria	Ilumatobacter	0.00030303
Proteobacteria	Curvibacter	0.002525253
Bacteroidetes	Parasegetibacter	0.001919192
Firmicutes	Clostridiumsensustricto	0.00040404
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.004848485
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.000606061
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.001010101
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.001616162
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.00030303
Proteobacteria	Limnohabitans	0.000909091
Proteobacteria	Beijerinckia	0.00030303
Proteobacteria	Roseomonas	0.00010101
Proteobacteria	Herbaspirillum	0.002121212
Proteobacteria	Methylotenera	0.011010101
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.00040404
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.005151515
Firmicutes	Romboutsia	0.001212121
Proteobacteria	Hydrogenophaga	0.001616162
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.00040404
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.00040404
Proteobacteria	Hyphomicrobium	0.00010101
Verrucomicrobia	Pelagicoccus	0.005252525
Proteobacteria	Aquincola	0.00010101
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.000707071
Firmicutes	ClostridiumXlVa	0.001212121
Proteobacteria	Rhodoferax	0.013535354
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00030303
Proteobacteria	Methylocystis	0.00010101
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.00030303
Proteobacteria	Burkholderia	0.0
Actinobacteria	Ilumatobacter	0.001111111
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Herbaspirillum	0.00010101
Proteobacteria	Aquincola	0.00010101
Proteobacteria	Curvibacter	0.00030303
Proteobacteria	Novosphingobium	0.00020202
Proteobacteria	Methylotenera	0.00020202
Actinobacteria	Ilumatobacter	0.00010101
Proteobacteria	Ignatzschineria	0.006565657
Cyanobacteria	Cryptomonadaceae	0.010707071
Proteobacteria	Limnohabitans	0.002121212
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.003838384
Proteobacteria	Limnohabitans	0.001010101
Proteobacteria	Polaromonas	0.001515152
Proteobacteria	Methylocystis	0.000707071
Bacteroidetes	Pedobacter	0.000909091
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.000808081
Proteobacteria	Achromobacter	0.00030303
Proteobacteria	Polaromonas	0.00020202
Actinobacteria	Klugiella	0.00010101
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.00010101
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.00010101
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.00010101
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000505051
Proteobacteria	Methylocystis	0.00010101
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Bacteroidetes	Solitalea	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.00010101
Proteobacteria	Limnohabitans	0.00010101
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.00010101
Verrucomicrobia	Pelagicoccus	0.00010101
Unmapped	Unmapped	0.907373737
