phylum	genus	abundance
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Polaromonas	8.92061e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.000802855
Actinobacteria	Ilumatobacter	0.000535236
Proteobacteria	Curvibacter	0.006422837
Bacteroidetes	Parasegetibacter	0.001338091
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.003389831
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	8.92061e-05
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.000713649
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	8.92061e-05
Firmicutes	Clostridiumsensustricto	0.001248885
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.000178412
Proteobacteria	Limnohabitans	0.00044603
Proteobacteria	Beijerinckia	0.0
Proteobacteria	Roseomonas	0.000178412
Proteobacteria	Herbaspirillum	0.003122212
Proteobacteria	Methylotenera	0.01088314
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.000981267
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.004638715
Firmicutes	Romboutsia	0.000713649
Proteobacteria	Hydrogenophaga	0.001516503
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	8.92061e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	8.92061e-05
Verrucomicrobia	Pelagicoccus	0.002765388
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.000535236
Firmicutes	ClostridiumXlVa	0.000267618
Proteobacteria	Rhodoferax	0.014629795
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	8.92061e-05
Proteobacteria	Limnohabitans	0.000356824
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.000178412
Proteobacteria	Burkholderia	0.0
Actinobacteria	Ilumatobacter	0.001338091
Proteobacteria	Polynucleobacter	8.92061e-05
Proteobacteria	Herbaspirillum	8.92061e-05
Proteobacteria	Aquincola	0.0
Proteobacteria	Curvibacter	0.000178412
Proteobacteria	Novosphingobium	0.000356824
Proteobacteria	Methylotenera	8.92061e-05
Actinobacteria	Ilumatobacter	0.000713649
Proteobacteria	Ignatzschineria	0.019357716
Cyanobacteria	Cryptomonadaceae	0.015700268
Proteobacteria	Limnohabitans	0.003033006
Actinobacteria	Rhodoluna	0.000178412
Proteobacteria	Curvibacter	0.005263158
Proteobacteria	Limnohabitans	0.001605709
Proteobacteria	Polaromonas	0.001605709
Proteobacteria	Methylocystis	0.000356824
Bacteroidetes	Pedobacter	0.000535236
Proteobacteria	CandidatusPelagibacter	8.92061e-05
Proteobacteria	Polaromonas	0.000892061
Proteobacteria	Achromobacter	0.000535236
Proteobacteria	Polaromonas	0.000267618
Actinobacteria	Klugiella	0.000178412
Proteobacteria	Polynucleobacter	8.92061e-05
Firmicutes	Clostridiumsensustricto	8.92061e-05
Proteobacteria	Limnohabitans	8.92061e-05
Proteobacteria	Limnohabitans	8.92061e-05
Actinobacteria	Rhodoluna	0.000178412
Bacteroidetes	Arcicella	8.92061e-05
Proteobacteria	Methylotenera	0.000178412
Verrucomicrobia	Pelagicoccus	8.92061e-05
Verrucomicrobia	Cerasicoccus	8.92061e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Gemmobacter	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Bacteroidetes	Solitalea	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Unmapped	Unmapped	0.890187333
