phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000420042
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	6.0006e-05
Proteobacteria	Burkholderia	0.000120012
Bacteroidetes	Pedobacter	0.001320132
Actinobacteria	Ilumatobacter	0.002340234
Proteobacteria	Curvibacter	0.011521152
Bacteroidetes	Parasegetibacter	0.004680468
Firmicutes	Clostridiumsensustricto	6.0006e-05
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.006540654
Proteobacteria	Limnohabitans	6.0006e-05
Proteobacteria	Herbaspirillum	0.000240024
Actinobacteria	Streptomyces	0.000180018
Proteobacteria	Gemmobacter	0.000540054
Proteobacteria	Sphaerotilus	6.0006e-05
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.000240024
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.001260126
Proteobacteria	Limnohabitans	0.00030003
Proteobacteria	Beijerinckia	6.0006e-05
Proteobacteria	Roseomonas	0.000420042
Proteobacteria	Herbaspirillum	0.00180018
Proteobacteria	Methylotenera	0.002340234
Proteobacteria	Herbaspirillum	0.000120012
Firmicutes	Clostridiumsensustricto	0.000180018
Cyanobacteria	GpIIa	6.0006e-05
Proteobacteria	Sphingorhabdus	6.0006e-05
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.018841884
Firmicutes	Romboutsia	0.000240024
Proteobacteria	Hydrogenophaga	0.001680168
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.001080108
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.000240024
Proteobacteria	Hyphomicrobium	0.000120012
Verrucomicrobia	Pelagicoccus	6.0006e-05
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.000720072
Firmicutes	ClostridiumXlVa	0.000180018
Proteobacteria	Rhodoferax	0.008340834
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	6.0006e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	6.0006e-05
Proteobacteria	Methylocystis	0.000120012
Proteobacteria	Limnohabitans	0.000180018
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	6.0006e-05
Proteobacteria	Burkholderia	6.0006e-05
Actinobacteria	Ilumatobacter	0.000240024
Proteobacteria	Polynucleobacter	0.000120012
Proteobacteria	Herbaspirillum	0.000480048
Proteobacteria	Aquincola	6.0006e-05
Proteobacteria	Curvibacter	6.0006e-05
Proteobacteria	Novosphingobium	0.000240024
Proteobacteria	Methylotenera	6.0006e-05
Actinobacteria	Ilumatobacter	0.000120012
Proteobacteria	Ignatzschineria	0.001980198
