phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000903016
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	9.03016e-05
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.000993318
Actinobacteria	Ilumatobacter	0.000180603
Proteobacteria	Curvibacter	0.012010114
Bacteroidetes	Parasegetibacter	0.001806032
Firmicutes	Clostridiumsensustricto	0.000451508
Proteobacteria	Leptothrix	0.000180603
Proteobacteria	Polaromonas	0.0
Actinobacteria	Rhodoluna	0.001986635
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Herbaspirillum	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.001264223
Proteobacteria	Sphaerotilus	9.03016e-05
Proteobacteria	Limnohabitans	9.03016e-05
Firmicutes	Clostridiumsensustricto	0.000722413
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.000180603
Proteobacteria	Limnohabitans	0.001625429
Proteobacteria	Beijerinckia	0.000361206
Proteobacteria	Roseomonas	0.000632111
Proteobacteria	Herbaspirillum	0.001444826
Proteobacteria	Methylotenera	0.002438143
Proteobacteria	Herbaspirillum	0.000180603
Firmicutes	Clostridiumsensustricto	0.000180603
Cyanobacteria	GpIIa	0.0
Proteobacteria	Sphingorhabdus	0.000180603
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.0
Bacteroidetes	Flavobacterium	0.005237493
Firmicutes	Romboutsia	0.000361206
Proteobacteria	Hydrogenophaga	0.001264223
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.00054181
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.000361206
Proteobacteria	Hyphomicrobium	0.00054181
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Methylocystis	0.000993318
Firmicutes	ClostridiumXlVa	0.000180603
Proteobacteria	Rhodoferax	0.007946541
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.000361206
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Burkholderia	9.03016e-05
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.000270905
Proteobacteria	Burkholderia	9.03016e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Polynucleobacter	0.00054181
Proteobacteria	Herbaspirillum	0.000632111
Proteobacteria	Aquincola	0.0
Proteobacteria	Curvibacter	0.000180603
Proteobacteria	Novosphingobium	0.000451508
Proteobacteria	Methylotenera	9.03016e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.000270905
Cyanobacteria	Cryptomonadaceae	0.000361206
Proteobacteria	Limnohabitans	0.001444826
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.003702366
Proteobacteria	Limnohabitans	0.002076937
Proteobacteria	Polaromonas	0.00225754
Proteobacteria	Methylocystis	0.000180603
Bacteroidetes	Pedobacter	0.000632111
Proteobacteria	CandidatusPelagibacter	0.000180603
Proteobacteria	Polaromonas	0.000361206
Proteobacteria	Achromobacter	0.004244176
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	9.03016e-05
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.000270905
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	9.03016e-05
Verrucomicrobia	Pelagicoccus	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polynucleobacter	9.03016e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	9.03016e-05
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000361206
Proteobacteria	Methylocystis	9.03016e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.000270905
Proteobacteria	Gemmobacter	0.000180603
Proteobacteria	Gemmobacter	0.000993318
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Parasegetibacter	9.03016e-05
Proteobacteria	Sphingorhabdus	9.03016e-05
Bacteroidetes	Solitalea	9.03016e-05
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.000180603
Proteobacteria	Polynucleobacter	9.03016e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	9.03016e-05
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Solitalea	0.0
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.000180603
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Limnohabitans	9.03016e-05
Proteobacteria	Polynucleobacter	9.03016e-05
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Unmapped	Unmapped	0.932183493
