phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000275938
Proteobacteria	Polaromonas	0.000206954
Proteobacteria	Curvibacter	0.000413907
Proteobacteria	Burkholderia	0.000344923
Bacteroidetes	Pedobacter	0.003932119
Actinobacteria	Ilumatobacter	0.000413907
Proteobacteria	Curvibacter	0.013383002
Bacteroidetes	Parasegetibacter	0.006622517
Firmicutes	Clostridiumsensustricto	6.89845e-05
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	6.89845e-05
Actinobacteria	Rhodoluna	0.005242826
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.001379691
Actinobacteria	Streptomyces	6.89845e-05
Proteobacteria	Gemmobacter	0.001379691
Proteobacteria	Sphaerotilus	6.89845e-05
Proteobacteria	Limnohabitans	0.000137969
Firmicutes	Clostridiumsensustricto	0.001310706
Proteobacteria	Curvibacter	0.000137969
Planctomycetes	Pirellula	0.000482892
Proteobacteria	Limnohabitans	0.018418874
Proteobacteria	Beijerinckia	0.000896799
Proteobacteria	Roseomonas	0.002759382
Proteobacteria	Herbaspirillum	0.001310706
Proteobacteria	Methylotenera	0.005380795
Proteobacteria	Herbaspirillum	6.89845e-05
Firmicutes	Clostridiumsensustricto	6.89845e-05
Cyanobacteria	GpIIa	0.000137969
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Cyanobacteria	Chlorophyta	0.000137969
Bacteroidetes	Flavobacterium	0.001793598
Firmicutes	Romboutsia	0.000482892
Proteobacteria	Hydrogenophaga	0.004139073
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.000413907
Proteobacteria	Limnohabitans	6.89845e-05
Proteobacteria	Limnohabitans	6.89845e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.000206954
Proteobacteria	Hyphomicrobium	0.000689845
Verrucomicrobia	Pelagicoccus	0.001724614
Proteobacteria	Aquincola	0.0
Cyanobacteria	Chlorophyta	0.000344923
Proteobacteria	Methylocystis	0.000275938
Firmicutes	ClostridiumXlVa	0.000137969
Proteobacteria	Rhodoferax	0.001862583
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Proteobacteria	Limnohabitans	0.000137969
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.0
Proteobacteria	Burkholderia	6.89845e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Polynucleobacter	0.000206954
Proteobacteria	Herbaspirillum	0.000620861
Proteobacteria	Aquincola	0.0
Proteobacteria	Curvibacter	6.89845e-05
Proteobacteria	Novosphingobium	0.0
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.000344923
Cyanobacteria	Cryptomonadaceae	0.001931567
Proteobacteria	Limnohabitans	6.89845e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.002207506
Proteobacteria	Limnohabitans	0.000689845
Proteobacteria	Polaromonas	0.000689845
Proteobacteria	Methylocystis	0.0
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.000137969
Proteobacteria	Polaromonas	6.89845e-05
Actinobacteria	Klugiella	0.0
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	6.89845e-05
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Achromobacter	6.89845e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	6.89845e-05
Proteobacteria	Parvibaculum	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Actinobacteria	Streptomyces	6.89845e-05
Actinobacteria	Streptomyces	0.000137969
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquincola	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Gemmobacter	0.002000552
Proteobacteria	Gemmobacter	0.000482892
Proteobacteria	Gemmobacter	0.000551876
Actinobacteria	Streptomyces	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polynucleobacter	0.000137969
Bacteroidetes	Parasegetibacter	0.00075883
Proteobacteria	Sphingorhabdus	0.0
Bacteroidetes	Solitalea	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Arcicella	6.89845e-05
Cyanobacteria	GpIIa	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Arsenicicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	6.89845e-05
Bacteroidetes	Solitalea	0.000137969
Proteobacteria	Limnohabitans	0.000137969
Proteobacteria	Vasilyevaea	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Unmapped	Unmapped	0.910320088
