phylum	genus	abundance
Proteobacteria	Gemmobacter	0.00038591
Proteobacteria	Polaromonas	0.00376266
Proteobacteria	Curvibacter	0.00096479
Proteobacteria	Burkholderia	0.00082007
Bacteroidetes	Pedobacter	0.00482393
Actinobacteria	Ilumatobacter	0.00197781
Proteobacteria	Curvibacter	0.01987458
Bacteroidetes	Parasegetibacter	0.01369995
Firmicutes	Clostridiumsensustricto	0.0002412
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.00057887
Actinobacteria	Rhodoluna	0.00371442
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0038109
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.00212253
Proteobacteria	Sphaerotilus	4.8239e-05
Proteobacteria	Limnohabitans	4.8239e-05
Firmicutes	Clostridiumsensustricto	0.00255668
Proteobacteria	Curvibacter	0.00202605
Planctomycetes	Pirellula	0.00487217
Proteobacteria	Limnohabitans	0.00250844
Proteobacteria	Beijerinckia	0.0011095
Proteobacteria	Roseomonas	0.0029426
Proteobacteria	Herbaspirillum	0.00410034
Proteobacteria	Methylotenera	0.00525808
Proteobacteria	Herbaspirillum	0.00101303
Firmicutes	Clostridiumsensustricto	0.00038591
Cyanobacteria	GpIIa	0.00033768
Proteobacteria	Sphingorhabdus	4.8239e-05
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.00033768
Bacteroidetes	Flavobacterium	0.00284612
Firmicutes	Romboutsia	0.00197781
Proteobacteria	Hydrogenophaga	0.00028944
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.00062711
Proteobacteria	Limnohabitans	0.00014472
Proteobacteria	Limnohabitans	4.8239e-05
Proteobacteria	Polynucleobacter	0.00014472
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	0.00082007
Verrucomicrobia	Pelagicoccus	0.00844187
Proteobacteria	Aquincola	0.00014472
Cyanobacteria	Chlorophyta	9.6479e-05
Proteobacteria	Methylocystis	0.00086831
Firmicutes	ClostridiumXlVa	0.00053063
Proteobacteria	Rhodoferax	0.00062711
Actinobacteria	Terrabacter	4.8239e-05
Proteobacteria	Methylocella	4.8239e-05
Proteobacteria	Limnohabitans	9.6479e-05
Proteobacteria	Limnohabitans	0.00038591
