phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000427229
Proteobacteria	Polaromonas	0.005126745
Proteobacteria	Curvibacter	0.001210481
Proteobacteria	Burkholderia	0.000712048
Bacteroidetes	Pedobacter	0.002990601
Actinobacteria	Ilumatobacter	0.008829393
Proteobacteria	Curvibacter	0.012176018
Bacteroidetes	Parasegetibacter	0.012247223
Firmicutes	Clostridiumsensustricto	0.00014241
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	0.000569638
Actinobacteria	Rhodoluna	0.008544574
Proteobacteria	Limnohabitans	7.12048e-05
Proteobacteria	Herbaspirillum	0.005981202
Actinobacteria	Streptomyces	7.12048e-05
Proteobacteria	Gemmobacter	0.000925662
Proteobacteria	Sphaerotilus	0.000356024
Proteobacteria	Limnohabitans	0.000427229
Firmicutes	Clostridiumsensustricto	0.001139277
Proteobacteria	Curvibacter	0.000996867
Planctomycetes	Pirellula	0.010039875
Proteobacteria	Limnohabitans	0.002136144
Proteobacteria	Beijerinckia	0.002349758
Proteobacteria	Roseomonas	0.002705782
Proteobacteria	Herbaspirillum	0.004343492
Proteobacteria	Methylotenera	0.00327542
Proteobacteria	Herbaspirillum	0.001352891
Firmicutes	Clostridiumsensustricto	0.00014241
Cyanobacteria	GpIIa	0.002634577
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.000356024
Bacteroidetes	Flavobacterium	0.003845058
Firmicutes	Romboutsia	0.001210481
Proteobacteria	Hydrogenophaga	0.000356024
Proteobacteria	Polynucleobacter	0.00014241
Actinobacteria	Agromyces	0.000925662
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	7.12048e-05
Proteobacteria	Polynucleobacter	0.00014241
Proteobacteria	Achromobacter	0.0
Proteobacteria	Hyphomicrobium	0.00163771
Verrucomicrobia	Pelagicoccus	0.000640843
Proteobacteria	Aquincola	0.00014241
Cyanobacteria	Chlorophyta	0.000213614
Proteobacteria	Methylocystis	0.000498433
Firmicutes	ClostridiumXlVa	0.000427229
Proteobacteria	Rhodoferax	0.000213614
Actinobacteria	Terrabacter	0.00014241
Proteobacteria	Methylocella	7.12048e-05
Proteobacteria	Limnohabitans	0.000213614
Proteobacteria	Limnohabitans	0.000356024
Proteobacteria	Methylocystis	0.000213614
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.000213614
Proteobacteria	Burkholderia	7.12048e-05
Actinobacteria	Ilumatobacter	0.000213614
Proteobacteria	Polynucleobacter	0.000640843
Proteobacteria	Herbaspirillum	0.000356024
Proteobacteria	Aquincola	0.00014241
Proteobacteria	Curvibacter	7.12048e-05
Proteobacteria	Novosphingobium	0.000712048
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.000284819
Cyanobacteria	Cryptomonadaceae	0.000427229
Proteobacteria	Limnohabitans	7.12048e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Curvibacter	0.000284819
Proteobacteria	Limnohabitans	0.00014241
Proteobacteria	Polaromonas	0.000213614
Proteobacteria	Methylocystis	0.00014241
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	7.12048e-05
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	0.00014241
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.00014241
Proteobacteria	Limnohabitans	7.12048e-05
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.000213614
