phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000935891
Proteobacteria	Polaromonas	0.007019186
Proteobacteria	Curvibacter	0.004545758
Proteobacteria	Burkholderia	0.002740825
Bacteroidetes	Pedobacter	0.001336988
Actinobacteria	Ilumatobacter	0.007019186
Proteobacteria	Curvibacter	0.00768768
Bacteroidetes	Parasegetibacter	0.007152885
Firmicutes	Clostridiumsensustricto	0.001470687
Proteobacteria	Leptothrix	0.000534795
Proteobacteria	Polaromonas	0.006417541
Actinobacteria	Rhodoluna	0.017715088
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.004077813
Actinobacteria	Streptomyces	6.68494e-05
Proteobacteria	Gemmobacter	0.006417541
Proteobacteria	Sphaerotilus	0.003409319
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.00875727
Proteobacteria	Curvibacter	0.001336988
Planctomycetes	Pirellula	0.026138111
Proteobacteria	Limnohabitans	0.001604385
Proteobacteria	Beijerinckia	0.006150144
Proteobacteria	Roseomonas	0.013971522
Proteobacteria	Herbaspirillum	0.001270138
Proteobacteria	Methylotenera	0.002807674
Proteobacteria	Herbaspirillum	0.000601644
Firmicutes	Clostridiumsensustricto	0.00106959
Cyanobacteria	GpIIa	0.001470687
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.001738084
Bacteroidetes	Flavobacterium	0.000935891
Firmicutes	Romboutsia	0.008289324
Proteobacteria	Hydrogenophaga	0.000401096
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.00106959
Proteobacteria	Limnohabitans	0.000200548
Proteobacteria	Limnohabitans	6.68494e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.000133699
Proteobacteria	Hyphomicrobium	0.001804933
Verrucomicrobia	Pelagicoccus	0.001604385
Proteobacteria	Aquincola	0.000200548
Cyanobacteria	Chlorophyta	0.007420282
Proteobacteria	Methylocystis	0.00434521
Firmicutes	ClostridiumXlVa	0.00213918
Proteobacteria	Rhodoferax	0.000467946
Actinobacteria	Terrabacter	0.000133699
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	6.68494e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.000401096
Proteobacteria	Limnohabitans	6.68494e-05
Proteobacteria	Burkholderia	0.000200548
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.000534795
Proteobacteria	Burkholderia	0.0
Actinobacteria	Ilumatobacter	0.000534795
Proteobacteria	Polynucleobacter	6.68494e-05
Proteobacteria	Herbaspirillum	0.000133699
Proteobacteria	Aquincola	6.68494e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Novosphingobium	0.000200548
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.000401096
Cyanobacteria	Cryptomonadaceae	0.000200548
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	6.68494e-05
Proteobacteria	Curvibacter	0.000133699
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Methylocystis	6.68494e-05
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	6.68494e-05
Proteobacteria	Polynucleobacter	6.68494e-05
Firmicutes	Clostridiumsensustricto	6.68494e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Rhodoluna	0.000200548
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.000133699
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylocystis	0.0
