phylum	genus	abundance
Proteobacteria	Gemmobacter	0.000215347
Proteobacteria	Polaromonas	0.008326753
Proteobacteria	Curvibacter	0.0048812
Proteobacteria	Burkholderia	0.001004953
Bacteroidetes	Pedobacter	0.000789606
Actinobacteria	Ilumatobacter	0.003589118
Proteobacteria	Curvibacter	0.019237671
Bacteroidetes	Parasegetibacter	0.007106453
Firmicutes	Clostridiumsensustricto	0.000287129
Proteobacteria	Leptothrix	0.000861388
Proteobacteria	Polaromonas	0.011198048
Actinobacteria	Rhodoluna	0.009977747
Proteobacteria	Limnohabitans	0.000143565
Proteobacteria	Herbaspirillum	0.004737635
Actinobacteria	Streptomyces	7.17824e-05
Proteobacteria	Gemmobacter	0.0012203
Proteobacteria	Sphaerotilus	0.005096547
Proteobacteria	Limnohabitans	0.000717824
Firmicutes	Clostridiumsensustricto	0.001650994
Proteobacteria	Curvibacter	0.002009906
Planctomycetes	Pirellula	0.003014859
Proteobacteria	Limnohabitans	0.001938124
Proteobacteria	Beijerinckia	0.002799512
Proteobacteria	Roseomonas	0.002584165
Proteobacteria	Herbaspirillum	0.0024406
Proteobacteria	Methylotenera	0.000861388
Proteobacteria	Herbaspirillum	0.001292082
Firmicutes	Clostridiumsensustricto	0.000143565
Cyanobacteria	GpIIa	0.001866341
Proteobacteria	Sphingorhabdus	7.17824e-05
Proteobacteria	Limnohabitans	0.000502476
Cyanobacteria	Chlorophyta	0.001292082
Bacteroidetes	Flavobacterium	0.001004953
Firmicutes	Romboutsia	0.001866341
Proteobacteria	Hydrogenophaga	0.000646041
Proteobacteria	Polynucleobacter	0.000287129
Actinobacteria	Agromyces	0.000358912
Proteobacteria	Limnohabitans	0.000143565
Proteobacteria	Limnohabitans	7.17824e-05
Proteobacteria	Polynucleobacter	7.17824e-05
Proteobacteria	Achromobacter	0.000430694
Proteobacteria	Hyphomicrobium	0.000502476
Verrucomicrobia	Pelagicoccus	0.000287129
Proteobacteria	Aquincola	0.000215347
Cyanobacteria	Chlorophyta	0.001435647
Proteobacteria	Methylocystis	0.000574259
Firmicutes	ClostridiumXlVa	0.000717824
Proteobacteria	Rhodoferax	0.000358912
Actinobacteria	Terrabacter	0.000143565
Proteobacteria	Methylocella	7.17824e-05
Proteobacteria	Limnohabitans	0.000143565
Proteobacteria	Limnohabitans	0.000215347
Proteobacteria	Methylocystis	0.000143565
Proteobacteria	Limnohabitans	0.000143565
Proteobacteria	Burkholderia	7.17824e-05
