phylum	genus	abundance
Proteobacteria	Gemmobacter	0.005540684
Proteobacteria	Polaromonas	0.00012451
Proteobacteria	Curvibacter	6.22549e-05
Proteobacteria	Burkholderia	0.0
Bacteroidetes	Pedobacter	0.000498039
Actinobacteria	Ilumatobacter	0.002863724
Proteobacteria	Curvibacter	0.001245097
Bacteroidetes	Parasegetibacter	0.007532839
Firmicutes	Clostridiumsensustricto	0.001867646
Proteobacteria	Leptothrix	6.22549e-05
Proteobacteria	Polaromonas	0.00012451
Actinobacteria	Rhodoluna	0.035609786
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.002614705
Actinobacteria	Streptomyces	0.00012451
Proteobacteria	Gemmobacter	0.001431862
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.00012451
Firmicutes	Clostridiumsensustricto	0.047126938
Proteobacteria	Curvibacter	0.0
Planctomycetes	Pirellula	0.011703916
Proteobacteria	Limnohabitans	0.002178921
Proteobacteria	Beijerinckia	0.013696072
Proteobacteria	Roseomonas	0.003797547
Proteobacteria	Herbaspirillum	0.00012451
Proteobacteria	Methylotenera	0.000933823
Proteobacteria	Herbaspirillum	0.00012451
Firmicutes	Clostridiumsensustricto	0.016684306
Cyanobacteria	GpIIa	0.000622549
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.005416174
Bacteroidetes	Flavobacterium	0.003859802
Firmicutes	Romboutsia	0.026894104
Proteobacteria	Hydrogenophaga	0.000871568
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.003361763
Proteobacteria	Hyphomicrobium	0.002801469
Verrucomicrobia	Pelagicoccus	6.22549e-05
Proteobacteria	Aquincola	0.00012451
Cyanobacteria	Chlorophyta	0.010209799
Proteobacteria	Methylocystis	0.009275976
Firmicutes	ClostridiumXlVa	0.010085289
Proteobacteria	Rhodoferax	0.000311274
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	6.22549e-05
Proteobacteria	Limnohabitans	6.22549e-05
Proteobacteria	Limnohabitans	6.22549e-05
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	0.000996078
Proteobacteria	Burkholderia	0.00012451
Actinobacteria	Ilumatobacter	0.000311274
Proteobacteria	Polynucleobacter	0.000373529
Proteobacteria	Herbaspirillum	0.0
Proteobacteria	Aquincola	6.22549e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Novosphingobium	0.000311274
