phylum	genus	abundance
Proteobacteria	Gemmobacter	0.00255896
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.000207483
Proteobacteria	Burkholderia	6.91611e-05
Bacteroidetes	Pedobacter	0.001175738
Actinobacteria	Ilumatobacter	0.001037416
Proteobacteria	Curvibacter	0.011065772
Bacteroidetes	Parasegetibacter	0.002904765
Firmicutes	Clostridiumsensustricto	0.000829933
Proteobacteria	Leptothrix	0.0
Proteobacteria	Polaromonas	6.91611e-05
Actinobacteria	Rhodoluna	0.018327685
Proteobacteria	Limnohabitans	6.91611e-05
Proteobacteria	Herbaspirillum	0.001244899
Actinobacteria	Streptomyces	0.0
Proteobacteria	Gemmobacter	0.001590705
Proteobacteria	Sphaerotilus	0.0
Proteobacteria	Limnohabitans	0.0
Firmicutes	Clostridiumsensustricto	0.012034027
Proteobacteria	Curvibacter	0.000138322
Planctomycetes	Pirellula	0.003803859
Proteobacteria	Limnohabitans	0.004149665
Proteobacteria	Beijerinckia	0.008299329
Proteobacteria	Roseomonas	0.002766443
Proteobacteria	Herbaspirillum	0.000553289
Proteobacteria	Methylotenera	0.00062245
Proteobacteria	Herbaspirillum	0.0
Firmicutes	Clostridiumsensustricto	0.004011342
Cyanobacteria	GpIIa	6.91611e-05
Proteobacteria	Sphingorhabdus	6.91611e-05
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	Chlorophyta	0.001244899
Bacteroidetes	Flavobacterium	0.001590705
Firmicutes	Romboutsia	0.006985269
Proteobacteria	Hydrogenophaga	0.000345805
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Agromyces	0.000138322
Proteobacteria	Limnohabitans	6.91611e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Achromobacter	0.002282316
Proteobacteria	Hyphomicrobium	0.010305
Verrucomicrobia	Pelagicoccus	6.91611e-05
Proteobacteria	Aquincola	0.000138322
Cyanobacteria	Chlorophyta	0.001175738
Proteobacteria	Methylocystis	0.003527215
Firmicutes	ClostridiumXlVa	0.002074832
Proteobacteria	Rhodoferax	0.000553289
Actinobacteria	Terrabacter	0.0
Proteobacteria	Methylocella	0.0
Proteobacteria	Limnohabitans	6.91611e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.000138322
Proteobacteria	Burkholderia	0.0
Proteobacteria	Pandoraea	0.0
Proteobacteria	Gemmobacter	6.91611e-05
Proteobacteria	Burkholderia	6.91611e-05
Actinobacteria	Ilumatobacter	6.91611e-05
Proteobacteria	Polynucleobacter	0.000760772
Proteobacteria	Herbaspirillum	0.000138322
Proteobacteria	Aquincola	0.000345805
Proteobacteria	Curvibacter	6.91611e-05
Proteobacteria	Novosphingobium	0.0
Proteobacteria	Methylotenera	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Ignatzschineria	0.000484128
Cyanobacteria	Cryptomonadaceae	0.000553289
Proteobacteria	Limnohabitans	0.000138322
Actinobacteria	Rhodoluna	6.91611e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	6.91611e-05
Proteobacteria	Polaromonas	0.0
Proteobacteria	Methylocystis	0.000207483
Bacteroidetes	Pedobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Polaromonas	0.0
Actinobacteria	Klugiella	6.91611e-05
Proteobacteria	Polynucleobacter	0.0
Firmicutes	Clostridiumsensustricto	0.000207483
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	6.91611e-05
Actinobacteria	Rhodoluna	0.000345805
Bacteroidetes	Arcicella	0.0
Proteobacteria	Methylotenera	0.0
Verrucomicrobia	Pelagicoccus	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Polynucleobacter	6.91611e-05
Proteobacteria	Methylocystis	6.91611e-05
Proteobacteria	Achromobacter	0.000829933
Proteobacteria	Polynucleobacter	6.91611e-05
Actinobacteria	Rhodoluna	0.000484128
Proteobacteria	Parvibaculum	6.91611e-05
Proteobacteria	Polynucleobacter	6.91611e-05
Proteobacteria	Polynucleobacter	0.000484128
Proteobacteria	Rhodoligotrophos	0.000138322
Actinobacteria	Streptomyces	0.000138322
Actinobacteria	Streptomyces	6.91611e-05
Proteobacteria	Methylocystis	0.000138322
Proteobacteria	Polynucleobacter	6.91611e-05
