centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
57e680f4-da57-412a-8d17-6039af0b08d8	92.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0299914310197086
6e44b06f-5e33-4189-9e50-0de4f9009d60	95.2	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0184233076263924
c1fad1f1-cd4b-4c20-890b-683633bdd3fd	94.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1272493573264781
87f98bd1-e670-4212-9254-a9b4d3c832d9	95.8	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.1876606683804627
74a8d9e0-2f7d-4c44-9d35-474ce1011363	91.9	391905	Methylocystis heyeri	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0025706940874035
d88aca5d-580d-4ec2-b986-fa2319b49005	95.1	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0334190231362467
900ef234-5a5b-4f4b-b2bd-8db482296f04	93.2	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0055698371893744
ccb1c60d-b4d6-4bce-b2ad-d29827e2902e	90.8	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0154241645244215
0c208882-ad1b-4fd7-b8dd-a2d9e46cc2d2	93.0	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0042844901456726
b5d159d7-2dda-444b-a9db-2d31568b63d1	92.5	359408	Methylotenera mobilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0059982862039417
d3bbf2e0-db1a-4bc0-9f2a-cff710029d46	93.7	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0141388174807197
d30420e9-6b14-4e41-8567-85b96053342e	92.7	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0047129391602399
30ceb077-7b13-43c0-9702-71f7c15079bf	93.0	363843	Rhizobacter fulvus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0029991431019708
29da24be-0074-4338-8945-1235f039ad8f	96.5	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.1328191945158526
f3964247-fbae-44de-be1b-1d872a044ed8	92.2	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0128534704370179
4f078680-27ff-41f4-8cd5-b436c6937de0	95.6	484770	Pelosinus sp. UFO1	Pelosinus	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Terrabacteria group	Bacteria				0.0004284490145672
63c2392d-b629-4ae3-b588-b8af5b5325e0	92.9	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0085689802913453
fbfcca6e-f3c1-4341-b5af-4be62d5fa51f	94.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0184233076263924
dfd6a81a-04ca-4da2-8ea3-90969ac1f92c	91.8	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0008568980291345
3e1614b5-5a80-44c0-961e-ff9e1760fa63	93.0	40214	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0051413881748071
68799f95-6121-45f4-8702-fc980f1f9b79	93.6	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0359897172236503
4b26c145-ed2a-49e0-a481-d4f962197e1e	93.1	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0239931448157669
2b39572c-20c7-4502-88bb-e1deb503792b	94.9	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0089974293059125
