centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
0c20f91e-0b90-4a97-a98c-0e2ab0c7050c	90.8	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0222298221614227
d1283c67-3ed3-4bfb-a9ef-4b11aa8d29d6	91.4	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0277017783857729
c929b914-cc77-46b8-bc2a-55bf69b08bac	91.8	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.015047879616963
1c3d69b6-e167-4ff3-a545-4c7207aaa53f	93.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0536935704514363
810fb8d8-7f58-4148-bf8b-c8ecd7259cd2	92.9	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0157318741450068
f8c33e1e-80c9-4409-bfb4-c25b9647333e	93.0	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.045485636114911
8516dea2-62e3-469a-9421-971116925d8c	93.6	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1761285909712722
40378b56-dece-421b-8624-07389b1a9a28	95.0	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.1101231190150478
913156b2-0d77-4807-8736-06812ea1b4d3	91.4	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0318057455540355
703bc343-e69a-456d-a159-1ca690b6e1dc	90.7	2565558	Hydrogenophaga sp. PAMC20947	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0068399452804377
0ca891dd-59dc-47ac-bd16-4458802536dc	94.1	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0174418604651162
dfa91488-355b-4e70-a5e8-580f26a103e6	91.7	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0027359781121751
c4b1d3a2-efb1-41f7-97af-191833bbb791	92.7	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0263337893296853
ba2027b9-127d-4f41-8636-a582930b2bfc	94.2	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0109439124487004
cc33e403-9d16-4c0d-8bd3-76a1706e884e	93.5	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0133378932968536
c2cd8429-ebfe-490a-a7bf-d5651a6cea81	90.8	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0218878248974008
68e84ae6-1ca3-4a57-b6e4-2dcdd039e81a	97.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0861833105335157
