centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
5a5f612d-feb1-43ab-98de-0aa1c7cfcc8c	92.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0574525745257452
007601a7-b608-4072-a056-b4b198db7af1	94.5	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0165311653116531
723990dc-a4d9-4103-baa9-1e388953ed15	94.6	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0607046070460704
4432be20-f57b-4912-9170-01256c79f6f4	91.4	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.016260162601626
dabc8a62-9637-458b-b745-1b55da3829f4	96.0	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0989159891598916
dffb74fd-226e-43ec-a41d-3eb27bc37e56	91.6	945844	Massilia oculi	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008130081300813
fbc25046-14fd-476d-b68c-a9ac2c39ca7b	91.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0696476964769647
5c059dd4-dc8f-425e-8ff6-afb00eeaedd7	91.2	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0002710027100271
e2a544c5-7ca7-464d-b881-7a8b8ea37e97	91.5	866565	Polaromonas cryoconiti	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013550135501355
359d721a-2a1d-4d85-9002-c20194e65504	96.0	28090	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.008130081300813
906f7805-a586-4468-bff5-95a8a7154ab5	92.1	2026654	Flavobacterium luteum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0008130081300813
baf6fec8-43d4-4051-9b63-7af20afdc403	92.6	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0604336043360433
