centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
dd6d6b83-9acf-4a9d-8eb8-60512be77d7f	96.3	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.1300243605359317
fe38019a-6ffb-4c51-9fec-381b6413da0d	92.4	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0249695493300852
3a6ff744-dd4f-4d69-9abc-c58e4dd0814c	90.5	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0816077953714981
7a4fcb82-e3a7-4ce1-946f-6d672b244adf	90.2	1743157	Polynucleobacter sinensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009135200974421
582e8e90-838f-4d0e-8ab6-020d52a4e5f9	94.4	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0322777101096224
d38e0976-7044-4217-abd2-20c0dcae5718	94.2	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0204019488428745
444887d1-6467-45ac-816b-c80b8b819d2b	90.3	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0027405602923264
88ec6cc2-b4c3-4854-adf1-23b0ac31fc70	94.7	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0137028014616321
a9864587-1987-4351-bd2e-1203c96d7f70	94.3	758826	Acidovorax radicis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003045066991473
4fec2c6c-ccbd-4f06-9bc9-a813b0d190a1	93.9	34062	Moraxella osloensis	Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.002436053593179
2c8fdebf-7416-4b4e-b32c-52d41587d11c	90.5	335476	Polaromonas hydrogenivorans	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0042630937880633
b1f4cd4b-4cb5-4d8a-b0cd-daea64219c99	95.3	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0813032886723507
d563970f-cc7f-4080-9026-3af056170a6d	91.2	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.02557856272838
042e4c61-da3e-40e9-a3b0-dcc90c2c0b39	92.0	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0042630937880633
