centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
bf41ae26-a03e-4635-b943-0c4e8a5aaff4	95.1	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0940464507687275
8509d7e6-a473-4c64-9e35-31c0a570cd43	94.0	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006542361792607
073fedd0-d4fe-41d4-adce-eb448301d32f	91.3	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0124304874059535
df1bb39e-2043-40ba-96cd-ed647de10157	94.6	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0243702976774615
4a4e6f0c-1ee2-4966-81ca-bada89b4e9b4	92.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1404972194962381
19d489cd-6e53-4387-bba8-3713c983909b	95.1	1884907	Candidatus Planktophila vernalis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0026169447170428
a90487c7-6c87-4219-b7e7-4be437fe9aa4	92.1	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0058881256133464
853750d1-c2de-4459-9acf-eaf5c5a56035	94.8	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0080143931959437
0d9b3ef2-c24e-4494-b22b-229dd73a51bb	90.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1264311416421328
282af5a9-3dd2-4cd3-859c-04b81db359eb	90.5	1414720	Clostridium saudiense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001635590448151
c9f75642-122c-4282-88fd-f51f8086e72f	91.6	748811	Sulfuritalea hydrogenivorans	Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001635590448151
c0bc2ab2-00c6-44fc-9a7b-397943e43c62	90.6	80869	Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001635590448151
fd4c0583-290c-453b-929e-e3bee2b2a03c	90.2	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0268236833496892
282ea9cf-3295-4fe3-ab76-4750a68b2294	93.3	540060	Limnohabitans planktonicus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0287863918874713
8e832b5f-19f2-4804-9b4e-67f0e8e3d4c4	93.7	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0016355904481517
fca092fd-a678-42df-8f5a-cffbd32e5efa	94.8	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0026169447170428
d0790721-9b73-479c-8421-413cd73b3145	92.1	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0035982989859339
e565fb30-680b-4340-a5ee-3e6891c93991	97.0	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0273143604841347
d3f085f5-6a6f-47c0-bd30-907f54adf189	90.1	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0017991494929669
438cade1-2a99-4a2f-9ad9-0a2eca35d6ea	93.2	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0206084396467124
7293a987-f4f9-4a67-b763-77cc599b3be9	94.2	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1313379129865881
598b7032-6082-484a-9d72-dcc3e56755dd	95.0	1055487	Methylotenera versatilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0035982989859339
4316e388-fd89-4989-b0aa-f8f52192dc37	94.2	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0058881256133464
7f5b42fa-1544-401e-aece-f1e27f593ff0	92.3	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0305855413804383
