centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
5ca59a34-b82d-411f-a1dd-6568c196cadb	91.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1174487594390507
1b270421-4f74-474b-8f54-78f7429e1e6e	93.1	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.084546925566343
4b47c0d4-41a2-4765-96a0-ecd397f04daa	93.2	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0361380798274002
8e0150d8-9020-4916-955d-34d1b44c2eda	93.3	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0892664509169363
a744a72b-ecd9-4ef3-a13e-380b16d8fe19	95.5	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0260248112189859
6584528e-4055-4cbe-9165-84349d2e2b0d	90.8	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009439050701186
d3b5ea62-ac8e-4e5f-8ac1-594a3ddb4f7e	96.1	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1007281553398058
6188962f-ec9a-4ae1-a51d-2917f7b28fe9	90.5	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004045307443365
21a2a6fe-3d24-4de8-a99f-00c6d1cbada5	92.2	2072590	Massilia armeniaca	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004045307443365
fca3337c-bac6-4969-8439-34ff989050c8	93.2	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0067421790722761
678c58d0-0591-4e50-abeb-490417348da3	90.5	80869	Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0017529665587918
b64501e2-aaa7-4f08-bd2c-faff62bffc22	95.5	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.005933117583603
cfb29b51-62ce-4181-a74a-f2ba6b02d7f7	94.8	529882	Candidatus Aquiluna rubra	Candidatus Aquiluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0004045307443365
