centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
bf1e4e8c-2ea3-4228-bb26-b66fc9b952ef	91.3	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0166975881261595
162c3989-adfd-4088-bd51-e605aad5de74	91.1	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0034013605442176
f93952c1-83bd-4d05-a96a-fd7ebe44bd80	94.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.069882498453927
aa6c0635-e27f-486d-972d-d25ea307d81f	92.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0423623995052566
3cecb68f-9825-4944-91f3-9c7ce29841c1	91.0	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0136054421768707
222795bb-ad2b-4092-8d2e-f32e7c78d0a3	92.1	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1227581941867656
1f05e399-2599-4930-8a3f-cf6c4a4d2354	91.4	2024524	Terrimonas soli	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0003092145949288
204898dc-b962-4fb1-89df-00339db585e4	96.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0674087816944959
bdabde40-12a3-4725-b786-fb4704648be8	90.5	203699	Derxia gummosa	Derxia	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.002473716759431
7294d295-8bc6-46a8-8e24-a6b01bd13493	90.7	28210	Chelatococcus asaccharovorans	Chelatococcus	Chelatococcaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0003092145949288
c5c7d3d7-03cc-43c8-a402-bd87266fb030	90.0	86182	Curvibacter lanceolatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012368583797155
b7a0e979-e52c-40f5-8ade-14f9d7afc5b6	94.0	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0068027210884353
7b06e62f-1687-4927-9457-9c2d7b84a940	92.1	1086393	Sediminibacterium goheungense	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0006184291898577
4496a33c-05bc-4b39-8ca7-2fd7761be3ce	92.6	29410	Synechococcus sp. WH 8103	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.004947433518862
a2e4af9c-d2d1-498c-8774-cf23f1ac8f83	90.3	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0123685837971552
df29e99b-e9f3-40da-8fc3-309268d011f7	90.0	964	Herbaspirillum seropedicae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0015460729746444
aee8cc09-eb75-4246-9aa1-a4fa0939ba02	91.2	1884913	Candidatus Planktophila lacus	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0185528756957328
3507b508-742c-44ec-8184-0f5174ebfdc9	93.0	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0064935064935064
d08159d2-7ee0-4a29-926b-b97fbc6e044c	94.1	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.025664811379097
100c4d03-7ee1-468c-ac61-620c8cd8db4f	95.1	232348	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.1168831168831168
0d1193bc-b291-41f0-a674-6b31df542085	91.5	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0507111935683364
02452814-4f72-42bb-b9d8-25787c9369c1	90.6	180195	Herbaspirillum autotrophicum	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006184291898577
b78826d0-25f7-4ca9-a48f-ce950ae94040	93.6	74313	Brevundimonas subvibrioides	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0030921459492888
2f467a3a-6249-4d32-9403-a25ad21fe787	93.2	2683345	Achromobacter panacis	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0021645021645021
889a7771-df3e-4b54-85b6-45bcccec6450	93.8	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0055658627087198
5dbddc5d-4120-4412-b4aa-7c20ab830072	93.9	328692	Deinococcus aquaticus	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.0040197897340754
09f36982-7f0a-4a7f-ac9c-263427090639	94.2	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0145330859616573
b8888097-8e67-474f-ae8f-1e436696809a	90.8	332657	Polaromonas aquatica	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009276437847866
0d527e46-b3b8-4e22-b3b8-719c40587ac4	90.0	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0027829313543599
fe91fcf9-c8a0-4336-bf10-673ee0eb3881	93.8	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0114409400123685
2f8fa4cd-8a6f-4bf7-bea2-81d1239f0cb6	91.1	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0105132962275819
e366ce16-5de9-44d9-a33f-8d2ec60e0aff	92.2	376815	Variovorax soli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006184291898577
120d73e0-54a6-47b7-b9e3-26834f922204	90.1	1706829	Sediminibacterium aquarii	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0003092145949288
55c4511f-9780-4f29-8e82-30dde932d4a2	92.1	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0151515151515151
6b1e3b7b-ceb6-42c4-a74b-aa0c88c0412e	91.4	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0092764378478664
619a21a8-2f8d-417d-a664-415361715d91	92.6	292587	Synechococcus rubescens	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0089672232529375
