centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
91a3a342-9f06-4bd8-9b12-026b0abfa9e1	91.1	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0653244806168344
d2e72aae-2565-4dc7-8044-4a74ba6a3844	92.0	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0081387877489826
5857d5ce-acf4-4320-a914-541ce497cc15	92.0	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0197044334975369
ae094c74-0f0f-479b-b5f3-266aeb8cc315	92.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0486185478689226
673668f3-a8e9-4824-81c9-198644cc0ef5	90.2	204773	Herminiimonas arsenicoxydans	Herminiimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002141786249732
3d2e6e05-5d8f-4867-8e11-a308b4df2f12	93.4	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0184193617476975
cb121809-1afb-4272-a3dd-a8a51ccbdbb1	90.6	34103	Sphaerotilus natans	Sphaerotilus		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0042835724994645
7b0bdd72-b57c-4e79-8e3d-be2764c1afcf	92.2	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0025701434996787
af961bab-03f8-4330-b192-1a96db9af068	91.6	2494374	Tabrizicola piscis	Tabrizicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0023559648747055
7c925ffd-a721-429f-b91d-301bfa33a0b2	91.7	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0124223602484472
49adf48b-9a83-4614-afd9-9e285835f3b3	91.0	46867	Clostridium chauvoei	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0004283572499464
9f159737-70f3-4d25-aa1d-83e3521d4eb5	93.7	85698	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004283572499464
d1b87054-1eb7-4e3d-a608-bb62a99e8c7d	95.0	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0025701434996787
10979b45-bd80-45ab-9173-001be1ab110b	91.5	1795631	Variovorax sp. PAMC 28711	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014992503748125
d9ca97cf-81f7-41f3-acbe-4b8836f4d2b6	94.1	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0426215463696723
7a2ebabf-9efd-4767-8003-91f881b66cff	91.7	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1197258513600342
5401dcc5-fdeb-4ce5-8c98-eabdfdcdfbf5	91.8	396504	Ruminiclostridium sufflavum	Ruminiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002141786249732
8aa62083-0724-49fb-978b-0369b0293404	91.7	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0115656457485542
1fbaa655-de10-40c4-a6a1-b91d984825df	94.5	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.011351467123581
849c8fec-b09e-433b-848f-9eb00e372272	90.6	1848754	Actinobacteria bacterium IMCC19121					Actinobacteria	Terrabacteria group	Bacteria				0.0049261083743842
f89646b1-cada-462b-838d-cd01f5c8ce0e	92.9	1547922	Ideonella sakaiensis	Ideonella		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.003855215249518
96f9d22f-c4f3-48e1-bc56-c829fe73d7b9	93.7	1076	Rhodopseudomonas palustris	Rhodopseudomonas	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0004283572499464
d0a1bf32-ff0a-4b5a-b82f-e6f0d8dadd30	93.1	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0886699507389162
48b1c17f-d771-4c3e-939d-6680f86e40a9	92.8	40214	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0008567144998929
46be0ef5-0258-4793-9605-d383a90d5b4a	93.2	1176538	Roseomonas sediminicola	Roseomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002141786249732
437f0afd-faec-4e0e-b310-e98a5ad4e5fe	92.5	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0059970014992503
7a14287e-86a5-41d2-a6d5-f549d17ab4d5	96.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0295566502463054
054db482-056a-495d-81e1-5d3561299feb	91.6	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0171342899978582
4bd18d28-0568-45aa-9239-42eafc790146	93.5	573600	Candidatus Planktophila limnetica	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0132790747483401
258c9fb2-580e-43ae-a488-4112885a463e	92.2	55197	Flavobacterium branchiophilum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0004283572499464
b355feb0-4a00-4f29-8cb9-e2aabe7d45a6	90.2	540060	Limnohabitans planktonicus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0143499678732062
ea9c15cd-56d9-4b5a-a441-00602a109b76	90.4	169056	Nordella oligomobilis	Nordella		Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0017134289997858
f14b1ea8-039a-407e-a050-949d0ec1f83e	90.5	1063	Rhodobacter sphaeroides	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0014992503748125
029ec90b-8d20-4002-b95d-389797d5b8d2	93.5	1324350	Acinetobacter equi	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0008567144998929
40ce3a6f-5cc5-4539-bdbb-28045be00f2f	94.3	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0143499678732062
8ed811ae-f789-4233-9d36-191d83dfbf3e	92.0	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0132790747483401
0474c789-5dd7-4f96-a564-7cb823cc51e0	90.0	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0044977511244377
ca07b407-a58f-440e-93cc-af555c0254cd	94.9	570276	Deefgea chitinilytica	Deefgea	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002141786249732
7c0bfb7c-5b3a-41ce-ac97-9323eefd2921	90.4	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023559648747055
7368ad96-916e-408a-8124-d1aa4b82d726	92.0	457502	Polaromonas jejuensis	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0077104304990361
2d6701c8-5ca4-4fe9-b794-a8d004073cd8	91.5	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0053544656243306
6992b0db-d5d2-4370-958f-6230d271e9e5	90.4	1737571	Bacillus oryzisoli	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0002141786249732
02a6584a-2ab7-4fd7-a1b3-a2625f2b403f	90.2	405	Methylobacillus flagellatus	Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002141786249732
58a5cc8b-47cc-4357-ba84-72338307af71	93.9	1715860	Staphylococcus sp. AntiMn-1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0032126793745984
553b1591-94bb-4db0-bb28-35efe172819c	90.0	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0040693938744913
