centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
e7919809-e631-41c0-a7c3-190044197bd9	90.0	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0180402582605393
f9664fbf-f713-4809-bcde-97e7229b57bb	92.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1055829851879984
ba9c036f-730a-4211-b7d8-7db41bd81f21	90.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0495632358526395
c2cfa86c-deed-41e1-ade3-ed55b09b1bf2	90.7	232348	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0370300037979491
8f624ea1-74e2-450b-8627-3eac5d17e88a	92.2	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0028484618306114
93e68e70-1eb8-449b-abe4-e496819e9375	94.5	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0222180022787694
e62a9839-ff11-492b-aa91-eb33fb82dbc5	94.3	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.160843144701861
25371425-fe5f-4b38-8e09-7c3de5f06745	92.2	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0051272312951006
e03f492e-80a0-4571-90af-7aeea25ae36c	95.2	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0976072920622863
e5d014e9-f806-47e0-8cac-a94386d3dd25	90.4	1795631	Variovorax sp. PAMC 28711	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026585643752373
e593236e-0e52-482c-9fd6-c1e495aeccae	91.5	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0036080516521078
14fee74a-66af-45b5-988f-6b846884bfca	92.4	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026585643752373
94f8ed03-9ecf-46ec-8a07-4f597b074e70	94.4	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0030383592859855
8585daa9-fe2d-41a6-8ad5-d4b79892cc37	93.2	913761	Variovorax defluvii	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005696923661222
ebf7eae0-2665-4835-9897-b7c673f18235	92.9	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0036080516521078
e10adaf4-4cf9-418f-a3cb-39e5c7300504	91.7	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0060767185719711
