centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
853c3777-3af8-48c1-9a29-0dc012c1c41b	93.1	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0252438324727481
9f53a26d-0fad-4924-b62f-be64b6fecf39	90.1	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005737234652897
3b559937-80ea-47a7-89cc-32a3d25f4ebd	92.6	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0920826161790017
b205e720-79a2-48a9-ae2b-959d199bd9c6	91.7	169056	Nordella oligomobilis	Nordella		Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.002008032128514
4ecbfdec-2d0b-4d83-84d5-eb814f480df4	91.1	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0034423407917383
bfdfe1e4-f101-423f-9e07-62d7ae66c171	95.6	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1910499139414802
f584056f-82fc-494e-9055-32d6638d9608	93.8	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0479059093516924
0fe28918-9b64-43ec-b165-ae3c8629751c	94.1	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0590935169248422
7331f012-d988-492a-83ac-12f52871a2dd	93.4	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.036144578313253
1ef2b470-cd77-4e1e-82b1-19899eac59d3	92.8	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0258175559380378
9b149ace-1cc6-41a8-a403-ac551111ee67	92.8	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.1058519793459552
96ac593d-06f1-4014-a89a-c3de15661de8	90.1	1743168	Polynucleobacter wuianus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0011474469305794
2f7a181b-f1a9-44a1-ba12-09557d269bb0	95.2	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0631095811818703
