phylum	genus	abundance
Proteobacteria	Roseomonas	0.000944287
Proteobacteria	Curvibacter	0.002832861
Armatimonadetes	Armatimonas	0.046584828
Proteobacteria	Herbaspirillum	0.004091911
Planctomycetes	Zavarzinella	0.001259049
Proteobacteria	Gemmobacter	0.010387158
Cyanobacteria	Chlorophyta	0.001888574
Proteobacteria	Burkholderia	0.000314762
Proteobacteria	Methylocystis	0.005665722
Proteobacteria	Alsobacter	0.004721435
Planctomycetes	Aquisphaera	0.050361977
Proteobacteria	Acinetobacter	0.182876928
Bacteroidetes	Mucilaginibacter	0.000629525
Actinobacteria	Ilumatobacter	0.006295247
Proteobacteria	Ramlibacter	0.000629525
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.005980485
Planctomycetes	Zavarzinella	0.000314762
Proteobacteria	Chelativorans	0.004406673
Verrucomicrobia	Cerasicoccus	0.008183821
Actinobacteria	Ilumatobacter	0.011331445
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.003777148
Actinobacteria	Ilumatobacter	0.000314762
Bacteroidetes	Adhaeribacter	0.000314762
Proteobacteria	Sandarakinorhabdus	0.00535096
Actinobacteria	Terrabacter	0.174378344
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.009128108
Actinobacteria	Rhodoluna	0.090022033
Actinobacteria	Streptomyces	0.012905257
Proteobacteria	Pseudomonas	0.075228203
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.055398174
Bacteroidetes	Solitalea	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Streptomyces	0.001888574
Proteobacteria	Burkholderia	0.0
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.009128108
Proteobacteria	Methylocystis	0.003147624
Proteobacteria	Achromobacter	0.000944287
Bacteroidetes	Flavobacterium	0.04941769
Proteobacteria	Achromobacter	0.002832861
Cyanobacteria	GpIIa	0.000314762
Actinobacteria	Streptomyces	0.038086245
Proteobacteria	Sphingorhabdus	0.000629525
Proteobacteria	Achromobacter	0.004721435
Bacteroidetes	Pedobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.000314762
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.005665722
Proteobacteria	Sphingorhabdus	0.001259049
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.004721435
Bacteroidetes	Solitalea	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.01070192
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000629525
Bacteroidetes	Haliscomenobacter	0.006924772
Actinobacteria	Streptomyces	0.000629525
Proteobacteria	Curvibacter	0.001259049
Proteobacteria	Sphingorhabdus	0.015423355
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.000314762
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.000944287
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.001888574
Bacteroidetes	Pseudarcicella	0.000629525
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.000629525
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000944287
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.000314762
Proteobacteria	Sphingorhabdus	0.000629525
Proteobacteria	Sphingorhabdus	0.000314762
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.000314762
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.000314762
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.039030532
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.003462386
Proteobacteria	Achromobacter	0.001259049
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.013534781
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.000314762
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
