phylum	genus	abundance
Proteobacteria	Roseomonas	0.000895522
Proteobacteria	Curvibacter	0.02
Armatimonadetes	Armatimonas	0.18358209
Proteobacteria	Herbaspirillum	0.020895522
Planctomycetes	Zavarzinella	0.003283582
Proteobacteria	Gemmobacter	0.051044776
Cyanobacteria	Chlorophyta	0.000895522
Proteobacteria	Burkholderia	0.002686567
Proteobacteria	Methylocystis	0.002686567
Proteobacteria	Alsobacter	0.008955224
Planctomycetes	Aquisphaera	0.076119403
Proteobacteria	Acinetobacter	0.064776119
Bacteroidetes	Mucilaginibacter	0.008656716
Actinobacteria	Ilumatobacter	0.002089552
Proteobacteria	Ramlibacter	0.002089552
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.009552239
Planctomycetes	Zavarzinella	0.001791045
Proteobacteria	Chelativorans	0.002686567
Verrucomicrobia	Cerasicoccus	0.041492537
Actinobacteria	Ilumatobacter	0.006268657
Bacteroidetes	Parasegetibacter	0.000895522
Proteobacteria	Curvibacter	0.011641791
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.001492537
Proteobacteria	Sandarakinorhabdus	0.018208955
Actinobacteria	Terrabacter	0.093134328
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.000597015
Actinobacteria	Rhodoluna	0.033134328
Actinobacteria	Streptomyces	0.003880597
Proteobacteria	Pseudomonas	0.002089552
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.026865672
Bacteroidetes	Solitalea	0.0
Proteobacteria	Curvibacter	0.000298507
Actinobacteria	Streptomyces	0.000895522
Proteobacteria	Burkholderia	0.000298507
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.005373134
Proteobacteria	Methylocystis	0.005074627
Proteobacteria	Achromobacter	0.001492537
Bacteroidetes	Flavobacterium	0.047761194
Proteobacteria	Achromobacter	0.000895522
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.04238806
Proteobacteria	Sphingorhabdus	0.001791045
Proteobacteria	Achromobacter	0.001492537
Bacteroidetes	Pedobacter	0.000298507
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.011940299
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.005074627
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.000298507
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.005074627
Bacteroidetes	Solitalea	0.000895522
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.000597015
Proteobacteria	Sphingobium	0.001492537
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Haliscomenobacter	0.066268657
Actinobacteria	Streptomyces	0.00119403
Proteobacteria	Curvibacter	0.004179104
Proteobacteria	Sphingorhabdus	0.051940299
Proteobacteria	Curvibacter	0.000298507
Proteobacteria	Limnohabitans	0.000298507
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.000298507
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.003283582
Proteobacteria	Limnohabitans	0.000597015
Proteobacteria	Achromobacter	0.000895522
Bacteroidetes	Pseudarcicella	0.000298507
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.000597015
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.00119403
Proteobacteria	Polaromonas	0.000597015
Proteobacteria	Curvibacter	0.001791045
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000597015
Actinobacteria	Microcella	0.000298507
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.000597015
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.000597015
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.000298507
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.000895522
Cyanobacteria	GpIIa	0.000298507
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.000597015
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.02358209
Proteobacteria	Achromobacter	0.000895522
Proteobacteria	Methylotenera	0.000895522
Proteobacteria	Pseudomonas	0.000298507
Actinobacteria	Clavibacter	0.000298507
Proteobacteria	Polynucleobacter	0.000298507
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
