phylum	genus	abundance
Proteobacteria	Roseomonas	0.0202407
Proteobacteria	Curvibacter	0.021334792
Armatimonadetes	Armatimonas	0.003829322
Proteobacteria	Herbaspirillum	0.04595186
Planctomycetes	Zavarzinella	0.090809628
Proteobacteria	Gemmobacter	0.0202407
Cyanobacteria	Chlorophyta	0.003282276
Proteobacteria	Burkholderia	0.014223195
Proteobacteria	Methylocystis	0.00273523
Proteobacteria	Alsobacter	0.00273523
Planctomycetes	Aquisphaera	0.100656455
Proteobacteria	Acinetobacter	0.008752735
Bacteroidetes	Mucilaginibacter	0.013676149
Actinobacteria	Ilumatobacter	0.007658643
Proteobacteria	Ramlibacter	0.003282276
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.013676149
Planctomycetes	Zavarzinella	0.007111597
Proteobacteria	Chelativorans	0.004376368
Verrucomicrobia	Cerasicoccus	0.04321663
Actinobacteria	Ilumatobacter	0.030634573
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.009299781
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.004376368
Proteobacteria	Sandarakinorhabdus	0.057986871
Actinobacteria	Terrabacter	0.038840263
Cyanobacteria	Chlorophyta	0.001094092
Proteobacteria	Pseudomonas	0.002188184
Actinobacteria	Rhodoluna	0.01750547
Actinobacteria	Streptomyces	0.010940919
Proteobacteria	Pseudomonas	0.001094092
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.065645514
Bacteroidetes	Solitalea	0.000547046
Proteobacteria	Curvibacter	0.001094092
Actinobacteria	Streptomyces	0.004376368
Proteobacteria	Burkholderia	0.002188184
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.009299781
Proteobacteria	Methylocystis	0.004923414
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Flavobacterium	0.027899344
Proteobacteria	Achromobacter	0.001641138
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.01750547
Proteobacteria	Sphingorhabdus	0.006017505
Proteobacteria	Achromobacter	0.001641138
Bacteroidetes	Pedobacter	0.001094092
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.032822757
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.103391685
Proteobacteria	Sphingorhabdus	0.001094092
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.014770241
Bacteroidetes	Solitalea	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.000547046
Proteobacteria	Sphingobium	0.000547046
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.001094092
Bacteroidetes	Haliscomenobacter	0.039387309
Actinobacteria	Streptomyces	0.000547046
Proteobacteria	Curvibacter	0.003282276
Proteobacteria	Sphingorhabdus	0.034463895
Proteobacteria	Curvibacter	0.000547046
Proteobacteria	Limnohabitans	0.001094092
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.001641138
Proteobacteria	Limnohabitans	0.000547046
Proteobacteria	Achromobacter	0.002188184
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.001094092
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000547046
Proteobacteria	Polaromonas	0.001094092
Proteobacteria	Curvibacter	0.001641138
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.001641138
Actinobacteria	Microcella	0.001094092
Actinobacteria	Ilumatobacter	0.001641138
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.001094092
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.001094092
Bacteroidetes	Flavobacterium	0.001094092
Proteobacteria	Polaromonas	0.000547046
Proteobacteria	Polynucleobacter	0.000547046
Proteobacteria	Polynucleobacter	0.001094092
Cyanobacteria	GpIIa	0.000547046
Bacteroidetes	Pseudarcicella	0.000547046
Proteobacteria	Pseudomonas	0.000547046
Proteobacteria	Methylotenera	0.000547046
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
