phylum	genus	abundance
Proteobacteria	Roseomonas	0.028037383
Proteobacteria	Curvibacter	0.00400534
Armatimonadetes	Armatimonas	0.002670227
Proteobacteria	Herbaspirillum	0.030040053
Planctomycetes	Zavarzinella	0.087449933
Proteobacteria	Gemmobacter	0.036048064
Cyanobacteria	Chlorophyta	0.001335113
Proteobacteria	Burkholderia	0.012683578
Proteobacteria	Methylocystis	0.00400534
Proteobacteria	Alsobacter	0.004672897
Planctomycetes	Aquisphaera	0.064085447
Proteobacteria	Acinetobacter	0.012683578
Bacteroidetes	Mucilaginibacter	0.004672897
Actinobacteria	Ilumatobacter	0.016688919
Proteobacteria	Ramlibacter	0.005340454
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.010013351
Planctomycetes	Zavarzinella	0.013351135
Proteobacteria	Chelativorans	0.009345794
Verrucomicrobia	Cerasicoccus	0.046061415
Actinobacteria	Ilumatobacter	0.068758344
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.005340454
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.013351135
Proteobacteria	Sandarakinorhabdus	0.082777036
Actinobacteria	Terrabacter	0.054739653
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.00200267
Actinobacteria	Rhodoluna	0.038718291
Actinobacteria	Streptomyces	0.018024032
Proteobacteria	Pseudomonas	0.002670227
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.08411215
Bacteroidetes	Solitalea	0.001335113
Proteobacteria	Curvibacter	0.0
Actinobacteria	Streptomyces	0.002670227
Proteobacteria	Burkholderia	0.0
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.012683578
Proteobacteria	Methylocystis	0.008010681
Proteobacteria	Achromobacter	0.00200267
Bacteroidetes	Flavobacterium	0.03271028
Proteobacteria	Achromobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.018024032
Proteobacteria	Sphingorhabdus	0.014686248
Proteobacteria	Achromobacter	0.000667557
Bacteroidetes	Pedobacter	0.000667557
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.014686248
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.017356475
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.014686248
Bacteroidetes	Solitalea	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.000667557
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000667557
Bacteroidetes	Haliscomenobacter	0.010680908
Actinobacteria	Streptomyces	0.00200267
Proteobacteria	Curvibacter	0.000667557
Proteobacteria	Sphingorhabdus	0.068090788
Proteobacteria	Curvibacter	0.000667557
Proteobacteria	Limnohabitans	0.000667557
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.000667557
Actinobacteria	Streptomyces	0.001335113
Proteobacteria	Polaromonas	0.000667557
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.000667557
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.00200267
Actinobacteria	Leifsonia	0.000667557
Cyanobacteria	GpIIa	0.000667557
Bacteroidetes	Flavobacterium	0.000667557
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.000667557
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.002670227
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.000667557
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.000667557
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
