phylum	genus	abundance
Proteobacteria	Roseomonas	0.025454545
Proteobacteria	Curvibacter	0.008727273
Armatimonadetes	Armatimonas	0.045818182
Proteobacteria	Herbaspirillum	0.107636364
Planctomycetes	Zavarzinella	0.055272727
Proteobacteria	Gemmobacter	0.039272727
Cyanobacteria	Chlorophyta	0.021090909
Proteobacteria	Burkholderia	0.048
Proteobacteria	Methylocystis	0.002181818
Proteobacteria	Alsobacter	0.002909091
Planctomycetes	Aquisphaera	0.004363636
Proteobacteria	Acinetobacter	0.000727273
Bacteroidetes	Mucilaginibacter	0.029818182
Actinobacteria	Ilumatobacter	0.011636364
Proteobacteria	Ramlibacter	0.034909091
Cyanobacteria	GpIIa	0.000727273
Bacteroidetes	Terrimonas	0.015272727
Planctomycetes	Zavarzinella	0.016
Proteobacteria	Chelativorans	0.002909091
Verrucomicrobia	Cerasicoccus	0.152
Actinobacteria	Ilumatobacter	0.045090909
Bacteroidetes	Parasegetibacter	0.000727273
Proteobacteria	Curvibacter	0.005090909
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.016
Proteobacteria	Sandarakinorhabdus	0.050181818
Actinobacteria	Terrabacter	0.016727273
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.001454545
Actinobacteria	Rhodoluna	0.014545455
Actinobacteria	Streptomyces	0.002909091
Proteobacteria	Pseudomonas	0.002181818
Cyanobacteria	Chlorophyta	0.002909091
Actinobacteria	Streptomyces	0.026909091
Bacteroidetes	Solitalea	0.008
Proteobacteria	Curvibacter	0.000727273
Actinobacteria	Streptomyces	0.005818182
Proteobacteria	Burkholderia	0.001454545
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.057454545
Proteobacteria	Methylocystis	0.002909091
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Flavobacterium	0.037818182
Proteobacteria	Achromobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.001454545
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.001454545
Actinobacteria	Ilumatobacter	0.000727273
Proteobacteria	CandidatusPelagibacter	0.034181818
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.001454545
Proteobacteria	Massilia	0.000727273
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Solitalea	0.008727273
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.000727273
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000727273
Bacteroidetes	Haliscomenobacter	0.011636364
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.000727273
Proteobacteria	Sphingorhabdus	0.000727273
Proteobacteria	Curvibacter	0.001454545
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.001454545
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.000727273
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.000727273
Proteobacteria	Achromobacter	0.001454545
Bacteroidetes	Pseudarcicella	0.000727273
Proteobacteria	Limnohabitans	0.000727273
Actinobacteria	Agrococcus	0.001454545
Bacteroidetes	Pseudarcicella	0.000727273
Actinobacteria	Streptomyces	0.000727273
Actinobacteria	Streptomyces	0.000727273
Proteobacteria	Polaromonas	0.000727273
Proteobacteria	Curvibacter	0.000727273
Actinobacteria	Cryobacterium	0.000727273
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
