phylum	genus	abundance
Proteobacteria	Roseomonas	0.024551464
Proteobacteria	Curvibacter	0.002832861
Armatimonadetes	Armatimonas	0.020774315
Proteobacteria	Herbaspirillum	0.058073654
Planctomycetes	Zavarzinella	0.035882908
Proteobacteria	Gemmobacter	0.03210576
Cyanobacteria	Chlorophyta	0.00802644
Proteobacteria	Burkholderia	0.021718602
Proteobacteria	Methylocystis	0.004721435
Proteobacteria	Alsobacter	0.005665722
Planctomycetes	Aquisphaera	0.004721435
Proteobacteria	Acinetobacter	0.004721435
Bacteroidetes	Mucilaginibacter	0.023135033
Actinobacteria	Ilumatobacter	0.031161473
Proteobacteria	Ramlibacter	0.02266289
Cyanobacteria	GpIIa	0.000944287
Bacteroidetes	Terrimonas	0.014164306
Planctomycetes	Zavarzinella	0.013692162
Proteobacteria	Chelativorans	0.002832861
Verrucomicrobia	Cerasicoccus	0.019830028
Actinobacteria	Ilumatobacter	0.102455146
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.002832861
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.008498584
Proteobacteria	Sandarakinorhabdus	0.040604344
Actinobacteria	Terrabacter	0.039187913
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.001888574
Actinobacteria	Rhodoluna	0.021718602
Actinobacteria	Streptomyces	0.009915014
Proteobacteria	Pseudomonas	0.001888574
Cyanobacteria	Chlorophyta	0.000944287
Actinobacteria	Streptomyces	0.060434372
Bacteroidetes	Solitalea	0.001888574
Proteobacteria	Curvibacter	0.000944287
Actinobacteria	Streptomyces	0.016525024
Proteobacteria	Burkholderia	0.000472144
Cyanobacteria	GpIIa	0.000472144
Cyanobacteria	GpIIa	0.21388102
Proteobacteria	Methylocystis	0.001416431
Proteobacteria	Achromobacter	0.000472144
Bacteroidetes	Flavobacterium	0.065155807
Proteobacteria	Achromobacter	0.000472144
Cyanobacteria	GpIIa	0.001888574
Actinobacteria	Streptomyces	0.00802644
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.0
Actinobacteria	Ilumatobacter	0.001888574
Proteobacteria	CandidatusPelagibacter	0.012275732
Proteobacteria	Curvibacter	0.000472144
Proteobacteria	Burkholderia	0.000472144
Proteobacteria	Massilia	0.000472144
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.004721435
Bacteroidetes	Solitalea	0.002832861
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.000472144
Proteobacteria	Polynucleobacter	0.000472144
Actinobacteria	Ilumatobacter	0.000944287
Bacteroidetes	Haliscomenobacter	0.005665722
Actinobacteria	Streptomyces	0.002832861
Proteobacteria	Curvibacter	0.000944287
Proteobacteria	Sphingorhabdus	0.001416431
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.000944287
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.000472144
Proteobacteria	Achromobacter	0.000472144
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.000944287
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000944287
Proteobacteria	Polaromonas	0.000472144
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000472144
Actinobacteria	Microcella	0.000472144
Actinobacteria	Ilumatobacter	0.001416431
Actinobacteria	Ilumatobacter	0.001888574
Proteobacteria	Sphingorhabdus	0.000472144
Proteobacteria	Sphingorhabdus	0.000472144
Actinobacteria	Leifsonia	0.000472144
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
