phylum	genus	abundance
Proteobacteria	Roseomonas	0.116656645
Proteobacteria	Curvibacter	0.020444979
Armatimonadetes	Armatimonas	0.022850271
Proteobacteria	Herbaspirillum	0.055321708
Planctomycetes	Zavarzinella	0.055321708
Proteobacteria	Gemmobacter	0.030066146
Cyanobacteria	Chlorophyta	0.052916416
Proteobacteria	Burkholderia	0.017438364
Proteobacteria	Methylocystis	0.01443175
Proteobacteria	Alsobacter	0.030066146
Planctomycetes	Aquisphaera	0.004810583
Proteobacteria	Acinetobacter	0.027059531
Bacteroidetes	Mucilaginibacter	0.0288635
Actinobacteria	Ilumatobacter	0.034876729
Proteobacteria	Ramlibacter	0.060132291
Cyanobacteria	GpIIa	0.002405292
Bacteroidetes	Terrimonas	0.003607937
Planctomycetes	Zavarzinella	0.062537583
Proteobacteria	Chelativorans	0.019242333
Verrucomicrobia	Cerasicoccus	0.043896572
Actinobacteria	Ilumatobacter	0.040288635
Bacteroidetes	Parasegetibacter	0.00420926
Proteobacteria	Curvibacter	0.013830427
Actinobacteria	Ilumatobacter	0.000601323
Bacteroidetes	Adhaeribacter	0.003006615
Proteobacteria	Sandarakinorhabdus	0.020444979
Actinobacteria	Terrabacter	0.015634396
Cyanobacteria	Chlorophyta	0.005411906
Proteobacteria	Pseudomonas	0.03728202
Actinobacteria	Rhodoluna	0.007215875
Actinobacteria	Streptomyces	0.004810583
Proteobacteria	Pseudomonas	0.003006615
Cyanobacteria	Chlorophyta	0.009019844
Actinobacteria	Streptomyces	0.015033073
Bacteroidetes	Solitalea	0.009621167
Proteobacteria	Curvibacter	0.002405292
Actinobacteria	Streptomyces	0.022248948
Proteobacteria	Burkholderia	0.000601323
Cyanobacteria	GpIIa	0.001202646
Cyanobacteria	GpIIa	0.006614552
Proteobacteria	Methylocystis	0.011425135
Proteobacteria	Achromobacter	0.003006615
Bacteroidetes	Flavobacterium	0.015033073
Proteobacteria	Achromobacter	0.004810583
Cyanobacteria	GpIIa	0.000601323
Actinobacteria	Streptomyces	0.000601323
Proteobacteria	Sphingorhabdus	0.002405292
Proteobacteria	Achromobacter	0.001202646
Bacteroidetes	Pedobacter	0.000601323
Actinobacteria	Ilumatobacter	0.000601323
Proteobacteria	CandidatusPelagibacter	0.006013229
Proteobacteria	Curvibacter	0.000601323
Proteobacteria	Burkholderia	0.003006615
Proteobacteria	Massilia	0.004810583
Proteobacteria	Sphingorhabdus	0.000601323
Actinobacteria	Ilumatobacter	0.000601323
Proteobacteria	Curvibacter	0.000601323
Proteobacteria	Polynucleobacter	0.000601323
Cyanobacteria	GpIIa	0.001202646
Bacteroidetes	Solitalea	0.003006615
Cyanobacteria	Chlorophyta	0.001202646
Proteobacteria	Limnohabitans	0.000601323
Proteobacteria	Sphingobium	0.001803969
Proteobacteria	Polynucleobacter	0.000601323
Actinobacteria	Ilumatobacter	0.000601323
Bacteroidetes	Haliscomenobacter	0.001202646
Actinobacteria	Streptomyces	0.000601323
Proteobacteria	Curvibacter	0.000601323
Proteobacteria	Sphingorhabdus	0.001803969
Proteobacteria	Curvibacter	0.000601323
Proteobacteria	Limnohabitans	0.000601323
Cyanobacteria	GpIIa	0.000601323
Proteobacteria	Curvibacter	0.000601323
Actinobacteria	Ilumatobacter	0.000601323
Bacteroidetes	Ferruginibacter	0.000601323
Proteobacteria	Polaromonas	0.000601323
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
