phylum	genus	abundance
Proteobacteria	Roseomonas	0.018494055
Proteobacteria	Curvibacter	0.00660502
Armatimonadetes	Armatimonas	0.042272127
Proteobacteria	Herbaspirillum	0.01651255
Planctomycetes	Zavarzinella	0.135402906
Proteobacteria	Gemmobacter	0.00990753
Cyanobacteria	Chlorophyta	0.197490092
Proteobacteria	Burkholderia	0.002642008
Proteobacteria	Methylocystis	0.01321004
Proteobacteria	Alsobacter	0.015191546
Planctomycetes	Aquisphaera	0.002642008
Proteobacteria	Acinetobacter	0.005944518
Bacteroidetes	Mucilaginibacter	0.002642008
Actinobacteria	Ilumatobacter	0.041611625
Proteobacteria	Ramlibacter	0.005944518
Cyanobacteria	GpIIa	0.014531044
Bacteroidetes	Terrimonas	0.011228534
Planctomycetes	Zavarzinella	0.050198151
Proteobacteria	Chelativorans	0.021136063
Verrucomicrobia	Cerasicoccus	0.038309115
Actinobacteria	Ilumatobacter	0.044253633
Bacteroidetes	Parasegetibacter	0.001981506
Proteobacteria	Curvibacter	0.002642008
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.007926024
Proteobacteria	Sandarakinorhabdus	0.011889036
Actinobacteria	Terrabacter	0.011228534
Cyanobacteria	Chlorophyta	0.014531044
Proteobacteria	Pseudomonas	0.005944518
Actinobacteria	Rhodoluna	0.01321004
Actinobacteria	Streptomyces	0.00330251
Proteobacteria	Pseudomonas	0.001321004
Cyanobacteria	Chlorophyta	0.025099075
Actinobacteria	Streptomyces	0.019815059
Bacteroidetes	Solitalea	0.001321004
Proteobacteria	Curvibacter	0.000660502
Actinobacteria	Streptomyces	0.037648613
Proteobacteria	Burkholderia	0.000660502
Cyanobacteria	GpIIa	0.002642008
Cyanobacteria	GpIIa	0.055482166
Proteobacteria	Methylocystis	0.00330251
Proteobacteria	Achromobacter	0.000660502
Bacteroidetes	Flavobacterium	0.038309115
Proteobacteria	Achromobacter	0.003963012
Cyanobacteria	GpIIa	0.000660502
Actinobacteria	Streptomyces	0.000660502
Proteobacteria	Sphingorhabdus	0.00330251
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.0
Actinobacteria	Ilumatobacter	0.001321004
Proteobacteria	CandidatusPelagibacter	0.001321004
Proteobacteria	Curvibacter	0.000660502
Proteobacteria	Burkholderia	0.001981506
Proteobacteria	Massilia	0.001321004
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.000660502
Proteobacteria	Curvibacter	0.000660502
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.00330251
Bacteroidetes	Solitalea	0.001321004
Cyanobacteria	Chlorophyta	0.00660502
Proteobacteria	Limnohabitans	0.000660502
Proteobacteria	Sphingobium	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.001321004
Bacteroidetes	Haliscomenobacter	0.001981506
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.000660502
Proteobacteria	Sphingorhabdus	0.000660502
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.000660502
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000660502
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.001981506
Actinobacteria	Ilumatobacter	0.000660502
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	0.000660502
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.000660502
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000660502
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.001321004
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.000660502
Actinobacteria	Streptomyces	0.001321004
Actinobacteria	Streptomyces	0.000660502
Actinobacteria	Ilumatobacter	0.000660502
Actinobacteria	Ilumatobacter	0.000660502
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
