phylum	genus	abundance
Proteobacteria	Roseomonas	0.017751479
Proteobacteria	Curvibacter	0.00887574
Armatimonadetes	Armatimonas	0.051775148
Proteobacteria	Herbaspirillum	0.035502959
Planctomycetes	Zavarzinella	0.111686391
Proteobacteria	Gemmobacter	0.019970414
Cyanobacteria	Chlorophyta	0.096153846
Proteobacteria	Burkholderia	0.00739645
Proteobacteria	Methylocystis	0.022928994
Proteobacteria	Alsobacter	0.019970414
Planctomycetes	Aquisphaera	0.00591716
Proteobacteria	Acinetobacter	0.00295858
Bacteroidetes	Mucilaginibacter	0.00887574
Actinobacteria	Ilumatobacter	0.039201183
Proteobacteria	Ramlibacter	0.009615385
Cyanobacteria	GpIIa	0.016272189
Bacteroidetes	Terrimonas	0.00887574
Planctomycetes	Zavarzinella	0.046597633
Proteobacteria	Chelativorans	0.01035503
Verrucomicrobia	Cerasicoccus	0.046597633
Actinobacteria	Ilumatobacter	0.048076923
Bacteroidetes	Parasegetibacter	0.023668639
Proteobacteria	Curvibacter	0.00887574
Actinobacteria	Ilumatobacter	0.000739645
Bacteroidetes	Adhaeribacter	0.01183432
Proteobacteria	Sandarakinorhabdus	0.017011834
Actinobacteria	Terrabacter	0.009615385
Cyanobacteria	Chlorophyta	0.00443787
Proteobacteria	Pseudomonas	0.005177515
Actinobacteria	Rhodoluna	0.034023669
Actinobacteria	Streptomyces	0.005177515
Proteobacteria	Pseudomonas	0.0
Cyanobacteria	Chlorophyta	0.01183432
Actinobacteria	Streptomyces	0.016272189
Bacteroidetes	Solitalea	0.003698225
Proteobacteria	Curvibacter	0.000739645
Actinobacteria	Streptomyces	0.035502959
Proteobacteria	Burkholderia	0.0
Cyanobacteria	GpIIa	0.00295858
Cyanobacteria	GpIIa	0.071745562
Proteobacteria	Methylocystis	0.00591716
Proteobacteria	Achromobacter	0.003698225
Bacteroidetes	Flavobacterium	0.037721893
Proteobacteria	Achromobacter	0.002218935
Cyanobacteria	GpIIa	0.00443787
Actinobacteria	Streptomyces	0.000739645
Proteobacteria	Sphingorhabdus	0.000739645
Proteobacteria	Achromobacter	0.000739645
Bacteroidetes	Pedobacter	0.000739645
Actinobacteria	Ilumatobacter	0.00147929
Proteobacteria	CandidatusPelagibacter	0.002218935
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.00295858
Proteobacteria	Massilia	0.00147929
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.000739645
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.00295858
Bacteroidetes	Solitalea	0.002218935
Cyanobacteria	Chlorophyta	0.005177515
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.00147929
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.00147929
Bacteroidetes	Haliscomenobacter	0.002218935
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Sphingorhabdus	0.000739645
Proteobacteria	Curvibacter	0.00147929
Proteobacteria	Limnohabitans	0.00147929
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.000739645
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.00295858
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.000739645
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	0.000739645
Proteobacteria	Curvibacter	0.00147929
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.00147929
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.000739645
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.00295858
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.00147929
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.000739645
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.000739645
Actinobacteria	Ilumatobacter	0.000739645
Actinobacteria	Ilumatobacter	0.000739645
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
