phylum	genus	abundance
Proteobacteria	Roseomonas	0.000174226
Proteobacteria	Curvibacter	0.000522678
Armatimonadetes	Armatimonas	0.008595157
Proteobacteria	Herbaspirillum	0.00075498
Planctomycetes	Zavarzinella	0.000232302
Proteobacteria	Gemmobacter	0.001916488
Cyanobacteria	Chlorophyta	0.000348452
Proteobacteria	Burkholderia	5.80754e-05
Proteobacteria	Methylocystis	0.001045357
Proteobacteria	Alsobacter	0.000871131
Planctomycetes	Aquisphaera	0.009292061
Proteobacteria	Acinetobacter	0.033741797
Bacteroidetes	Mucilaginibacter	0.000116151
Actinobacteria	Ilumatobacter	0.001161508
Proteobacteria	Ramlibacter	0.000116151
Cyanobacteria	GpIIa	0
Bacteroidetes	Terrimonas	0.001103432
Planctomycetes	Zavarzinella	5.80754e-05
Proteobacteria	Chelativorans	0.000813055
Verrucomicrobia	Cerasicoccus	0.00150996
Actinobacteria	Ilumatobacter	0.002090714
Bacteroidetes	Parasegetibacter	0
Proteobacteria	Curvibacter	0.000696905
Actinobacteria	Ilumatobacter	5.80754e-05
Bacteroidetes	Adhaeribacter	5.80754e-05
Proteobacteria	Sandarakinorhabdus	0.000987281
Actinobacteria	Terrabacter	0.032173762
Cyanobacteria	Chlorophyta	0
Proteobacteria	Pseudomonas	0.001684186
Actinobacteria	Rhodoluna	0.016609559
Actinobacteria	Streptomyces	0.002381091
Proteobacteria	Pseudomonas	0.013880016
Cyanobacteria	Chlorophyta	0
Actinobacteria	Streptomyces	0.010221267
Bacteroidetes	Solitalea	0
Proteobacteria	Curvibacter	0
Actinobacteria	Streptomyces	0.000348452
Proteobacteria	Burkholderia	0
Cyanobacteria	GpIIa	0
Cyanobacteria	GpIIa	0.001684186
Proteobacteria	Methylocystis	0.000580754
Proteobacteria	Achromobacter	0.000174226
Bacteroidetes	Flavobacterium	0.009117835
Proteobacteria	Achromobacter	0.000522678
Cyanobacteria	GpIIa	5.80754e-05
Actinobacteria	Streptomyces	0.007027121
Proteobacteria	Sphingorhabdus	0.000116151
Proteobacteria	Achromobacter	0.000871131
Bacteroidetes	Pedobacter	0
Actinobacteria	Ilumatobacter	0
Proteobacteria	CandidatusPelagibacter	5.80754e-05
Proteobacteria	Curvibacter	0
Proteobacteria	Burkholderia	0
Proteobacteria	Massilia	0.001045357
Proteobacteria	Sphingorhabdus	0.000232302
Actinobacteria	Ilumatobacter	0
Proteobacteria	Curvibacter	0
Proteobacteria	Polynucleobacter	0
Cyanobacteria	GpIIa	0.000871131
Bacteroidetes	Solitalea	0
Cyanobacteria	Chlorophyta	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Sphingobium	0.001974563
Proteobacteria	Polynucleobacter	0
Actinobacteria	Ilumatobacter	0.000116151
Bacteroidetes	Haliscomenobacter	0.001277658
Actinobacteria	Streptomyces	0.000116151
Proteobacteria	Curvibacter	0.000232302
Proteobacteria	Sphingorhabdus	0.002845694
Proteobacteria	Curvibacter	0
Proteobacteria	Limnohabitans	5.80754e-05
Cyanobacteria	GpIIa	0
Proteobacteria	Curvibacter	0
Actinobacteria	Ilumatobacter	0
Bacteroidetes	Ferruginibacter	0
Proteobacteria	Polaromonas	0.000174226
Proteobacteria	Limnohabitans	0
Proteobacteria	Achromobacter	0.000348452
Bacteroidetes	Pseudarcicella	0.000116151
Proteobacteria	Limnohabitans	0
Actinobacteria	Agrococcus	0
Bacteroidetes	Pseudarcicella	0.000116151
Actinobacteria	Streptomyces	0
Actinobacteria	Streptomyces	0.000174226
Proteobacteria	Polaromonas	0
Proteobacteria	Curvibacter	0
Actinobacteria	Cryobacterium	0
Proteobacteria	Limnohabitans	0
Actinobacteria	Microcella	0
Actinobacteria	Ilumatobacter	0
Actinobacteria	Ilumatobacter	5.80754e-05
Proteobacteria	Sphingorhabdus	0.000116151
Proteobacteria	Sphingorhabdus	5.80754e-05
Actinobacteria	Leifsonia	0
Cyanobacteria	GpIIa	5.80754e-05
Bacteroidetes	Flavobacterium	0
Proteobacteria	Polaromonas	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Polynucleobacter	5.80754e-05
Cyanobacteria	GpIIa	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pseudomonas	0.007201347
Proteobacteria	Methylotenera	0
Proteobacteria	CandidatusCarsonella	0.000638829
Proteobacteria	Achromobacter	0.000232302
Proteobacteria	Methylotenera	0
Proteobacteria	Pseudomonas	0.002497241
Actinobacteria	Clavibacter	0
Proteobacteria	Polynucleobacter	0
Actinobacteria	Microbacterium	5.80754e-05
Actinobacteria	Ilumatobacter	0
Actinobacteria	Streptomyces	0
Actinobacteria	Streptomyces	0
Actinobacteria	Ilumatobacter	0
Actinobacteria	Ilumatobacter	0
Cyanobacteria	GpIIa	0
Actinobacteria	Ilumatobacter	0
Actinobacteria	Ilumatobacter	0
Actinobacteria	Janibacter	0
Actinobacteria	Ilumatobacter	0
Cyanobacteria	GpIIa	0
Actinobacteria	Ilumatobacter	0
Unmapped	Unmapped	0.815494512
