phylum	genus	abundance
Proteobacteria	Roseomonas	0.000159058
Proteobacteria	Curvibacter	0.003552304
Armatimonadetes	Armatimonas	0.032606967
Proteobacteria	Herbaspirillum	0.003711362
Planctomycetes	Zavarzinella	0.000583214
Proteobacteria	Gemmobacter	0.009066327
Cyanobacteria	Chlorophyta	0.000159058
Proteobacteria	Burkholderia	0.000477175
Proteobacteria	Methylocystis	0.000477175
Proteobacteria	Alsobacter	0.001590584
Planctomycetes	Aquisphaera	0.013519962
Proteobacteria	Acinetobacter	0.011505222
Bacteroidetes	Mucilaginibacter	0.001537564
Actinobacteria	Ilumatobacter	0.000371136
Proteobacteria	Ramlibacter	0.000371136
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.001696623
Planctomycetes	Zavarzinella	0.000318117
Proteobacteria	Chelativorans	0.000477175
Verrucomicrobia	Cerasicoccus	0.007369705
Actinobacteria	Ilumatobacter	0.001113409
Bacteroidetes	Parasegetibacter	0.000159058
Proteobacteria	Curvibacter	0.002067759
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.000265097
Proteobacteria	Sandarakinorhabdus	0.003234187
Actinobacteria	Terrabacter	0.016542071
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.000106039
Actinobacteria	Rhodoluna	0.00588516
Actinobacteria	Streptomyces	0.000689253
Proteobacteria	Pseudomonas	0.000371136
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.004771751
Bacteroidetes	Solitalea	0.0
Proteobacteria	Curvibacter	5.30195e-05
Actinobacteria	Streptomyces	0.000159058
Proteobacteria	Burkholderia	5.30195e-05
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.00095435
Proteobacteria	Methylocystis	0.000901331
Proteobacteria	Achromobacter	0.000265097
Bacteroidetes	Flavobacterium	0.008483113
Proteobacteria	Achromobacter	0.000159058
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.007528763
Proteobacteria	Sphingorhabdus	0.000318117
Proteobacteria	Achromobacter	0.000265097
Bacteroidetes	Pedobacter	5.30195e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.002120778
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.000901331
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	5.30195e-05
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000901331
Bacteroidetes	Solitalea	0.000159058
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.000106039
Proteobacteria	Sphingobium	0.000265097
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Haliscomenobacter	0.01177032
Actinobacteria	Streptomyces	0.000212078
Proteobacteria	Curvibacter	0.000742272
Proteobacteria	Sphingorhabdus	0.009225386
Proteobacteria	Curvibacter	5.30195e-05
Proteobacteria	Limnohabitans	5.30195e-05
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	5.30195e-05
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.000583214
Proteobacteria	Limnohabitans	0.000106039
Proteobacteria	Achromobacter	0.000159058
Bacteroidetes	Pseudarcicella	5.30195e-05
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.000106039
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000212078
Proteobacteria	Polaromonas	0.000106039
Proteobacteria	Curvibacter	0.000318117
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000106039
Actinobacteria	Microcella	5.30195e-05
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.000106039
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.000106039
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	5.30195e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.000159058
Cyanobacteria	GpIIa	5.30195e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.000106039
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.004188537
Proteobacteria	Achromobacter	0.000159058
Proteobacteria	Methylotenera	0.000159058
Proteobacteria	Pseudomonas	5.30195e-05
Actinobacteria	Clavibacter	5.30195e-05
Proteobacteria	Polynucleobacter	5.30195e-05
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.822384815
