phylum	genus	abundance
Proteobacteria	Roseomonas	0.001945116
Proteobacteria	Curvibacter	0.002050258
Armatimonadetes	Armatimonas	0.000367995
Proteobacteria	Herbaspirillum	0.004415939
Planctomycetes	Zavarzinella	0.008726737
Proteobacteria	Gemmobacter	0.001945116
Cyanobacteria	Chlorophyta	0.000315424
Proteobacteria	Burkholderia	0.001366838
Proteobacteria	Methylocystis	0.000262854
Proteobacteria	Alsobacter	0.000262854
Planctomycetes	Aquisphaera	0.00967301
Proteobacteria	Acinetobacter	0.000841131
Bacteroidetes	Mucilaginibacter	0.001314268
Actinobacteria	Ilumatobacter	0.00073599
Proteobacteria	Ramlibacter	0.000315424
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.001314268
Planctomycetes	Zavarzinella	0.000683419
Proteobacteria	Chelativorans	0.000420566
Verrucomicrobia	Cerasicoccus	0.004153086
Actinobacteria	Ilumatobacter	0.00294396
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.000893702
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.000420566
Proteobacteria	Sandarakinorhabdus	0.005572495
Actinobacteria	Terrabacter	0.00373252
Cyanobacteria	Chlorophyta	0.000105141
Proteobacteria	Pseudomonas	0.000210283
Actinobacteria	Rhodoluna	0.001682263
Actinobacteria	Streptomyces	0.001051414
Proteobacteria	Pseudomonas	0.000105141
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.006308485
Bacteroidetes	Solitalea	5.25707e-05
Proteobacteria	Curvibacter	0.000105141
Actinobacteria	Streptomyces	0.000420566
Proteobacteria	Burkholderia	0.000210283
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.000893702
Proteobacteria	Methylocystis	0.000473136
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Flavobacterium	0.002681106
Proteobacteria	Achromobacter	0.000157712
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.001682263
Proteobacteria	Sphingorhabdus	0.000578278
Proteobacteria	Achromobacter	0.000157712
Bacteroidetes	Pedobacter	0.000105141
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.003154242
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.009935864
Proteobacteria	Sphingorhabdus	0.000105141
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.001419409
Bacteroidetes	Solitalea	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	5.25707e-05
Proteobacteria	Sphingobium	5.25707e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000105141
Bacteroidetes	Haliscomenobacter	0.003785091
Actinobacteria	Streptomyces	5.25707e-05
Proteobacteria	Curvibacter	0.000315424
Proteobacteria	Sphingorhabdus	0.003311955
Proteobacteria	Curvibacter	5.25707e-05
Proteobacteria	Limnohabitans	0.000105141
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.000157712
Proteobacteria	Limnohabitans	5.25707e-05
Proteobacteria	Achromobacter	0.000210283
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.000105141
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	5.25707e-05
Proteobacteria	Polaromonas	0.000105141
Proteobacteria	Curvibacter	0.000157712
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000157712
Actinobacteria	Microcella	0.000105141
Actinobacteria	Ilumatobacter	0.000157712
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.000105141
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.000105141
Bacteroidetes	Flavobacterium	0.000105141
Proteobacteria	Polaromonas	5.25707e-05
Proteobacteria	Polynucleobacter	5.25707e-05
Proteobacteria	Polynucleobacter	0.000105141
Cyanobacteria	GpIIa	5.25707e-05
Bacteroidetes	Pseudarcicella	5.25707e-05
Proteobacteria	Pseudomonas	5.25707e-05
Proteobacteria	Methylotenera	5.25707e-05
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.903900747
