phylum	genus	abundance
Proteobacteria	Roseomonas	0.003781399
Proteobacteria	Curvibacter	0.0005402
Armatimonadetes	Armatimonas	0.000360133
Proteobacteria	Herbaspirillum	0.004051499
Planctomycetes	Zavarzinella	0.011794364
Proteobacteria	Gemmobacter	0.004861799
Cyanobacteria	Chlorophyta	0.000180067
Proteobacteria	Burkholderia	0.001710633
Proteobacteria	Methylocystis	0.0005402
Proteobacteria	Alsobacter	0.000630233
Planctomycetes	Aquisphaera	0.008643198
Proteobacteria	Acinetobacter	0.001710633
Bacteroidetes	Mucilaginibacter	0.000630233
Actinobacteria	Ilumatobacter	0.002250833
Proteobacteria	Ramlibacter	0.000720266
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Terrimonas	0.0013505
Planctomycetes	Zavarzinella	0.001800666
Proteobacteria	Chelativorans	0.001260466
Verrucomicrobia	Cerasicoccus	0.006212299
Actinobacteria	Ilumatobacter	0.009273431
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.000720266
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.001800666
Proteobacteria	Sandarakinorhabdus	0.011164131
Actinobacteria	Terrabacter	0.007382732
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.0002701
Actinobacteria	Rhodoluna	0.005221932
Actinobacteria	Streptomyces	0.002430899
Proteobacteria	Pseudomonas	0.000360133
Cyanobacteria	Chlorophyta	0.0
Actinobacteria	Streptomyces	0.011344197
Bacteroidetes	Solitalea	0.000180067
Proteobacteria	Curvibacter	0.0
Actinobacteria	Streptomyces	0.000360133
Proteobacteria	Burkholderia	0.0
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.001710633
Proteobacteria	Methylocystis	0.0010804
Proteobacteria	Achromobacter	0.0002701
Bacteroidetes	Flavobacterium	0.004411632
Proteobacteria	Achromobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.002430899
Proteobacteria	Sphingorhabdus	0.001980733
Proteobacteria	Achromobacter	9.00333e-05
Bacteroidetes	Pedobacter	9.00333e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	CandidatusPelagibacter	0.001980733
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.0
Proteobacteria	Massilia	0.002340866
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.001980733
Bacteroidetes	Solitalea	0.0
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	9.00333e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	9.00333e-05
Bacteroidetes	Haliscomenobacter	0.001440533
Actinobacteria	Streptomyces	0.0002701
Proteobacteria	Curvibacter	9.00333e-05
Proteobacteria	Sphingorhabdus	0.009183398
Proteobacteria	Curvibacter	9.00333e-05
Proteobacteria	Limnohabitans	9.00333e-05
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	9.00333e-05
Actinobacteria	Streptomyces	0.000180067
Proteobacteria	Polaromonas	9.00333e-05
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	9.00333e-05
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0002701
Actinobacteria	Leifsonia	9.00333e-05
Cyanobacteria	GpIIa	9.00333e-05
Bacteroidetes	Flavobacterium	9.00333e-05
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	9.00333e-05
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.000360133
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	9.00333e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	9.00333e-05
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.865130098
