phylum	genus	abundance
Proteobacteria	Roseomonas	0.002985584
Proteobacteria	Curvibacter	0.001023629
Armatimonadetes	Armatimonas	0.005374051
Proteobacteria	Herbaspirillum	0.012624755
Planctomycetes	Zavarzinella	0.006482982
Proteobacteria	Gemmobacter	0.004606329
Cyanobacteria	Chlorophyta	0.00247377
Proteobacteria	Burkholderia	0.005629958
Proteobacteria	Methylocystis	0.000255907
Proteobacteria	Alsobacter	0.00034121
Planctomycetes	Aquisphaera	0.000511814
Proteobacteria	Acinetobacter	8.53024e-05
Bacteroidetes	Mucilaginibacter	0.003497398
Actinobacteria	Ilumatobacter	0.001364838
Proteobacteria	Ramlibacter	0.004094515
Cyanobacteria	GpIIa	8.53024e-05
Bacteroidetes	Terrimonas	0.00179135
Planctomycetes	Zavarzinella	0.001876653
Proteobacteria	Chelativorans	0.00034121
Verrucomicrobia	Cerasicoccus	0.017828201
Actinobacteria	Ilumatobacter	0.005288749
Bacteroidetes	Parasegetibacter	8.53024e-05
Proteobacteria	Curvibacter	0.000597117
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.001876653
Proteobacteria	Sandarakinorhabdus	0.005885865
Actinobacteria	Terrabacter	0.001961955
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.000170605
Actinobacteria	Rhodoluna	0.001706048
Actinobacteria	Streptomyces	0.00034121
Proteobacteria	Pseudomonas	0.000255907
Cyanobacteria	Chlorophyta	0.00034121
Actinobacteria	Streptomyces	0.003156189
Bacteroidetes	Solitalea	0.000938326
Proteobacteria	Curvibacter	8.53024e-05
Actinobacteria	Streptomyces	0.000682419
Proteobacteria	Burkholderia	0.000170605
Cyanobacteria	GpIIa	0.0
Cyanobacteria	GpIIa	0.006738889
Proteobacteria	Methylocystis	0.00034121
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Flavobacterium	0.004435725
Proteobacteria	Achromobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Streptomyces	0.000170605
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.000170605
Actinobacteria	Ilumatobacter	8.53024e-05
Proteobacteria	CandidatusPelagibacter	0.004009213
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.000170605
Proteobacteria	Massilia	8.53024e-05
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Solitalea	0.001023629
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	8.53024e-05
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	8.53024e-05
Bacteroidetes	Haliscomenobacter	0.001364838
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	8.53024e-05
Proteobacteria	Sphingorhabdus	8.53024e-05
Proteobacteria	Curvibacter	0.000170605
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.000170605
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	8.53024e-05
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	8.53024e-05
Proteobacteria	Achromobacter	0.000170605
Bacteroidetes	Pseudarcicella	8.53024e-05
Proteobacteria	Limnohabitans	8.53024e-05
Actinobacteria	Agrococcus	0.000170605
Bacteroidetes	Pseudarcicella	8.53024e-05
Actinobacteria	Streptomyces	8.53024e-05
Actinobacteria	Streptomyces	8.53024e-05
Proteobacteria	Polaromonas	8.53024e-05
Proteobacteria	Curvibacter	8.53024e-05
Actinobacteria	Cryobacterium	8.53024e-05
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.882709204
