phylum	genus	abundance
Proteobacteria	Roseomonas	0.003293849
Proteobacteria	Curvibacter	0.00038006
Armatimonadetes	Armatimonas	0.002787103
Proteobacteria	Herbaspirillum	0.007791221
Planctomycetes	Zavarzinella	0.004814088
Proteobacteria	Gemmobacter	0.004307341
Cyanobacteria	Chlorophyta	0.001076835
Proteobacteria	Burkholderia	0.00291379
Proteobacteria	Methylocystis	0.000633433
Proteobacteria	Alsobacter	0.000760119
Planctomycetes	Aquisphaera	0.000633433
Proteobacteria	Acinetobacter	0.000633433
Bacteroidetes	Mucilaginibacter	0.00310382
Actinobacteria	Ilumatobacter	0.004180655
Proteobacteria	Ramlibacter	0.003040476
Cyanobacteria	GpIIa	0.000126687
Bacteroidetes	Terrimonas	0.001900298
Planctomycetes	Zavarzinella	0.001836954
Proteobacteria	Chelativorans	0.00038006
Verrucomicrobia	Cerasicoccus	0.002660417
Actinobacteria	Ilumatobacter	0.013745487
Bacteroidetes	Parasegetibacter	0.0
Proteobacteria	Curvibacter	0.00038006
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.001140179
Proteobacteria	Sandarakinorhabdus	0.00544752
Actinobacteria	Terrabacter	0.00525749
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Pseudomonas	0.000253373
Actinobacteria	Rhodoluna	0.00291379
Actinobacteria	Streptomyces	0.001330208
Proteobacteria	Pseudomonas	0.000253373
Cyanobacteria	Chlorophyta	0.000126687
Actinobacteria	Streptomyces	0.008107937
Bacteroidetes	Solitalea	0.000253373
Proteobacteria	Curvibacter	0.000126687
Actinobacteria	Streptomyces	0.002217014
Proteobacteria	Burkholderia	6.33433e-05
Cyanobacteria	GpIIa	6.33433e-05
Cyanobacteria	GpIIa	0.028694495
Proteobacteria	Methylocystis	0.00019003
Proteobacteria	Achromobacter	6.33433e-05
Bacteroidetes	Flavobacterium	0.008741369
Proteobacteria	Achromobacter	6.33433e-05
Cyanobacteria	GpIIa	0.000253373
Actinobacteria	Streptomyces	0.001076835
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.0
Actinobacteria	Ilumatobacter	0.000253373
Proteobacteria	CandidatusPelagibacter	0.001646925
Proteobacteria	Curvibacter	6.33433e-05
Proteobacteria	Burkholderia	6.33433e-05
Proteobacteria	Massilia	6.33433e-05
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000633433
Bacteroidetes	Solitalea	0.00038006
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	6.33433e-05
Proteobacteria	Polynucleobacter	6.33433e-05
Actinobacteria	Ilumatobacter	0.000126687
Bacteroidetes	Haliscomenobacter	0.000760119
Actinobacteria	Streptomyces	0.00038006
Proteobacteria	Curvibacter	0.000126687
Proteobacteria	Sphingorhabdus	0.00019003
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.000126687
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	6.33433e-05
Proteobacteria	Achromobacter	6.33433e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.000126687
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.000126687
Proteobacteria	Polaromonas	6.33433e-05
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	6.33433e-05
Actinobacteria	Microcella	6.33433e-05
Actinobacteria	Ilumatobacter	0.00019003
Actinobacteria	Ilumatobacter	0.000253373
Proteobacteria	Sphingorhabdus	6.33433e-05
Proteobacteria	Sphingorhabdus	6.33433e-05
Actinobacteria	Leifsonia	6.33433e-05
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.865838981
