phylum	genus	abundance
Proteobacteria	Roseomonas	0.011907685
Proteobacteria	Curvibacter	0.002086914
Armatimonadetes	Armatimonas	0.002332433
Proteobacteria	Herbaspirillum	0.005646943
Planctomycetes	Zavarzinella	0.005646943
Proteobacteria	Gemmobacter	0.003068991
Cyanobacteria	Chlorophyta	0.005401424
Proteobacteria	Burkholderia	0.001780015
Proteobacteria	Methylocystis	0.001473116
Proteobacteria	Alsobacter	0.003068991
Planctomycetes	Aquisphaera	0.000491039
Proteobacteria	Acinetobacter	0.002762092
Bacteroidetes	Mucilaginibacter	0.002946231
Actinobacteria	Ilumatobacter	0.003560029
Proteobacteria	Ramlibacter	0.006137982
Cyanobacteria	GpIIa	0.000245519
Bacteroidetes	Terrimonas	0.000368279
Planctomycetes	Zavarzinella	0.006383501
Proteobacteria	Chelativorans	0.001964154
Verrucomicrobia	Cerasicoccus	0.004480727
Actinobacteria	Ilumatobacter	0.004112448
Bacteroidetes	Parasegetibacter	0.000429659
Proteobacteria	Curvibacter	0.001411736
Actinobacteria	Ilumatobacter	6.13798e-05
Bacteroidetes	Adhaeribacter	0.000306899
Proteobacteria	Sandarakinorhabdus	0.002086914
Actinobacteria	Terrabacter	0.001595875
Cyanobacteria	Chlorophyta	0.000552418
Proteobacteria	Pseudomonas	0.003805549
Actinobacteria	Rhodoluna	0.000736558
Actinobacteria	Streptomyces	0.000491039
Proteobacteria	Pseudomonas	0.000306899
Cyanobacteria	Chlorophyta	0.000920697
Actinobacteria	Streptomyces	0.001534495
Bacteroidetes	Solitalea	0.000982077
Proteobacteria	Curvibacter	0.000245519
Actinobacteria	Streptomyces	0.002271053
Proteobacteria	Burkholderia	6.13798e-05
Cyanobacteria	GpIIa	0.00012276
Cyanobacteria	GpIIa	0.000675178
Proteobacteria	Methylocystis	0.001166217
Proteobacteria	Achromobacter	0.000306899
Bacteroidetes	Flavobacterium	0.001534495
Proteobacteria	Achromobacter	0.000491039
Cyanobacteria	GpIIa	6.13798e-05
Actinobacteria	Streptomyces	6.13798e-05
Proteobacteria	Sphingorhabdus	0.000245519
Proteobacteria	Achromobacter	0.00012276
Bacteroidetes	Pedobacter	6.13798e-05
Actinobacteria	Ilumatobacter	6.13798e-05
Proteobacteria	CandidatusPelagibacter	0.000613798
Proteobacteria	Curvibacter	6.13798e-05
Proteobacteria	Burkholderia	0.000306899
Proteobacteria	Massilia	0.000491039
Proteobacteria	Sphingorhabdus	6.13798e-05
Actinobacteria	Ilumatobacter	6.13798e-05
Proteobacteria	Curvibacter	6.13798e-05
Proteobacteria	Polynucleobacter	6.13798e-05
Cyanobacteria	GpIIa	0.00012276
Bacteroidetes	Solitalea	0.000306899
Cyanobacteria	Chlorophyta	0.00012276
Proteobacteria	Limnohabitans	6.13798e-05
Proteobacteria	Sphingobium	0.000184139
Proteobacteria	Polynucleobacter	6.13798e-05
Actinobacteria	Ilumatobacter	6.13798e-05
Bacteroidetes	Haliscomenobacter	0.00012276
Actinobacteria	Streptomyces	6.13798e-05
Proteobacteria	Curvibacter	6.13798e-05
Proteobacteria	Sphingorhabdus	0.000184139
Proteobacteria	Curvibacter	6.13798e-05
Proteobacteria	Limnohabitans	6.13798e-05
Cyanobacteria	GpIIa	6.13798e-05
Proteobacteria	Curvibacter	6.13798e-05
Actinobacteria	Ilumatobacter	6.13798e-05
Bacteroidetes	Ferruginibacter	6.13798e-05
Proteobacteria	Polaromonas	6.13798e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.897925362
