phylum	genus	abundance
Proteobacteria	Roseomonas	0.003216019
Proteobacteria	Curvibacter	0.002669903
Armatimonadetes	Armatimonas	0.000849515
Proteobacteria	Herbaspirillum	0.010072816
Planctomycetes	Zavarzinella	0.006371359
Proteobacteria	Gemmobacter	0.001456311
Cyanobacteria	Chlorophyta	0.005946602
Proteobacteria	Burkholderia	0.001759709
Proteobacteria	Methylocystis	0.001334951
Proteobacteria	Alsobacter	0.001881068
Planctomycetes	Aquisphaera	0.000242718
Proteobacteria	Acinetobacter	0.002184466
Bacteroidetes	Mucilaginibacter	0.003701456
Actinobacteria	Ilumatobacter	0.002973301
Proteobacteria	Ramlibacter	0.012621359
Cyanobacteria	GpIIa	0.000606796
Bacteroidetes	Terrimonas	0.001092233
Planctomycetes	Zavarzinella	0.004793689
Proteobacteria	Chelativorans	0.000485437
Verrucomicrobia	Cerasicoccus	0.00782767
Actinobacteria	Ilumatobacter	0.003883495
Bacteroidetes	Parasegetibacter	0.001213592
Proteobacteria	Curvibacter	0.001456311
Actinobacteria	Ilumatobacter	6.06796e-05
Bacteroidetes	Adhaeribacter	0.000546117
Proteobacteria	Sandarakinorhabdus	0.000546117
Actinobacteria	Terrabacter	0.001456311
Cyanobacteria	Chlorophyta	0.000424757
Proteobacteria	Pseudomonas	0.000849515
Actinobacteria	Rhodoluna	0.001699029
Actinobacteria	Streptomyces	0.000546117
Proteobacteria	Pseudomonas	0.0
Cyanobacteria	Chlorophyta	0.000485437
Actinobacteria	Streptomyces	0.001334951
Bacteroidetes	Solitalea	0.000728155
Proteobacteria	Curvibacter	0.000364078
Actinobacteria	Streptomyces	0.002791262
Proteobacteria	Burkholderia	6.06796e-05
Cyanobacteria	GpIIa	0.000303398
Cyanobacteria	GpIIa	0.002123786
Proteobacteria	Methylocystis	0.000606796
Proteobacteria	Achromobacter	0.000121359
Bacteroidetes	Flavobacterium	0.001759709
Proteobacteria	Achromobacter	0.000303398
Cyanobacteria	GpIIa	0.000424757
Actinobacteria	Streptomyces	0.000121359
Proteobacteria	Sphingorhabdus	0.000182039
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	6.06796e-05
Actinobacteria	Ilumatobacter	6.06796e-05
Proteobacteria	CandidatusPelagibacter	0.000121359
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.000121359
Proteobacteria	Massilia	0.000242718
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	6.06796e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000303398
Bacteroidetes	Solitalea	0.000121359
Cyanobacteria	Chlorophyta	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Haliscomenobacter	0.000121359
Actinobacteria	Streptomyces	6.06796e-05
Proteobacteria	Curvibacter	0.000121359
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Curvibacter	0.000182039
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	6.06796e-05
Proteobacteria	Curvibacter	6.06796e-05
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.000121359
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	6.06796e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	6.06796e-05
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000121359
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	6.06796e-05
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	6.06796e-05
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.000121359
Proteobacteria	Polaromonas	0.000121359
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	6.06796e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	6.06796e-05
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	6.06796e-05
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	6.06796e-05
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	6.06796e-05
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	6.06796e-05
Cyanobacteria	GpIIa	6.06796e-05
Actinobacteria	Ilumatobacter	6.06796e-05
Unmapped	Unmapped	0.900606796
