phylum	genus	abundance
Proteobacteria	Roseomonas	0.001934904
Proteobacteria	Curvibacter	0.000691037
Armatimonadetes	Armatimonas	0.004422638
Proteobacteria	Herbaspirillum	0.001727593
Planctomycetes	Zavarzinella	0.014166264
Proteobacteria	Gemmobacter	0.001036556
Cyanobacteria	Chlorophyta	0.020662014
Proteobacteria	Burkholderia	0.000276415
Proteobacteria	Methylocystis	0.001382074
Proteobacteria	Alsobacter	0.001589386
Planctomycetes	Aquisphaera	0.000276415
Proteobacteria	Acinetobacter	0.000621934
Bacteroidetes	Mucilaginibacter	0.000276415
Actinobacteria	Ilumatobacter	0.004353535
Proteobacteria	Ramlibacter	0.000621934
Cyanobacteria	GpIIa	0.001520282
Bacteroidetes	Terrimonas	0.001174763
Planctomycetes	Zavarzinella	0.005251883
Proteobacteria	Chelativorans	0.002211319
Verrucomicrobia	Cerasicoccus	0.004008016
Actinobacteria	Ilumatobacter	0.00462995
Bacteroidetes	Parasegetibacter	0.000207311
Proteobacteria	Curvibacter	0.000276415
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Adhaeribacter	0.000829245
Proteobacteria	Sandarakinorhabdus	0.001243867
Actinobacteria	Terrabacter	0.001174763
Cyanobacteria	Chlorophyta	0.001520282
Proteobacteria	Pseudomonas	0.000621934
Actinobacteria	Rhodoluna	0.001382074
Actinobacteria	Streptomyces	0.000345519
Proteobacteria	Pseudomonas	0.000138207
Cyanobacteria	Chlorophyta	0.002625942
Actinobacteria	Streptomyces	0.002073112
Bacteroidetes	Solitalea	0.000138207
Proteobacteria	Curvibacter	6.91037e-05
Actinobacteria	Streptomyces	0.003938912
Proteobacteria	Burkholderia	6.91037e-05
Cyanobacteria	GpIIa	0.000276415
Cyanobacteria	GpIIa	0.005804713
Proteobacteria	Methylocystis	0.000345519
Proteobacteria	Achromobacter	6.91037e-05
Bacteroidetes	Flavobacterium	0.004008016
Proteobacteria	Achromobacter	0.000414622
Cyanobacteria	GpIIa	6.91037e-05
Actinobacteria	Streptomyces	6.91037e-05
Proteobacteria	Sphingorhabdus	0.000345519
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pedobacter	0.0
Actinobacteria	Ilumatobacter	0.000138207
Proteobacteria	CandidatusPelagibacter	0.000138207
Proteobacteria	Curvibacter	6.91037e-05
Proteobacteria	Burkholderia	0.000207311
Proteobacteria	Massilia	0.000138207
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	6.91037e-05
Proteobacteria	Curvibacter	6.91037e-05
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000345519
Bacteroidetes	Solitalea	0.000138207
Cyanobacteria	Chlorophyta	0.000691037
Proteobacteria	Limnohabitans	6.91037e-05
Proteobacteria	Sphingobium	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000138207
Bacteroidetes	Haliscomenobacter	0.000207311
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	6.91037e-05
Proteobacteria	Sphingorhabdus	6.91037e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	6.91037e-05
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	6.91037e-05
Proteobacteria	Polaromonas	0.0
Proteobacteria	Curvibacter	0.0
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.000207311
Actinobacteria	Ilumatobacter	6.91037e-05
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Leifsonia	6.91037e-05
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	6.91037e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	6.91037e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.000138207
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	6.91037e-05
Actinobacteria	Streptomyces	0.000138207
Actinobacteria	Streptomyces	6.91037e-05
Actinobacteria	Ilumatobacter	6.91037e-05
Actinobacteria	Ilumatobacter	6.91037e-05
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.895376961
