phylum	genus	abundance
Proteobacteria	Roseomonas	0.001901442
Proteobacteria	Curvibacter	0.000950721
Armatimonadetes	Armatimonas	0.005545872
Proteobacteria	Herbaspirillum	0.003802884
Planctomycetes	Zavarzinella	0.011963239
Proteobacteria	Gemmobacter	0.002139122
Cyanobacteria	Chlorophyta	0.010299477
Proteobacteria	Burkholderia	0.000792267
Proteobacteria	Methylocystis	0.002456029
Proteobacteria	Alsobacter	0.002139122
Planctomycetes	Aquisphaera	0.000633814
Proteobacteria	Acinetobacter	0.000316907
Bacteroidetes	Mucilaginibacter	0.000950721
Actinobacteria	Ilumatobacter	0.004199018
Proteobacteria	Ramlibacter	0.001029948
Cyanobacteria	GpIIa	0.001742988
Bacteroidetes	Terrimonas	0.000950721
Planctomycetes	Zavarzinella	0.004991285
Proteobacteria	Chelativorans	0.001109174
Verrucomicrobia	Cerasicoccus	0.004991285
Actinobacteria	Ilumatobacter	0.005149739
Bacteroidetes	Parasegetibacter	0.002535256
Proteobacteria	Curvibacter	0.000950721
Actinobacteria	Ilumatobacter	7.92267e-05
Bacteroidetes	Adhaeribacter	0.001267628
Proteobacteria	Sandarakinorhabdus	0.001822215
Actinobacteria	Terrabacter	0.001029948
Cyanobacteria	Chlorophyta	0.00047536
Proteobacteria	Pseudomonas	0.000554587
Actinobacteria	Rhodoluna	0.00364443
Actinobacteria	Streptomyces	0.000554587
Proteobacteria	Pseudomonas	0.0
Cyanobacteria	Chlorophyta	0.001267628
Actinobacteria	Streptomyces	0.001742988
Bacteroidetes	Solitalea	0.000396134
Proteobacteria	Curvibacter	7.92267e-05
Actinobacteria	Streptomyces	0.003802884
Proteobacteria	Burkholderia	0.0
Cyanobacteria	GpIIa	0.000316907
Cyanobacteria	GpIIa	0.007684994
Proteobacteria	Methylocystis	0.000633814
Proteobacteria	Achromobacter	0.000396134
Bacteroidetes	Flavobacterium	0.004040564
Proteobacteria	Achromobacter	0.00023768
Cyanobacteria	GpIIa	0.00047536
Actinobacteria	Streptomyces	7.92267e-05
Proteobacteria	Sphingorhabdus	7.92267e-05
Proteobacteria	Achromobacter	7.92267e-05
Bacteroidetes	Pedobacter	7.92267e-05
Actinobacteria	Ilumatobacter	0.000158453
Proteobacteria	CandidatusPelagibacter	0.00023768
Proteobacteria	Curvibacter	0.0
Proteobacteria	Burkholderia	0.000316907
Proteobacteria	Massilia	0.000158453
Proteobacteria	Sphingorhabdus	0.0
Actinobacteria	Ilumatobacter	7.92267e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.000316907
Bacteroidetes	Solitalea	0.00023768
Cyanobacteria	Chlorophyta	0.000554587
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Sphingobium	0.000158453
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Ilumatobacter	0.000158453
Bacteroidetes	Haliscomenobacter	0.00023768
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Sphingorhabdus	7.92267e-05
Proteobacteria	Curvibacter	0.000158453
Proteobacteria	Limnohabitans	0.000158453
Cyanobacteria	GpIIa	0.0
Proteobacteria	Curvibacter	7.92267e-05
Actinobacteria	Ilumatobacter	0.0
Bacteroidetes	Ferruginibacter	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Achromobacter	0.0
Bacteroidetes	Pseudarcicella	0.000316907
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Agrococcus	0.0
Bacteroidetes	Pseudarcicella	7.92267e-05
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Polaromonas	7.92267e-05
Proteobacteria	Curvibacter	0.000158453
Actinobacteria	Cryobacterium	0.0
Proteobacteria	Limnohabitans	0.000158453
Actinobacteria	Microcella	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	7.92267e-05
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Sphingorhabdus	0.000316907
Actinobacteria	Leifsonia	0.0
Cyanobacteria	GpIIa	0.000158453
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Polaromonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Cyanobacteria	GpIIa	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pseudomonas	7.92267e-05
Proteobacteria	Methylotenera	0.0
Proteobacteria	CandidatusCarsonella	0.0
Proteobacteria	Achromobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Pseudomonas	0.0
Actinobacteria	Clavibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Microbacterium	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Streptomyces	0.0
Actinobacteria	Ilumatobacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	7.92267e-05
Actinobacteria	Ilumatobacter	7.92267e-05
Actinobacteria	Ilumatobacter	7.92267e-05
Actinobacteria	Janibacter	0.0
Actinobacteria	Ilumatobacter	0.0
Cyanobacteria	GpIIa	0.0
Actinobacteria	Ilumatobacter	0.0
Unmapped	Unmapped	0.892885438
