centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
3b32bbd9-7c76-4f65-8cb4-b95d3d9847ea	92.7	294	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria			Pseudomonas fluorescens group	0.15009009009009
d7adf461-2860-4a39-a3c3-0a848635e0aa	92.6	95300	Pseudomonas vancouverensis	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.149009009009009
2851290f-e1a6-46de-bbd9-c4b810dedaf5	91.7	2005388	Pseudomonas sp. RU47	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0163963963963963
3f8b0147-531c-4082-8c13-6235727c9f37	93.6	500017	Candidatus Planktoluna difficilis	Candidatus Planktoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0021621621621621
7244244d-0601-45db-b490-f62adeb8335e	95.1	47883	Pseudomonas synxantha	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria			Pseudomonas fluorescens group	0.0127927927927927
45d528c6-dc0a-46e1-b79d-2b0ea149992c	92.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.009009009009009
479931ed-4701-44a3-8c83-187ddc989762	97.2	69396	Caulobacter fusiformis	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0003603603603603
b673abdf-698a-4ab9-8951-459cb496e25d	94.7	198620	Pseudomonas koreensis	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.078018018018018
86bf6179-fec9-4df0-a129-efe4709114f3	94.4	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0144144144144144
9e69a1ad-332e-461a-bd21-3a8af8876734	90.1	2073078	Pseudomonas sp. DTU12.3	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0021621621621621
c4de6746-5d04-4b96-a92f-b82a822da036	91.1	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0041441441441441
9e4ab75e-0f7b-4e2e-addb-2e9a993fa9f6	93.5	1283291	Pseudomonas sp. URMO17WK12:I11	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0014414414414414
f46ffc03-b48f-49f8-9e9c-9a1885775cd1	90.7	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005405405405405
26a8818e-8a70-49cb-bd60-247136debe05	94.5	303	Pseudomonas putida	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria			Pseudomonas putida group	0.0126126126126126
