centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
ecf27315-bf28-453c-ba0b-7c16efaca392	91.4	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0301724137931034
1c2b634f-ebdf-403d-9bbd-000d51f5023e	91.4	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0153556034482758
a6f83d12-b670-4975-915d-83ca9060dc3e	92.3	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.1597521551724137
30dd93b6-03b7-4ee9-930b-e2cc8c9d2d9d	91.9	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0134698275862068
365e0d53-5d7e-4abf-a4aa-088c55fae9a4	90.9	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0579202586206896
6b437f09-9647-45db-8902-480e1082952d	92.6	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0770474137931034
0c3677ea-71e1-4c31-afbf-24e6141d83aa	90.8	76731	Roseateles depolymerans	Roseateles		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005387931034482
340de6c5-1fd3-481c-8258-a3ca3017e52e	91.6	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0325969827586206
65953475-49fb-4a40-a09e-329bc4fe0295	94.3	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.004040948275862
68c28c10-c489-44b7-a728-52c9e9bccec3	93.1	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0183189655172413
f774d65d-adcc-444c-a747-430310421c9e	90.2	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0339439655172413
2e9b957c-4a6b-4d7a-8773-dadcbcd78bbb	90.3	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0051185344827586
bbfe4523-63a6-4715-9f73-b2532892fd3e	92.4	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0218211206896551
f17585bd-6e3e-4212-afee-fcb6d84ab76b	91.0	2163011	Bordetella sp. HZ20	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0024245689655172
75569d25-d7de-44a5-b985-9a53b541abbb	95.7	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0538793103448275
4a960808-1593-44f8-b27f-f46452fc3318	93.2	210512	Sandarakinorhabdus limnophila	Sandarakinorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0053879310344827
e828f0c9-b9c1-4a4e-9c7f-ca46ecd526ee	92.2	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0102370689655172
d04cf3dc-b73c-4095-bb4e-63e797fc3a51	92.0	29430	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0032327586206896
e4a3a46e-b142-48f3-9285-3dd34c38af91	94.6	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0107758620689655
244a5f50-03c8-4418-bb67-604acfc3f904	95.6	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.015625
66b013cf-f029-41ed-a4a1-b8f8eea5f86b	90.4	1913578	Sphingopyxis sp. LPB0140	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0021551724137931
328b6f6c-c151-4b30-80d7-e484b64663c6	90.1	405	Methylobacillus flagellatus	Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002693965517241
07a0cf2c-1fd5-44c6-9a7b-333fb27f02ad	90.4	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0032327586206896
3feb1c85-755c-4d60-a331-e091f6e55ce1	96.1	1282858	Sphingorhabdus rigui	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0018857758620689
c3ca6265-3572-4baf-bb3c-efc9d4454748	92.8	2033033	Aeromonas sp. CU5	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002693965517241
e4bb6173-46f5-4959-b62b-85f57918f5cc	93.1	454151	Luteolibacter algae	Luteolibacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	PVC group	Bacteria				0.0005387931034482
3098257b-feac-4076-92d6-cb3427457860	91.6	573600	Candidatus Planktophila limnetica	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.005926724137931
87250fcf-ca55-4fa8-a693-efd390ff04ee	91.7	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0269396551724137
b7ffcfee-954a-4471-add3-4a46bc7928c6	92.7	706186	Flavobacterium dankookense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0008081896551724
167397cd-3dd0-4501-9409-e4159636a558	94.8	28090	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0094288793103448
