centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
b144a12b-f142-4359-9314-bb0f512933d0	93.0	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0219170847636651
ec46fc4a-bdd1-4e67-8091-9aea56e15a52	94.9	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0454185371006073
ab03d5c8-5886-4299-ab41-4002e92e69af	91.0	1913578	Sphingopyxis sp. LPB0140	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0010562450488513
6d819dda-21df-4b47-ace5-feb72a1ccb44	93.9	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0229733298125165
66d6c262-4903-43fc-977c-f5d2cf7a3b9e	93.0	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0588856614734618
edd60a4b-f2bc-483e-88fd-d7b8816d2fcb	90.2	1842537	Hydrogenophaga sp. RAC07	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002640612622128
a95894a3-37da-47f6-a705-06bc942ee165	90.2	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0100343279640876
0d38a3e7-7a34-4812-93a8-63e331784ea3	90.5	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0139952468972801
3a8b7239-6280-41f4-a790-bdcabfbadf49	93.4	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.2115130710324795
6f332921-88d6-4282-8e6f-58ec094ab055	92.5	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0691840506997623
da3eb71e-2c17-4f75-897e-c7890daac667	93.6	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0076577766041721
c021512d-ab2f-4db0-b93b-7399a2dead53	92.1	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0092421441774491
e6c24c4c-df3f-4440-b921-d28ec3af6bf6	90.2	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0066015315553208
ba42eeba-e45a-47a3-83ce-827c5824f12a	91.1	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0066015315553208
04c2e777-73dd-45bf-ab76-18505904d674	93.9	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1101135463427515
