centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
985b5563-6d53-49ef-b86a-502b5c030ad5	92.5	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0056553559547571
43a330a0-444d-461b-92b8-57c9857a6520	94.0	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.3669328010645376
914c1a02-370f-4863-b2a2-255049033fc1	94.4	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0798403193612774
bf9b46a8-421f-4ba0-97da-436eaf4b70e2	91.0	1913578	Sphingopyxis sp. LPB0140	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0013306719893546
0b1b8a10-e71e-40c6-a3ff-378c3ee58e71	90.2	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0212907518296739
b7fa46a6-09c8-4600-835c-e27fcd3c7254	93.0	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0149700598802395
d50a8fb1-46b2-42f8-a70e-0a4d836138a7	97.3	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0552228875582169
ee9d4fbb-4db1-43b6-9bbd-5f6ecb88a5e0	92.0	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0216234198270126
e68111b4-833a-49eb-b5f2-f63fd4e76d60	95.1	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0093147039254823
665091cd-a31a-4309-b0a1-c0f47b5b68ce	91.5	32002	Achromobacter denitrificans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003326679973386
557ba8df-1dba-439b-bafa-0a836c49c755	91.4	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0429141716566866
996b1785-70bd-476d-8b41-16cf6d6cc0db	95.3	210512	Sandarakinorhabdus limnophila	Sandarakinorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0196274118429807
504f84f8-2398-4008-b7e4-4bd4d7af6133	95.6	1078469	Sphingorhabdus planktonica	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0342648037258815
75e9f700-a556-4659-8227-99b0e683cccc	93.3	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.007651363938789
25e65914-75fe-48a9-b2fc-71b5d4e6f33d	90.3	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013306719893546
2a68119a-3077-4ca7-8f0e-458510dc157a	96.0	74329	Brevundimonas mediterranea	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0033266799733865
6d9a8edf-fc1d-4f34-bd56-f85496a9549d	92.7	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0053226879574184
a93b0c31-8fb4-40c9-af7b-9479d2801e5b	92.7	28037	Streptococcus mitis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0006653359946773
83429102-2a1e-4bd8-9098-8a4e2742efc5	93.4	1282	Staphylococcus epidermidis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0003326679973386
62835fc8-a6bf-4dae-9e14-18f68e82f487	90.9	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0089820359281437
f98ac063-37ab-4407-a2c7-8b5f13842573	90.7	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0079840319361277
6cf7bd09-90f9-4b42-847a-a2f742063b81	91.6	563170	Ferruginibacter alkalilentus	Ferruginibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0003326679973386
08c09ffc-d4d0-49a4-a7e7-abf330e28757	91.1	1884634	Candidatus Nanopelagicus limnes	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.018296739853626
1a2fc16a-5c1d-4f01-a6b0-e4bad087f03a	90.4	556055	Polynucleobacter rarus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026613439787092
98a9a39c-48bf-475b-99d6-2844f198fb26	92.5	1781167	Ramlibacter rhizophilus	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009980039920159
78ebd456-a2c2-4d62-a797-a83c4508cf6c	93.5	373040	Massilia aurea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0039920159680638
f5333d03-943f-433a-a6d1-c7db355f0c6d	91.0	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0033266799733865
2e5d1085-490e-42e9-b58d-f58ca7c3121c	93.5	1290	Staphylococcus hominis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0003326679973386
c6d2be5c-340d-4e1b-854d-e1c195d5d20a	91.4	1603298	Pseudorhodobacter collinsensis	Pseudorhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0023286759813705
3741e795-9836-4afc-9f91-66c11a727467	91.6	573600	Candidatus Planktophila limnetica	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0019960079840319
7662b264-9c9a-4e9d-9994-c26525b3d9dd	91.9	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013306719893546
6f75ddd1-3f7a-4879-8064-5683cdb588d4	91.4	216465	Polaromonas naphthalenivorans	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0036593479707252
c0aea1fc-648d-4564-85ab-2c52542d49e9	90.3	359408	Methylotenera mobilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013306719893546
85d0bbc7-67c2-468b-97ea-78fe6e0f51bf	93.3	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0229540918163672
13f543a7-a092-44c6-b958-0012afa578e9	90.5	1763534	Flavobacterium crassostreae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0003326679973386
7df57d63-b638-47e0-a4cc-6efc8c0a7ce2	90.8	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0063206919494344
0bcca420-d0af-4692-94ca-9fc78f7c1172	92.2	1706829	Sediminibacterium aquarii	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0006653359946773
9659cb34-6696-4f77-9bce-de58da1f4be2	91.0	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0056553559547571
