centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
c49556ca-437d-46eb-9d5b-6fee46755f95	91.2	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0100671140939597
599bfb92-1490-4cab-a114-25641a026c04	95.3	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.3624161073825503
3288e96f-edb1-4f14-8475-6cf0d79460fd	93.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0710799267846247
c60e5fc5-14ba-43b4-a245-22ed2f64e946	93.4	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0253203172666259
5bcb7b02-e799-4ef8-a287-352d55858799	94.1	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0414887126296522
d68b1625-bb9e-4043-b4f2-a89acba4cd6a	90.7	1884907	Candidatus Planktophila vernalis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0042708968883465
24988b82-db12-4dc5-9097-d4749c3355fa	90.3	1082851	Comamonas serinivorans	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003050640634533
8548b890-747d-45cd-a06d-32243e06c1da	90.8	457502	Polaromonas jejuensis	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0051860890787065
a562098e-1e2d-410c-8a6f-bce62cbf0907	91.5	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0359975594874923
a22272e0-a103-419b-9128-323bea18798d	90.4	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0073215375228798
9b506c4d-ed53-45a9-901d-ef12e2a68c97	90.8	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0283709579011592
80b5d111-ab64-488b-ae66-da06ce35708a	90.8	1926872	Ramlibacter monticola	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003050640634533
7e40cf71-cc0a-463a-8127-fccc4f73f603	91.1	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0045759609517998
a0046bc2-6dc9-4775-995a-5fcd5e9a63bf	92.0	2083054	Pseudomonas sp. LG1D9	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003050640634533
e4314b4b-eb45-4a77-9920-28e74a9084df	90.1	1549638	Quisquiliibacterium transsilvanicum	Quisquiliibacterium	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003050640634533
6e973b5a-a9cc-448d-8cd6-220ad0d93ac7	94.2	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0076266015863331
490902a4-a84b-46ce-bf1f-c4b8894b86ff	91.4	964	Herbaspirillum seropedicae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0015253203172666
2dde2e60-b461-4b74-b627-779a2341ea60	94.2	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0115924344112263
c9f6ac30-1ad4-4beb-a745-0c426137e1a3	90.6	573600	Candidatus Planktophila limnetica	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0021354484441732
6aa4aeb9-d7c6-416d-98b2-71f21c86e510	91.4	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0106772422208663
363f7ad2-5e22-4c21-822f-694456eb0259	90.1	47421	Hydrogenophaga pseudoflava	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006101281269066
