centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
f9909bb8-b654-4eea-bb80-ed0d3e4d54ed	95.6	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0896313364055299
72f47c45-9218-4943-aef6-1f46a6d8e496	93.3	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0052995391705069
5f244a71-d837-465b-86d8-8e64f9dabc39	92.0	292587	Synechococcus rubescens	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0896313364055299
d50765dc-f837-4494-bdb6-fd0c59528fe4	92.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0937788018433179
105e11ba-37c3-48c4-935a-d716e8ce6eae	95.2	1848756	Actinobacteria bacterium IMCC26103					Actinobacteria	Terrabacteria group	Bacteria				0.0076036866359447
0b520271-4da0-4d16-ba8a-94f11b5db6c3	91.7	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0085253456221198
566d9f60-0330-4e1d-a718-186f84f5ae0a	92.8	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.014516129032258
359540b3-0433-4e1c-b041-9f957df48cdf	92.0	2478552	Flavobacterium sp. 140616W15	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0002304147465437
6feba3d8-1c96-4168-9608-55e663b7889f	90.3	1706829	Sediminibacterium aquarii	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0011520737327188
f4177d38-b4ad-467c-b0c6-72c559615d43	91.2	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0230414746543778
af6f59de-5e21-4b65-a337-20e16fa0d062	95.6	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0375576036866359
95b1b29f-0310-4795-a381-0195288b73c6	93.9	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0320276497695852
937fca61-bca8-4fe7-9f18-586841ddf85b	94.7	1884915	Candidatus Nanopelagicus hibericus	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0034562211981566
eb72b663-8c0a-42de-903a-07f0a538b473	91.1	1884913	Candidatus Planktophila lacus	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0119815668202764
b897184c-55b9-465b-a656-d6aeb9768f26	91.7	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0442396313364055
dd541c56-536b-4e16-b45d-b5d362adfac1	91.3	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0050691244239631
5d314e4d-eed3-457c-bea7-880798a37d47	92.7	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.018663594470046
bacf1b3b-79d0-412e-b5c5-54ae4402b4c7	92.5	55197	Flavobacterium branchiophilum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0025345622119815
000c0773-12c9-4ab7-875f-38e675f3e2f8	91.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0168202764976958
93109c22-bd44-4dc6-969b-68a741dab07c	96.5	1282858	Sphingorhabdus rigui	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0009216589861751
f2691055-b19b-4b26-8c43-24e0cf826f18	90.1	207340	Roseomonas mucosa	Roseomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0011520737327188
49501d49-8541-42c4-95b7-8f1d8eee5c4a	90.4	217204	Achromobacter insolitus	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009216589861751
e14d29a9-b81a-4f69-9792-5f2e603b6344	94.9	1884634	Candidatus Nanopelagicus limnes	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0700460829493087
e17a019a-1bf4-48e5-86e4-6d7a5734773d	90.3	363844	Variovorax ginsengisoli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006912442396313
a06e766d-7675-4ff7-b373-a57809417d17	92.5	29443	Paucimonas lemoignei	Paucimonas	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.002073732718894
85c38b46-1964-4712-941a-ad54534531ed	91.5	2511069	Synechococcus sp. RSCCF101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0027649769585253
b3092380-0a24-4b23-b0e4-e677b50f0faa	90.4	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0039170506912442
ecffcea3-00fb-4ab4-a3da-277176c22e53	92.9	210512	Sandarakinorhabdus limnophila	Sandarakinorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0117511520737327
31d84bfd-7bdd-47e7-abf8-346a91b5c02b	92.7	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0069124423963133
