centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
cd4b4924-1bf1-4516-82d4-e25fd56dac95	90.4	1086393	Sediminibacterium goheungense	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0007816571130797
713f9a7a-114e-4d27-a7f8-a15b47e36db4	91.1	457502	Polaromonas jejuensis	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0049504950495049
e28a1ef7-0861-4226-ad14-274b28b98651	94.3	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0198019801980198
c4eb44c1-700d-477c-98f2-a35897d2ab5f	90.8	2662614	Terrimonas suqianensis	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0052110474205315
b175af34-95b9-4247-8256-8e166199e44a	92.8	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0745179781136008
bdff46e6-13f0-49e7-90fc-4e875f2e379e	93.2	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0119854090672225
e2620152-406d-47bc-b89d-b144857dd0d0	91.0	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1516414799374674
4ac6706d-0085-4312-8ba9-20242a5db41d	92.6	515393	Pseudomonas yamanorum	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0052110474205315
b446f102-8798-4b4e-8e67-ff9367e05f94	90.0	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0091193329859301
a9adf3fb-34ec-4643-91b2-425bea0f440a	93.6	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0054715997915581
a986a7e3-5e94-429a-912d-532ff5ef0cb4	91.6	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0177175612298071
7e7f1116-cc55-409f-b36b-2dada09474bd	90.8	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.012245961438249
a92b9b27-4c4a-4c90-9555-34ea7ef0b540	92.2	1917811	Tibeticola sediminis	Tibeticola	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0046899426784783
a516ddc0-92b9-49a2-a102-c9c77a3f0397	90.1	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0669619593538301
38f78a7a-5c0a-4877-947a-cbedc00fdef5	95.6	1177982	Acidovorax wautersii	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0020844189682126
fe688286-ec70-4413-896d-28f5739ab928	90.5	1913578	Sphingopyxis sp. LPB0140	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0028660760812923
5a786054-5dc8-415a-8a58-3ca41f46ebca	95.6	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0468994267847837
8bb7bb32-73d7-4b6a-b02a-57e5421e67fd	91.0	292587	Synechococcus rubescens	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0132881709223553
7cad0d5e-4773-4dfb-a977-3ee79bc89232	91.0	29410	Synechococcus sp. WH 8103	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.001823866597186
93f473c6-688c-44b7-99b9-76872f75c3e1	91.6	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0057321521625846
5996bc82-a1b3-4123-a388-ca2ad7afc7b5	92.9	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0500260552371026
61ab8103-001c-4556-950f-c5e28aa4a3a1	90.5	1842537	Hydrogenophaga sp. RAC07	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0020844189682126
3a776e15-3069-4387-9bee-c2a6d12013e0	92.8	2494374	Tabrizicola piscis	Tabrizicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0010422094841063
4e156f2d-2810-4cd2-aaa0-97e55bbcbbfc	94.0	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0156331422615945
3ac0c68d-63da-4d4a-a581-bd585bfa73e9	93.8	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0033871808233454
43d72fd2-b4ba-4806-aa2a-5c88e01e3269	95.9	2083054	Pseudomonas sp. LG1D9	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0099009900990099
a6de4eea-c246-4d08-9d11-f95f90023897	96.8	210512	Sandarakinorhabdus limnophila	Sandarakinorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0049504950495049
a2761117-4c71-4d32-9105-898bc2adcd7c	93.0	376815	Variovorax soli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007816571130797
