centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
57d408bd-6493-40d3-9994-319a077ce9a8	93.0	1864941	Terrimonas terrae	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0128141941843272
4f690fd3-7b36-4ffd-af8e-43339c655c03	91.6	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0584031542631838
b34ded6f-3afc-45f4-a006-1396901c25be	90.7	29410	Synechococcus sp. WH 8103	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0096106456382454
604e696d-cd79-460e-986d-bcae96360d8b	93.8	553814	Acidovorax carolinensis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0017249876786594
4c8ccd15-230e-452a-aa0a-f0f63e321d8d	92.0	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1394775751601774
53168e51-719d-486c-95bf-665f7d5e822b	92.3	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0024642681123706
66022ab4-896c-4622-8deb-6235d3f95b4f	93.7	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.023656973878758
b10dce89-0861-494b-84af-9566c3b8b218	92.2	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0502710694923607
e48fc05f-6c51-4aa3-9f92-8e05ad016eb3	95.7	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0793494332183341
00ba71d5-51f5-44ce-8063-86538477ecc3	90.0	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0029571217348447
6e5c5cd3-a21f-4e39-9e05-63f62e9d5ebc	92.9	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0206998521439132
89de6c93-f66e-4129-89c7-c56b2f064781	90.0	518	Bordetella bronchiseptica	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000246426811237
a255b035-1a61-4638-a18d-cc41b2322b55	92.4	1086393	Sediminibacterium goheungense	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0017249876786594
01624696-8d87-4d97-9bee-cf84232be35e	92.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0805815672745194
98f0fb24-95f9-4efa-afd7-f40b2698eb15	93.7	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0305569245933957
0567015c-1428-4f2d-a3ab-8316f2060947	93.0	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0204534253326761
7a65ebb9-20d4-4973-8522-10cd051abba4	96.5	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0096106456382454
aa3039b4-800e-469e-a61e-f1323ec38c90	90.5	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0046821094135041
d74fa380-3afb-4d6c-9521-eb7844c7f85a	93.3	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0044356826022671
813aff36-d338-479d-b41c-c10df19a2ae7	90.6	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0128141941843272
6e600cc8-b74e-4bb2-a29d-1fc809fe5287	91.5	2024524	Terrimonas soli	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0073928043371118
e3963db5-74b5-4f00-82db-5ac34076d87d	93.1	1812935	Enterobacter roggenkampii	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria			Enterobacter cloacae complex	0.00418925579103
7dcf2b65-9977-4138-bcd7-003dc216fa49	91.3	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0049285362247412
79644495-4a48-4d81-9d89-17c2ec813354	92.8	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0017249876786594
5672c107-7bf6-4f56-ba7f-01a7f9df8be9	92.2	1917811	Tibeticola sediminis	Tibeticola	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0044356826022671
9f2fdb44-00cb-49c9-8afe-017adb75a14e	91.6	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0211927057663873
a8f4a6a0-c3fb-40c4-949c-2c36484b1c80	91.8	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0046821094135041
52cbda13-d8bc-478d-a42a-04e1958957de	90.3	107709	Opitutus terrae	Opitutus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	PVC group	Bacteria				0.000246426811237
593fd1ad-667e-4352-b720-f9a60bf3e18b	91.5	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0133070478068013
3d31e86c-f82f-4f55-9371-e3d8a4bb9783	94.0	490186	Algoriphagus aquatilis	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0029571217348447
7b59e8ed-ed63-4eca-a6c6-2bf605ea2754	90.7	1848754	Actinobacteria bacterium IMCC19121					Actinobacteria	Terrabacteria group	Bacteria				0.003942828979793
60889ba6-cc6f-4bd5-b18a-f02cf163d51d	92.7	2565558	Hydrogenophaga sp. PAMC20947	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012321340561853
707500f4-2e10-41df-91c2-ca6b11bc262e	90.0	1549638	Quisquiliibacterium transsilvanicum	Quisquiliibacterium	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000246426811237
35a5c318-c13c-4b0e-b5e3-affbefb618b6	92.7	1781167	Ramlibacter rhizophilus	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0059142434696895
d4544e85-7aa6-47cf-9173-b99ad048ce73	90.1	332657	Polaromonas aquatica	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0019714144898965
994f4591-e032-4e13-bdf9-04b380352cc8	93.5	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0093642188270083
a42c2fea-69b2-45c8-acf9-b60bd66f306b	93.6	2213057	Pseudomonas sp. R2A2	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000246426811237
d305be95-46f5-41da-85fb-d4119c1cfe24	91.0	59930	Cyanobium gracile	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0241498275012321
d856b530-0212-48fe-a930-7fb09351aac3	93.8	232348	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.035485460818137
402e17e4-3036-4c8a-b6cf-146f0c643e0a	94.4	408	Methylorubrum extorquens	Methylorubrum	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0009857072449482
8166f2ec-407b-4dfa-820c-0f8e2b2d365e	91.3	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0091177920157713
8c29d0aa-d130-422b-b8d1-34d862c958dc	91.1	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0024642681123706
4fedcc24-21c7-450c-bd4e-93a5aa8527d1	90.3	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0098570724494825
b02b684a-1bd1-4127-89db-75ff124ba114	90.2	180195	Herbaspirillum autotrophicum	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004928536224741
8625365d-20b6-40a4-b005-637688ecdda0	92.2	1884634	Candidatus Nanopelagicus limnes	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0046821094135041
fbdfaca8-e063-4689-ac05-2801a07f27c0	93.2	292587	Synechococcus rubescens	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0187284376540167
9907e067-be4a-4616-9cc0-efb4bc65018c	94.2	303	Pseudomonas putida	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria			Pseudomonas putida group	0.0105963528831936
7b73e82b-feda-4ae2-af3d-46f8b703cb8a	91.2	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0027106949236076
