centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
23950e71-ec22-4f7f-a068-eec2fb38671d	90.4	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0485668789808917
55eec2af-5575-4bf6-a682-83b07bb393a5	93.1	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1126592356687898
1e82f6ad-de2f-473d-ae51-1440fb06b636	92.3	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0557324840764331
0e9d1a86-ad72-4594-b7d1-e52a6ebdac50	95.0	1303	Streptococcus oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0019904458598726
16f73c63-7944-4345-a099-1acbccecc286	91.1	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0656847133757961
650f75c2-14a6-46a0-9467-c87439be43dc	92.4	2024524	Terrimonas soli	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0103503184713375
8d38586f-3747-455d-ad38-78806d14cbd9	94.6	2683345	Achromobacter panacis	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0159235668789808
d8c32650-d8ea-4ccc-9c32-664128ab634f	95.6	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0425955414012738
86d93ea0-7a16-46ab-9eb6-ee1bbb32e944	92.6	2163011	Bordetella sp. HZ20	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0019904458598726
eca2b4e2-04fe-4868-aa0f-3d0be05ee5a0	90.0	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0067675159235668
f1b39140-0471-4b2f-b8f1-4e88d910e2c7	90.7	29430	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003980891719745
eb8d5b87-0308-4205-b171-a81d103574d3	94.3	292587	Synechococcus rubescens	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0648885350318471
817c85d9-dce1-4003-b8f1-3d139f47cb47	90.2	1864941	Terrimonas terrae	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0163216560509554
4b264952-fafd-4d52-9817-45f7f8b3ddf4	95.6	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0421974522292993
2f696553-ce10-49b0-9939-6600a01fc81f	93.8	1715860	Staphylococcus sp. AntiMn-1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.001592356687898
89318f80-55d7-4be8-ab6c-c62c3dcc7b38	92.4	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0047770700636942
16a0c29a-b815-4487-846e-950d6bf2586a	90.9	553814	Acidovorax carolinensis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
a651fd8b-4e14-4375-9043-1d1a4e94b7e5	92.0	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.009156050955414
8480d564-b585-4029-bfb5-2c7728b4e99f	92.7	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.001592356687898
9be99218-1854-4e35-9b07-32d04bcdaaa4	90.2	45056	Legionella adelaidensis	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003980891719745
34499af7-0bc1-47d5-a68c-d0dcb19b811d	96.4	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0107484076433121
d77e722a-3ac7-4a87-b435-15daad8b50ca	92.8	29410	Synechococcus sp. WH 8103	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0250796178343949
d742e2ba-c5fb-4f22-ad7b-06df2a2ce1fe	90.2	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0246815286624203
5981ae71-4330-4e08-b639-a5325a00128f	90.7	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0131369426751592
baa73201-5c0a-4f15-9c89-52af751840b8	94.5	1884634	Candidatus Nanopelagicus limnes	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0218949044585987
890eaa48-e095-4b16-a612-0bcbc3f4df81	92.1	1781167	Ramlibacter rhizophilus	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
6fa22d86-170a-4471-96f1-45c286cd1734	92.2	232348	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0756369426751592
1799ba24-d2fc-4a20-b728-89161689f7f1	92.5	295428	Flavobacterium cheniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.000796178343949
82c5920f-3e3b-46b1-88db-4a7852f8322a	93.7	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0019904458598726
70df1536-dcd5-4f29-a87c-d44b6256e48a	91.5	446	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
a7af12a8-c127-4824-aa87-a9a48b7abe22	92.0	585423	Synechococcus sp. KORDI-49	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0055732484076433
61d5597b-7808-4bc4-9176-55794a793e48	91.7	217204	Achromobacter insolitus	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001592356687898
a69f8870-e885-4b30-b78e-66cf14464506	93.9	237609	Pseudomonas alkylphenolica	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003980891719745
42996e1c-2e44-4d2b-be86-10aa4a7ed0ae	90.3	1697043	Bordetella sp. H567	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
ea216709-b948-4cd2-8dae-fc6292732d6a	91.2	2565558	Hydrogenophaga sp. PAMC20947	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
bb3db15f-7a10-4ed6-a41e-46dbb7087847	92.8	2662614	Terrimonas suqianensis	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0067675159235668
2d6312fc-c1ee-4ade-ab90-6e8b0ec8ec3e	91.7	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003980891719745
54ea5a86-48e7-4a36-90db-dd2e746c3e44	92.2	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0051751592356687
52fc4198-3bb7-4d0e-bfa0-c0b66db9faf7	90.0	1842537	Hydrogenophaga sp. RAC07	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
ddbc5427-1d42-4743-b15b-d3d717cdeb0e	90.1	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.000796178343949
63ec3c8e-ef26-41e6-bb95-73188ae0cb95	90.2	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023885350318471
026679aa-7978-4065-99db-61cba56173fb	93.8	367474	Caenimonas koreensis	Caenimonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001592356687898
5b3cc854-8d7e-4dfd-be3c-d5157c0bc99c	92.4	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0051751592356687
1e793f7e-dc1e-4d94-8174-e6dee876a798	92.6	59930	Cyanobium gracile	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0390127388535031
043808ac-01b2-4f33-b5e6-dd6fae54d300	92.0	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0055732484076433
8a4f3209-a616-4573-8ef5-36378ab9e4a9	91.2	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001592356687898
a39dc124-535b-4cc0-981b-af4690b4a6f2	90.0	1496	Clostridioides difficile	Clostridioides	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0003980891719745
2cec5c97-d0b4-49ff-8b06-05a0ef87b8e6	91.2	1061	Rhodobacter capsulatus	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000796178343949
