centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
4bc22320-719a-4ca9-954b-6104dd345f72	90.7	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0863557858376511
59d54a9d-27ab-41d2-a41d-17a985d17ad1	93.8	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0713874496257915
e53a9e06-a58b-4503-9ee8-a228003c2de4	90.4	1848755	Actinobacteria bacterium IMCC26077					Actinobacteria	Terrabacteria group	Bacteria				0.0011514104778353
e66b3c88-aab8-4f02-bd09-8dc2615209a2	91.5	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0523891767415083
04306d92-ef9d-42f1-88ae-b80122ae5d8a	91.6	2024524	Terrimonas soli	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0074841681059297
0df17624-3cec-4a14-8e17-ac9e98038c7e	90.9	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0109383995394358
0cf79be9-977d-4bf7-b326-beb425c8413b	94.3	1268042	Galbitalea soli	Galbitalea	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0005757052389176
08f3861e-cf53-4654-a400-60e40ae1c921	91.4	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001727115716753
5adc50fa-e316-4196-9e95-6791dd185576	94.2	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.052964881980426
68149273-7bef-404e-9e8a-24973d99e7f8	93.1	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0040299366724237
91ab239a-77f2-41e2-aaa9-480f48cf1042	90.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023028209556706
8f85a231-9b92-4928-861f-08c8aa38a3f0	93.3	232348	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0926885434657455
d910d946-bf1a-4700-8418-5da62038d42d	91.1	223556	Deinococcus indicus	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.0080598733448474
046be9c1-29f2-405f-bdbb-654f53824801	93.3	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0765687967760506
9853b5cb-7329-43f0-a5be-b517fdb56525	92.2	32051	Synechococcus sp. WH 7803	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0023028209556706
268a86c0-d0c8-43b7-ad26-2e08e5f69d26	93.3	556055	Polynucleobacter rarus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0028785261945883
607603c1-be25-4353-a35a-6fa1ab0232ed	95.9	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0172711571675302
847c09ee-ad54-41af-84c1-6098960a2df2	92.0	1851505	Cyanobium sp. NIES-981	Cyanobium	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0109383995394358
e62d4b1b-0ccf-4d09-aada-1cec90bd0d75	91.7	295428	Flavobacterium cheniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0028785261945883
