phylum	genus	abundance
Proteobacteria	Ferribacterium	0.013906996957844416
Proteobacteria	Legionella	0.008257279443720122
Proteobacteria	Sulfuritalea	0.00651890482398957
Proteobacteria	Polynucleobacter	0.11690569317687961
Firmicutes	ClostridiumIII	0.03259452411994785
Proteobacteria	Methylotenera	0.030856149500217298
Proteobacteria	Methylocystis	0.0
Proteobacteria	Variovorax	0.07388092133854846
Proteobacteria	Rhodoferax	0.012603215993046502
Bacteroidetes	Ferruginibacter	0.017383746197305518
Proteobacteria	Polynucleobacter	0.06996957844415472
Proteobacteria	Brevundimonas	0.027379400260756193
Proteobacteria	Aquincola	0.01564537157757497
Proteobacteria	Methylobacillus	0.0021729682746631897
Proteobacteria	Anaeromyxobacter	0.00651890482398957
Proteobacteria	Geobacter	0.01086484137331595
Actinobacteria	Rhodoluna	0.1190786614515428
Proteobacteria	Pantoea	0.017818339852238158
Proteobacteria	Rhizobium	0.015210777922642329
Proteobacteria	Curvibacter	0.003911342894393742
Proteobacteria	Mitsuaria	0.000434593654932638
Proteobacteria	Legionella	0.007388092133854845
Proteobacteria	Legionella	0.008257279443720122
Proteobacteria	Anaeromyxobacter	0.003476749239461104
Proteobacteria	Janthinobacterium	0.07431551499348109
Proteobacteria	Geobacter	0.000434593654932638
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.007822685788787484
Bacteroidetes	Flavobacterium	0.042155584528465885
Firmicutes	ClostridiumXlVa	0.02216427640156454
Firmicutes	Clostridiumsensustricto	0.021295089091699262
Proteobacteria	Chelativorans	0.001738374619730552
Microgenomates	Microgenomates	0.008257279443720122
Proteobacteria	Dechloromonas	0.0021729682746631897
Proteobacteria	Geobacter	0.001303780964797914
Proteobacteria	Rhodocyclus	0.011734028683181226
Actinobacteria	Agrococcus	0.03998261625380269
Proteobacteria	Limnohabitans	0.01694915254237288
Proteobacteria	Methylotenera	0.001738374619730552
Proteobacteria	Methylocystis	0.000434593654932638
Firmicutes	Clostridiumsensustricto	0.01694915254237288
Firmicutes	Clostridiumsensustricto	0.001738374619730552
Proteobacteria	Sphingomonas	0.023902651021295088
Actinobacteria	Rhodoluna	0.009995654063450673
Proteobacteria	Methylocystis	0.005649717514124294
Proteobacteria	Limnohabitans	0.000869187309865276
Proteobacteria	Dechloromonas	0.000434593654932638
Proteobacteria	Polynucleobacter	0.000869187309865276
Proteobacteria	Sphingomonas	0.018687527162103434
Proteobacteria	Methylocystis	0.000869187309865276
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Methylocystis	0.000434593654932638
Proteobacteria	Dokdonella	0.007822685788787484
Cyanobacteria	Streptophyta	0.001303780964797914
Proteobacteria	Aquincola	0.022598870056497175
Bacteroidetes	Mucilaginibacter	0.003476749239461104
Proteobacteria	Legionella	0.000434593654932638
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pelobacter	0.000434593654932638
Proteobacteria	Propionivibrio	0.0
Bacteroidetes	Solitalea	0.001738374619730552
Proteobacteria	Limnohabitans	0.000434593654932638
Proteobacteria	Pleomorphomonas	0.0
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.0
Proteobacteria	Rivibacter	0.001738374619730552
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Limnohabitans	0.000434593654932638
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.0
Proteobacteria	Polynucleobacter	0.000434593654932638
Proteobacteria	Ectothiorhodospira	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.000434593654932638
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microbacterium	0.001303780964797914
Proteobacteria	Limnohabitans	0.000434593654932638
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.000869187309865276
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.000434593654932638
Proteobacteria	Methylotenera	0.001303780964797914
Proteobacteria	Polynucleobacter	0.000434593654932638
