phylum	genus	abundance
Proteobacteria	Ferribacterium	0.018225584594222834
Proteobacteria	Legionella	0.004298486932599725
Proteobacteria	Sulfuritalea	0.012207702888583218
Proteobacteria	Polynucleobacter	0.001891334250343879
Firmicutes	ClostridiumIII	0.028026134800550207
Proteobacteria	Methylotenera	0.040405777166437416
Proteobacteria	Methylocystis	0.000343878954607978
Proteobacteria	Variovorax	0.0020632737276478678
Proteobacteria	Rhodoferax	0.002579092159559835
Bacteroidetes	Ferruginibacter	0.02905777166437414
Proteobacteria	Polynucleobacter	0.0017193947730398899
Proteobacteria	Brevundimonas	0.007565337001375516
Proteobacteria	Aquincola	0.009800550206327373
Proteobacteria	Methylobacillus	0.001375515818431912
Proteobacteria	Anaeromyxobacter	0.04384456671251719
Proteobacteria	Geobacter	0.12396836313617607
Actinobacteria	Rhodoluna	0.011348005502063274
Proteobacteria	Pantoea	0.03937414030261348
Proteobacteria	Rhizobium	0.002579092159559835
Proteobacteria	Curvibacter	0.002407152682255846
Proteobacteria	Mitsuaria	0.000171939477303989
Proteobacteria	Legionella	0.008940852819807428
Proteobacteria	Legionella	0.0060178817056396145
Proteobacteria	Anaeromyxobacter	0.002751031636863824
Proteobacteria	Janthinobacterium	0.003094910591471802
Proteobacteria	Geobacter	0.2140646492434663
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Flavobacterium	0.008081155433287484
Firmicutes	ClostridiumXlVa	0.012723521320495186
Firmicutes	Clostridiumsensustricto	0.00515818431911967
Proteobacteria	Chelativorans	0.000687757909215956
Microgenomates	Microgenomates	0.004298486932599725
Proteobacteria	Dechloromonas	0.002751031636863824
Proteobacteria	Geobacter	0.2790577716643741
Proteobacteria	Rhodocyclus	0.003782668500687758
Actinobacteria	Agrococcus	0.015302613480055021
Proteobacteria	Limnohabitans	0.0005158184319119669
Proteobacteria	Methylotenera	0.000171939477303989
Proteobacteria	Methylocystis	0.000343878954607978
Firmicutes	Clostridiumsensustricto	0.007565337001375516
Firmicutes	Clostridiumsensustricto	0.000343878954607978
Proteobacteria	Sphingomonas	0.001547455295735901
Actinobacteria	Rhodoluna	0.012723521320495186
Proteobacteria	Methylocystis	0.011004126547455296
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Dechloromonas	0.0005158184319119669
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingomonas	0.0017193947730398899
Proteobacteria	Methylocystis	0.000687757909215956
Proteobacteria	Polynucleobacter	0.000171939477303989
Proteobacteria	Rhodoferax	0.000171939477303989
Proteobacteria	Methylocystis	0.0
Proteobacteria	Dokdonella	0.0010316368638239339
Cyanobacteria	Streptophyta	0.000171939477303989
Proteobacteria	Aquincola	0.001547455295735901
Bacteroidetes	Mucilaginibacter	0.0034387895460797797
Proteobacteria	Legionella	0.000171939477303989
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pelobacter	0.0005158184319119669
Proteobacteria	Propionivibrio	0.0
Bacteroidetes	Solitalea	0.003266850068775791
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Pleomorphomonas	0.0
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.000343878954607978
Proteobacteria	Rivibacter	0.000687757909215956
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.0008596973865199449
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Ectothiorhodospira	0.0005158184319119669
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microbacterium	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
