phylum	genus	abundance
Proteobacteria	Ferribacterium	0.09325210871602624
Proteobacteria	Legionella	0.011246485473289597
Proteobacteria	Sulfuritalea	0.05716963448922212
Proteobacteria	Polynucleobacter	0.1049671977507029
Firmicutes	ClostridiumIII	0.05107778819119025
Proteobacteria	Methylotenera	0.05060918462980318
Proteobacteria	Methylocystis	0.004217432052483599
Proteobacteria	Variovorax	0.07357075913776945
Proteobacteria	Rhodoferax	0.014058106841611996
Bacteroidetes	Ferruginibacter	0.029053420805998126
Proteobacteria	Polynucleobacter	0.07591377694470477
Proteobacteria	Brevundimonas	0.048266166822867856
Proteobacteria	Aquincola	0.01874414245548266
Proteobacteria	Methylobacillus	0.02483598875351453
Proteobacteria	Anaeromyxobacter	0.018275538894095594
Proteobacteria	Geobacter	0.02014995313964386
Actinobacteria	Rhodoluna	0.03889409559512652
Proteobacteria	Pantoea	0.019681349578256794
Proteobacteria	Rhizobium	0.008903467666354265
Proteobacteria	Curvibacter	0.00937207122774133
Proteobacteria	Mitsuaria	0.0018744142455482662
Proteobacteria	Legionella	0.014526710402999063
Proteobacteria	Legionella	0.01218369259606373
Proteobacteria	Anaeromyxobacter	0.0018744142455482662
Proteobacteria	Janthinobacterium	0.004686035613870665
Proteobacteria	Geobacter	0.00046860356138706655
Proteobacteria	Limnohabitans	0.00046860356138706655
Proteobacteria	Limnohabitans	0.00046860356138706655
Bacteroidetes	Flavobacterium	0.01499531396438613
Firmicutes	ClostridiumXlVa	0.02577319587628866
Firmicutes	Clostridiumsensustricto	0.01358950328022493
Proteobacteria	Chelativorans	0.004686035613870665
Microgenomates	Microgenomates	0.022024367385192128
Proteobacteria	Dechloromonas	0.004217432052483599
Proteobacteria	Geobacter	0.00046860356138706655
Proteobacteria	Rhodocyclus	0.011715089034676664
Actinobacteria	Agrococcus	0.011246485473289597
Proteobacteria	Limnohabitans	0.00937207122774133
Proteobacteria	Methylotenera	0.005623242736644799
Proteobacteria	Methylocystis	0.004686035613870665
Firmicutes	Clostridiumsensustricto	0.015932521087160263
Firmicutes	Clostridiumsensustricto	0.00046860356138706655
Proteobacteria	Sphingomonas	0.009840674789128397
Actinobacteria	Rhodoluna	0.004686035613870665
Proteobacteria	Methylocystis	0.006091846298031865
Proteobacteria	Limnohabitans	0.00046860356138706655
Proteobacteria	Dechloromonas	0.00046860356138706655
Proteobacteria	Polynucleobacter	0.00046860356138706655
Proteobacteria	Sphingomonas	0.006091846298031865
Proteobacteria	Methylocystis	0.0023430178069353325
Proteobacteria	Polynucleobacter	0.00046860356138706655
Proteobacteria	Rhodoferax	0.00046860356138706655
Proteobacteria	Methylocystis	0.0009372071227741331
Proteobacteria	Dokdonella	0.0014058106841611997
Cyanobacteria	Streptophyta	0.0009372071227741331
Proteobacteria	Aquincola	0.0018744142455482662
Bacteroidetes	Mucilaginibacter	0.0028116213683223993
Proteobacteria	Legionella	0.0009372071227741331
Bacteroidetes	Pseudarcicella	0.00046860356138706655
Proteobacteria	Pelobacter	0.00046860356138706655
Proteobacteria	Propionivibrio	0.00046860356138706655
Bacteroidetes	Solitalea	0.0009372071227741331
Proteobacteria	Limnohabitans	0.00046860356138706655
Proteobacteria	Pleomorphomonas	0.00046860356138706655
Proteobacteria	Propionivibrio	0.00046860356138706655
Proteobacteria	Hyphomicrobium	0.0009372071227741331
Proteobacteria	Rivibacter	0.00046860356138706655
Proteobacteria	Propionivibrio	0.00046860356138706655
Proteobacteria	Limnohabitans	0.00046860356138706655
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Ectothiorhodospira	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microbacterium	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
